replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.2609,0.7,-7900.67,15915.73,57,-7901.3,15914.98,56,0.2282,0.3008,Convergence/flat likelihood
2,SRV,0.248,0.72,-7900.66,15915.72,57,-7901.33,15915.04,56,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.3302,0.74,-7900.82,15916.04,57,-7901.3,15914.98,56,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.2417,0.73,-7900.68,15915.77,57,-7901.37,15915.12,56,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
5,SRV,1.0,36.92,-7903.69,15921.78,57,-7901.3,15914.98,56,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.288,0.76,-7900.81,15916.01,57,-7901.37,15915.12,56,0.2282,0.3008,Convergence/flat likelihood
7,SRV,0.2453,0.74,-7900.71,15915.82,57,-7901.38,15915.15,56,0.2283,0.3011,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.2774,0.75,-7900.78,15915.95,57,-7901.37,15915.12,56,0.2283,0.3011,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.3431,0.74,-7900.85,15916.09,57,-7901.3,15914.98,56,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.234,0.74,-7900.69,15915.78,57,-7901.4,15915.18,56,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.3636,0.76,-7900.68,15919.79,59,-7901.09,15918.6,58,0.2282,0.3008,Convergence/flat likelihood
2,SRV+Double,0.3627,0.74,-7900.61,15919.65,59,-7901.03,15918.46,58,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.3596,0.74,-7900.61,15919.64,59,-7901.03,15918.46,58,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.3909,0.76,-7900.66,15919.75,59,-7901.03,15918.48,58,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.3617,0.75,-7900.61,15919.65,59,-7901.03,15918.46,58,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.3667,0.75,-7900.63,15919.68,59,-7901.03,15918.48,58,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.369,0.75,-7900.62,15919.67,59,-7901.03,15918.46,58,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.3582,0.74,-7900.6,15919.63,59,-7901.03,15918.46,58,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.4009,0.76,-7900.68,15919.78,59,-7901.03,15918.48,58,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.2841,0.72,-7900.45,15919.33,59,-7901.03,15918.46,58,0.2283,0.3011,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.2675,0.74,-7900.04,15922.54,61,-7900.66,15921.75,60,0.2282,0.3008,Convergence/flat likelihood
2,SRV+Double+Triple,0.267,0.74,-7900.04,15922.54,61,-7900.66,15921.75,60,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.2642,0.74,-7900.04,15922.54,61,-7900.67,15921.77,60,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.2669,0.74,-7900.04,15922.53,61,-7900.66,15921.75,60,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,1.0,40.81,-7903.28,15929.01,61,-7900.73,15921.9,60,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.2696,0.74,-7900.04,15922.53,61,-7900.65,15921.74,60,0.2282,0.3008,Convergence/flat likelihood
7,SRV+Double+Triple,0.2576,0.74,-7900.06,15922.57,61,-7900.7,15921.84,60,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.2699,0.74,-7900.04,15922.53,61,-7900.65,15921.74,60,0.2282,0.3008,Convergence/flat likelihood
9,SRV+Double+Triple,0.3729,0.76,-7900.23,15922.91,61,-7900.62,15921.69,60,0.2282,0.3008,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.2981,50.0,-7902.78,15928.01,61,-7900.62,15921.68,60,0.2283,0.3011,Convergence/flat likelihood; Collapsed rate class
