model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.894,0.0,SRV,1
alternative,reference,Negative selection,0.272,100.0,SRV,1
alternative,reference,Negative selection,0.857,0.0,SRV,1
alternative,test,Diversifying selection,1.894,0.0,SRV,1
alternative,test,Negative selection,0.0,100.0,SRV,1
alternative,test,Negative selection,0.017,0.0,SRV,1
alternative,test,Negative selection,0.272,100.0,SRV,1
alternative,test,Negative selection,0.857,0.0,SRV,1
null,reference,Diversifying selection,5.14,0.0,SRV,1
null,reference,Negative selection,0.266,100.0,SRV,1
null,reference,Negative selection,0.672,0.0,SRV,1
null,test,Diversifying selection,5.14,0.0,SRV,1
null,test,Negative selection,0.266,100.0,SRV,1
null,test,Negative selection,0.672,0.0,SRV,1
alternative,reference,Diversifying selection,3.485,0.0,SRV,2
alternative,reference,Negative selection,0.001,0.0,SRV,2
alternative,reference,Negative selection,0.273,100.0,SRV,2
alternative,test,Diversifying selection,3.485,0.0,SRV,2
alternative,test,Negative selection,0.0,0.0,SRV,2
alternative,test,Negative selection,0.0,100.0,SRV,2
alternative,test,Negative selection,0.001,0.0,SRV,2
alternative,test,Negative selection,0.273,100.0,SRV,2
null,reference,Diversifying selection,1.273,0.0,SRV,2
null,reference,Negative selection,0.003,0.0,SRV,2
null,reference,Negative selection,0.266,100.0,SRV,2
null,test,Diversifying selection,1.273,0.0,SRV,2
null,test,Negative selection,0.003,0.0,SRV,2
null,test,Negative selection,0.266,100.0,SRV,2
alternative,reference,Diversifying selection,1.113,0.0,SRV,3
alternative,reference,Negative selection,0.273,100.0,SRV,3
alternative,reference,Negative selection,0.342,0.0,SRV,3
alternative,test,Diversifying selection,17.738,0.0,SRV,3
alternative,test,Diversifying selection,1.113,0.0,SRV,3
alternative,test,Negative selection,0.0,100.0,SRV,3
alternative,test,Negative selection,0.342,0.0,SRV,3
alternative,test,Negative selection,0.273,100.0,SRV,3
alternative,test,Negative selection,0.342,0.0,SRV,3
null,reference,Diversifying selection,2.573,0.0,SRV,3
null,reference,Negative selection,0.175,0.0,SRV,3
null,reference,Negative selection,0.266,100.0,SRV,3
null,test,Diversifying selection,2.573,0.0,SRV,3
null,test,Negative selection,0.175,0.0,SRV,3
null,test,Negative selection,0.266,100.0,SRV,3
alternative,reference,Diversifying selection,4.719,0.0,SRV,4
alternative,reference,Negative selection,0.273,100.0,SRV,4
alternative,reference,Negative selection,0.783,0.0,SRV,4
alternative,test,Diversifying selection,4.719,0.0,SRV,4
alternative,test,Negative selection,0.0,100.0,SRV,4
alternative,test,Negative selection,0.027,0.0,SRV,4
alternative,test,Negative selection,0.273,100.0,SRV,4
alternative,test,Negative selection,0.783,0.0,SRV,4
null,reference,Diversifying selection,1.336,0.0,SRV,4
null,reference,Negative selection,0.266,100.0,SRV,4
null,reference,Negative selection,0.614,0.0,SRV,4
null,test,Diversifying selection,1.336,0.0,SRV,4
null,test,Negative selection,0.266,100.0,SRV,4
null,test,Negative selection,0.614,0.0,SRV,4
alternative,reference,Diversifying selection,1.832,0.0,SRV,5
alternative,reference,Negative selection,0.273,100.0,SRV,5
alternative,reference,Negative selection,0.815,0.0,SRV,5
alternative,test,Diversifying selection,1.832,0.0,SRV,5
alternative,test,Negative selection,0.0,100.0,SRV,5
alternative,test,Negative selection,0.004,0.0,SRV,5
alternative,test,Negative selection,0.273,100.0,SRV,5
alternative,test,Negative selection,0.815,0.0,SRV,5
null,reference,Diversifying selection,4.528,0.0,SRV,5
null,reference,Negative selection,0.266,100.0,SRV,5
null,reference,Negative selection,0.639,0.0,SRV,5
null,test,Diversifying selection,4.528,0.0,SRV,5
null,test,Negative selection,0.266,100.0,SRV,5
null,test,Negative selection,0.639,0.0,SRV,5
alternative,reference,Diversifying selection,9.83,0.0,SRV,6
alternative,reference,Negative selection,0.273,100.0,SRV,6
alternative,reference,Negative selection,0.836,0.0,SRV,6
alternative,test,Diversifying selection,9.83,0.0,SRV,6
alternative,test,Negative selection,0.0,100.0,SRV,6
alternative,test,Negative selection,0.165,0.0,SRV,6
alternative,test,Negative selection,0.273,100.0,SRV,6
alternative,test,Negative selection,0.836,0.0,SRV,6
null,reference,Diversifying selection,2.349,0.0,SRV,6
null,reference,Negative selection,0.266,100.0,SRV,6
null,reference,Negative selection,0.668,0.0,SRV,6
null,test,Diversifying selection,2.349,0.0,SRV,6
null,test,Negative selection,0.266,100.0,SRV,6
null,test,Negative selection,0.668,0.0,SRV,6
alternative,reference,Diversifying selection,2.593,0.0,SRV,7
alternative,reference,Negative selection,0.001,0.0,SRV,7
alternative,reference,Negative selection,0.274,100.0,SRV,7
alternative,test,Diversifying selection,2.593,0.0,SRV,7
alternative,test,Negative selection,0.0,0.0,SRV,7
alternative,test,Negative selection,0.0,100.0,SRV,7
alternative,test,Negative selection,0.001,0.0,SRV,7
alternative,test,Negative selection,0.274,100.0,SRV,7
null,reference,Diversifying selection,6.715,0.0,SRV,7
null,reference,Negative selection,0.003,0.0,SRV,7
null,reference,Negative selection,0.266,100.0,SRV,7
null,test,Diversifying selection,6.715,0.0,SRV,7
null,test,Negative selection,0.003,0.0,SRV,7
null,test,Negative selection,0.266,100.0,SRV,7
alternative,reference,Diversifying selection,5.488,0.0,SRV,8
alternative,reference,Negative selection,0.12,0.0,SRV,8
alternative,reference,Negative selection,0.274,100.0,SRV,8
alternative,test,Diversifying selection,5.488,0.0,SRV,8
alternative,test,Negative selection,0.0,0.0,SRV,8
alternative,test,Negative selection,0.0,100.0,SRV,8
alternative,test,Negative selection,0.12,0.0,SRV,8
alternative,test,Negative selection,0.274,100.0,SRV,8
null,reference,Diversifying selection,1.2,0.0,SRV,8
null,reference,Negative selection,0.218,0.0,SRV,8
null,reference,Negative selection,0.266,100.0,SRV,8
null,test,Diversifying selection,1.2,0.0,SRV,8
null,test,Negative selection,0.218,0.0,SRV,8
null,test,Negative selection,0.266,100.0,SRV,8
alternative,reference,Diversifying selection,1.749,0.0,SRV,9
