model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,55.118,SRV,1
null,2,0.003,0.0,SRV,1
null,3,2.228,44.882,SRV,1
null,1,0.0,55.123,SRV,2
null,2,0.0,0.0,SRV,2
null,3,2.228,44.877,SRV,2
null,1,0.0,32.527,SRV,3
null,2,0.0,22.595,SRV,3
null,3,2.228,44.879,SRV,3
null,1,0.0,55.12,SRV,4
null,2,0.173,0.0,SRV,4
null,3,2.228,44.88,SRV,4
null,1,0.0,55.119,SRV,5
null,2,0.004,0.0,SRV,5
null,3,2.228,44.881,SRV,5
null,1,0.0,55.122,SRV,6
null,2,2.228,4.109,SRV,6
null,3,2.228,40.769,SRV,6
null,1,0.0,31.346,SRV,7
null,2,0.0,23.774,SRV,7
null,3,2.228,44.88,SRV,7
null,1,0.0,24.712,SRV,8
null,2,0.0,30.408,SRV,8
null,3,2.228,44.88,SRV,8
null,1,0.0,55.119,SRV,9
null,2,0.0,0.0,SRV,9
null,3,2.228,44.881,SRV,9
null,1,0.0,55.118,SRV,10
null,2,0.0,0.0,SRV,10
null,3,2.228,44.882,SRV,10
