model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.245,3.032,SRV,1
alternative,reference,Negative selection,0.096,70.287,SRV,1
alternative,reference,Negative selection,0.999,26.681,SRV,1
alternative,test,Diversifying selection,1.644,3.032,SRV,1
alternative,test,Diversifying selection,1.245,3.032,SRV,1
alternative,test,Negative selection,0.005,70.287,SRV,1
alternative,test,Negative selection,0.998,26.681,SRV,1
alternative,test,Negative selection,0.096,70.287,SRV,1
alternative,test,Negative selection,0.999,26.681,SRV,1
null,reference,Diversifying selection,1.364,8.268,SRV,1
null,reference,Negative selection,0.052,69.644,SRV,1
null,reference,Neutral evolution,1.0,22.088,SRV,1
null,test,Diversifying selection,1.364,8.268,SRV,1
null,test,Negative selection,0.052,69.644,SRV,1
null,test,Neutral evolution,1.0,22.088,SRV,1
alternative,reference,Diversifying selection,2.285,6.496,SRV,2
alternative,reference,Negative selection,0.228,30.921,SRV,2
alternative,reference,Negative selection,0.251,62.583,SRV,2
alternative,test,Diversifying selection,2.855,6.496,SRV,2
alternative,test,Diversifying selection,2.285,6.496,SRV,2
alternative,test,Negative selection,0.153,30.921,SRV,2
alternative,test,Negative selection,0.172,62.583,SRV,2
alternative,test,Negative selection,0.228,30.921,SRV,2
alternative,test,Negative selection,0.251,62.583,SRV,2
null,reference,Diversifying selection,2.362,6.925,SRV,2
null,reference,Negative selection,0.214,33.297,SRV,2
null,reference,Negative selection,0.23,59.778,SRV,2
null,test,Diversifying selection,2.362,6.925,SRV,2
null,test,Negative selection,0.214,33.297,SRV,2
null,test,Negative selection,0.23,59.778,SRV,2
alternative,reference,Diversifying selection,1.816,5.249,SRV,3
alternative,reference,Negative selection,0.109,68.801,SRV,3
alternative,reference,Negative selection,0.783,25.95,SRV,3
alternative,test,Diversifying selection,2.507,5.249,SRV,3
alternative,test,Diversifying selection,1.816,5.249,SRV,3
alternative,test,Negative selection,0.033,68.801,SRV,3
alternative,test,Negative selection,0.686,25.95,SRV,3
alternative,test,Negative selection,0.109,68.801,SRV,3
alternative,test,Negative selection,0.783,25.95,SRV,3
null,reference,Diversifying selection,1.919,5.62,SRV,3
null,reference,Negative selection,0.073,69.233,SRV,3
null,reference,Negative selection,0.847,25.147,SRV,3
null,test,Diversifying selection,1.919,5.62,SRV,3
null,test,Negative selection,0.073,69.233,SRV,3
null,test,Negative selection,0.847,25.147,SRV,3
alternative,reference,Diversifying selection,2.122,7.463,SRV,4
alternative,reference,Negative selection,0.183,15.976,SRV,4
alternative,reference,Negative selection,0.245,76.561,SRV,4
alternative,test,Diversifying selection,2.623,7.463,SRV,4
alternative,test,Diversifying selection,2.122,7.463,SRV,4
alternative,test,Negative selection,0.113,15.976,SRV,4
alternative,test,Negative selection,0.165,76.561,SRV,4
alternative,test,Negative selection,0.183,15.976,SRV,4
alternative,test,Negative selection,0.245,76.561,SRV,4
null,reference,Diversifying selection,2.213,7.861,SRV,4
null,reference,Negative selection,0.159,16.995,SRV,4
null,reference,Negative selection,0.228,75.143,SRV,4
null,test,Diversifying selection,2.213,7.861,SRV,4
null,test,Negative selection,0.159,16.995,SRV,4
null,test,Negative selection,0.228,75.143,SRV,4
alternative,reference,Diversifying selection,1.544,5.422,SRV,5
alternative,reference,Negative selection,0.102,69.766,SRV,5
alternative,reference,Negative selection,0.88,24.812,SRV,5
alternative,test,Diversifying selection,2.157,5.422,SRV,5
alternative,test,Diversifying selection,1.544,5.422,SRV,5
alternative,test,Negative selection,0.018,69.766,SRV,5
alternative,test,Negative selection,0.798,24.812,SRV,5
alternative,test,Negative selection,0.102,69.766,SRV,5
alternative,test,Negative selection,0.88,24.812,SRV,5
null,reference,Diversifying selection,1.594,5.685,SRV,5
null,reference,Negative selection,0.06,70.068,SRV,5
null,reference,Negative selection,0.98,24.247,SRV,5
null,test,Diversifying selection,1.594,5.685,SRV,5
null,test,Negative selection,0.06,70.068,SRV,5
null,test,Negative selection,0.98,24.247,SRV,5
alternative,reference,Diversifying selection,1.768,10.303,SRV,6
alternative,reference,Negative selection,0.182,78.715,SRV,6
alternative,reference,Negative selection,0.443,10.983,SRV,6
alternative,test,Diversifying selection,2.158,10.303,SRV,6
alternative,test,Diversifying selection,1.768,10.303,SRV,6
alternative,test,Negative selection,0.1,78.715,SRV,6
alternative,test,Negative selection,0.333,10.983,SRV,6
alternative,test,Negative selection,0.182,78.715,SRV,6
alternative,test,Negative selection,0.443,10.983,SRV,6
null,reference,Diversifying selection,1.795,11.737,SRV,6
null,reference,Negative selection,0.177,87.082,SRV,6
null,reference,Negative selection,0.517,1.181,SRV,6
null,test,Diversifying selection,1.795,11.737,SRV,6
null,test,Negative selection,0.177,87.082,SRV,6
null,test,Negative selection,0.517,1.181,SRV,6
alternative,reference,Diversifying selection,1.858,9.571,SRV,7
alternative,reference,Negative selection,0.049,7.496,SRV,7
alternative,reference,Negative selection,0.233,82.933,SRV,7
