replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.4417,2.27,-6178.23,12424.88,34,-6178.52,12423.45,33,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.4712,1.27,-6178.31,12425.05,34,-6178.57,12423.54,33,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.4633,1.54,-6178.26,12424.95,34,-6178.53,12423.47,33,0.3747,0.2965,Convergence/flat likelihood
4,SRV,0.4661,1.28,-6178.3,12425.02,34,-6178.56,12423.53,33,0.3747,0.2965,Convergence/flat likelihood
5,SRV,0.4576,1.77,-6178.25,12424.92,34,-6178.52,12423.45,33,0.3747,0.2965,Convergence/flat likelihood
6,SRV,0.4579,1.35,-6178.27,12424.97,34,-6178.54,12423.49,33,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.4631,1.33,-6178.28,12424.99,34,-6178.55,12423.5,33,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.4584,1.37,-6178.27,12424.96,34,-6178.54,12423.49,33,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.382,6.3,-6178.14,12424.7,34,-6178.52,12423.44,33,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.4598,1.46,-6178.26,12424.96,34,-6178.54,12423.48,33,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.4575,1.49,-6178.26,12428.99,36,-6178.53,12427.52,35,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.4619,1.51,-6178.26,12429.0,36,-6178.53,12427.52,35,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.4638,1.31,-6178.28,12429.05,36,-6178.55,12427.56,35,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.4669,1.32,-6178.29,12429.06,36,-6178.55,12427.56,35,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.4572,1.35,-6178.27,12429.02,36,-6178.54,12427.54,35,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.459,1.48,-6178.26,12428.99,36,-6178.53,12427.51,35,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.4628,1.31,-6178.28,12429.05,36,-6178.55,12427.56,35,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,1.0,1.02,-6178.18,12430.87,37,-6178.18,12428.84,36,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.437,0.0,-6178.25,12428.98,36,-6178.52,12427.49,35,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.462,1.34,-6178.28,12429.03,36,-6178.55,12427.55,35,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.4489,0.0,-6178.25,12433.04,38,-6178.52,12431.55,37,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.4577,1.36,-6178.27,12433.07,38,-6178.54,12431.6,37,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.4558,1.5,-6178.25,12433.04,38,-6178.53,12431.57,37,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.4582,1.33,-6178.27,12433.08,38,-6178.55,12431.6,37,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.4574,1.37,-6178.27,12433.07,38,-6178.54,12431.59,37,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.4807,1.26,-6178.32,12433.18,38,-6178.57,12431.64,37,0.3747,0.2965,Convergence/flat likelihood
7,SRV+Double+Triple,0.4569,1.4,-6178.26,12433.06,38,-6178.54,12431.58,37,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.4623,1.5,-6178.27,12433.07,38,-6178.54,12431.58,37,0.3747,0.2965,Convergence/flat likelihood
9,SRV+Double+Triple,0.4426,2.01,-6178.23,12432.99,38,-6178.52,12431.55,37,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.445,0.0,-6178.25,12433.03,38,-6178.52,12431.55,37,0.3747,0.2965,Convergence/flat likelihood; Collapsed rate class
