replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,1.0,0.98,-6178.53,12425.5,34,-6178.53,12423.46,33,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
2,SRV,1.0,0.98,-6178.56,12425.55,34,-6178.55,12423.51,33,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.6383,0.28,-6177.77,12423.98,34,-6177.88,12422.17,33,0.3635,0.3602,Convergence/flat likelihood
4,SRV,1.0,0.99,-6178.57,12425.57,34,-6178.55,12423.51,33,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
5,SRV,1.0,0.97,-6178.54,12427.53,35,-6178.54,12425.5,34,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
6,SRV,1.0,0.99,-6178.52,12425.48,34,-6178.52,12423.45,33,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
7,SRV,1.0,0.98,-6178.54,12425.5,34,-6178.53,12423.47,33,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.9737,0.96,-6178.53,12425.49,34,-6178.53,12423.47,33,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
9,SRV,1.0,0.99,-6178.56,12425.55,34,-6178.55,12423.51,33,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
10,SRV,1.0,0.98,-6178.58,12425.6,34,-6178.55,12423.51,33,0.3635,0.3602,Convergence/flat likelihood
1,SRV+Double,1.0,0.99,-6178.54,12429.57,36,-6178.54,12427.54,35,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.981,0.99,-6178.55,12429.58,36,-6178.55,12427.55,35,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,1.0,0.97,-6178.53,12429.55,36,-6178.53,12427.51,35,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,1.0,0.99,-6178.57,12429.62,36,-6178.57,12427.59,35,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,1.0,0.99,-6178.55,12429.58,36,-6178.55,12427.55,35,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,1.0,0.99,-6178.55,12429.58,36,-6178.55,12427.55,35,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.9862,0.99,-6178.55,12429.57,36,-6178.55,12427.55,35,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.9967,0.99,-6178.54,12429.56,36,-6178.54,12427.53,35,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.9715,0.99,-6178.56,12429.61,36,-6178.57,12427.59,35,0.3635,0.3602,Convergence/flat likelihood
10,SRV+Double,0.9865,0.98,-6178.55,12429.57,36,-6178.55,12427.55,35,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.9769,0.97,-6178.55,12433.63,38,-6178.55,12431.6,37,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,1.0,0.99,-6178.56,12433.65,38,-6178.55,12431.62,37,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,1.0,0.99,-6178.56,12433.65,38,-6178.56,12431.62,37,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.9806,0.99,-6178.54,12433.61,38,-6178.54,12431.59,37,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.9737,0.99,-6178.55,12433.64,38,-6178.55,12431.62,37,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.9843,0.99,-6178.54,12433.63,38,-6178.55,12431.6,37,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.9847,0.99,-6178.56,12433.65,38,-6178.56,12431.62,37,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.9848,0.99,-6178.55,12433.63,38,-6178.55,12431.61,37,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,1.0,0.99,-6178.56,12433.65,38,-6178.55,12431.62,37,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.9749,0.97,-6178.54,12433.62,38,-6178.54,12431.6,37,0.3635,0.3602,Convergence/flat likelihood; Collapsed rate class
