model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.216,20.382,SRV,1
null,2,0.227,17.737,SRV,1
null,3,1.48,61.881,SRV,1
null,1,0.208,11.864,SRV,2
null,2,0.213,25.518,SRV,2
null,3,1.471,62.618,SRV,2
null,1,0.0,23.172,SRV,3
null,2,0.813,14.366,SRV,3
null,3,1.414,62.462,SRV,3
null,1,0.205,35.047,SRV,4
null,2,0.208,1.867,SRV,4
null,3,1.465,63.086,SRV,4
null,1,0.203,0.581,SRV,5
null,2,0.212,36.802,SRV,5
null,3,1.47,62.616,SRV,5
null,1,0.215,11.1,SRV,6
null,2,0.223,26.9,SRV,6
null,3,1.478,61.999,SRV,6
null,1,0.219,18.937,SRV,7
null,2,0.221,19.121,SRV,7
null,3,1.479,61.941,SRV,7
null,1,0.224,38.238,SRV,8
null,2,0.232,0.001,SRV,8
null,3,1.481,61.762,SRV,8
null,1,0.204,30.972,SRV,9
null,2,0.207,5.915,SRV,9
null,3,1.465,63.113,SRV,9
null,1,0.139,0.0,SRV,10
null,2,0.206,36.964,SRV,10
null,3,1.466,63.036,SRV,10
