model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.153,1.846,SRV,1
alternative,reference,Negative selection,0.084,3.632,SRV,1
alternative,reference,Negative selection,0.201,94.521,SRV,1
alternative,test,Diversifying selection,1.153,1.846,SRV,1
alternative,test,Diversifying selection,1.153,1.846,SRV,1
alternative,test,Negative selection,0.084,3.632,SRV,1
alternative,test,Negative selection,0.202,94.521,SRV,1
alternative,test,Negative selection,0.084,3.632,SRV,1
alternative,test,Negative selection,0.201,94.521,SRV,1
null,reference,Diversifying selection,1.205,1.748,SRV,1
null,reference,Negative selection,0.109,3.346,SRV,1
null,reference,Negative selection,0.199,94.905,SRV,1
null,test,Diversifying selection,1.205,1.748,SRV,1
null,test,Negative selection,0.109,3.346,SRV,1
null,test,Negative selection,0.199,94.905,SRV,1
alternative,reference,Diversifying selection,1.688,0.899,SRV,2
alternative,reference,Negative selection,0.087,3.366,SRV,2
alternative,reference,Negative selection,0.204,95.734,SRV,2
alternative,test,Diversifying selection,1.684,0.899,SRV,2
alternative,test,Diversifying selection,1.688,0.899,SRV,2
alternative,test,Negative selection,0.088,3.366,SRV,2
alternative,test,Negative selection,0.206,95.734,SRV,2
alternative,test,Negative selection,0.087,3.366,SRV,2
alternative,test,Negative selection,0.204,95.734,SRV,2
null,reference,Diversifying selection,1.69,0.906,SRV,2
null,reference,Negative selection,0.098,3.356,SRV,2
null,reference,Negative selection,0.204,95.738,SRV,2
null,test,Diversifying selection,1.69,0.906,SRV,2
null,test,Negative selection,0.098,3.356,SRV,2
null,test,Negative selection,0.204,95.738,SRV,2
alternative,reference,Diversifying selection,1.037,2.275,SRV,3
alternative,reference,Negative selection,0.191,67.463,SRV,3
alternative,reference,Negative selection,0.201,30.261,SRV,3
alternative,test,Diversifying selection,1.037,2.275,SRV,3
alternative,test,Diversifying selection,1.037,2.275,SRV,3
alternative,test,Negative selection,0.192,67.463,SRV,3
alternative,test,Negative selection,0.201,30.261,SRV,3
alternative,test,Negative selection,0.191,67.463,SRV,3
alternative,test,Negative selection,0.201,30.261,SRV,3
null,reference,Diversifying selection,1.071,2.142,SRV,3
null,reference,Negative selection,0.191,63.46,SRV,3
null,reference,Negative selection,0.201,34.398,SRV,3
null,test,Diversifying selection,1.071,2.142,SRV,3
null,test,Negative selection,0.191,63.46,SRV,3
null,test,Negative selection,0.201,34.398,SRV,3
alternative,reference,Diversifying selection,1.009,0.0,SRV,4
alternative,reference,Negative selection,0.094,45.802,SRV,4
alternative,reference,Negative selection,0.315,54.198,SRV,4
alternative,test,Diversifying selection,1.01,0.0,SRV,4
alternative,test,Diversifying selection,1.009,0.0,SRV,4
alternative,test,Negative selection,0.093,45.802,SRV,4
alternative,test,Negative selection,0.312,54.198,SRV,4
alternative,test,Negative selection,0.094,45.802,SRV,4
alternative,test,Negative selection,0.315,54.198,SRV,4
null,reference,Diversifying selection,6.577,0.0,SRV,4
null,reference,Negative selection,0.094,45.495,SRV,4
null,reference,Negative selection,0.313,54.505,SRV,4
null,test,Diversifying selection,6.577,0.0,SRV,4
null,test,Negative selection,0.094,45.495,SRV,4
null,test,Negative selection,0.313,54.505,SRV,4
alternative,reference,Diversifying selection,1.84,0.088,SRV,5
alternative,reference,Negative selection,0.167,84.976,SRV,5
alternative,reference,Negative selection,0.471,14.937,SRV,5
alternative,test,Diversifying selection,1.843,0.088,SRV,5
alternative,test,Diversifying selection,1.84,0.088,SRV,5
alternative,test,Negative selection,0.166,84.976,SRV,5
alternative,test,Negative selection,0.47,14.937,SRV,5
alternative,test,Negative selection,0.167,84.976,SRV,5
alternative,test,Negative selection,0.471,14.937,SRV,5
null,reference,Diversifying selection,1.841,0.108,SRV,5
null,reference,Negative selection,0.167,85.067,SRV,5
null,reference,Negative selection,0.467,14.825,SRV,5
null,test,Diversifying selection,1.841,0.108,SRV,5
null,test,Negative selection,0.167,85.067,SRV,5
null,test,Negative selection,0.467,14.825,SRV,5
alternative,reference,Diversifying selection,2.082,0.324,SRV,6
alternative,reference,Negative selection,0.167,78.142,SRV,6
alternative,reference,Negative selection,0.357,21.534,SRV,6
