replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,1.0,1.0,-6032.56,12141.52,38,-6032.56,12139.49,37,0.2253,0.2142,Convergence/flat likelihood
2,SRV,1.0,1.0,-6032.55,12141.51,38,-6032.55,12139.49,37,0.2253,0.2142,Convergence/flat likelihood
3,SRV,1.0,1.0,-6032.59,12141.58,38,-6032.58,12139.54,37,0.2253,0.2142,Convergence/flat likelihood; Collapsed rate class
4,SRV,1.0,1.01,-6032.57,12141.55,38,-6032.57,12139.52,37,0.2253,0.2142,Convergence/flat likelihood
5,SRV,1.0,1.0,-6032.57,12141.54,38,-6032.57,12139.51,37,0.2253,0.2142,Convergence/flat likelihood
6,SRV,1.0,1.0,-6032.56,12141.53,38,-6032.56,12139.5,37,0.2253,0.2142,Convergence/flat likelihood
7,SRV,1.0,1.0,-6032.56,12141.52,38,-6032.56,12139.5,37,0.2253,0.2142,Convergence/flat likelihood; Collapsed rate class
8,SRV,1.0,1.0,-6032.56,12141.51,38,-6032.56,12139.49,37,0.2253,0.2142,Convergence/flat likelihood
9,SRV,1.0,1.0,-6032.61,12141.61,38,-6032.55,12139.49,37,0.2253,0.2142,Convergence/flat likelihood
10,SRV,1.0,1.0,-6032.56,12141.52,38,-6032.56,12139.5,37,0.2253,0.2142,Convergence/flat likelihood
1,SRV+Double,1.0,1.01,-6032.62,12145.68,40,-6032.62,12143.65,39,0.2253,0.2142,Convergence/flat likelihood
2,SRV+Double,1.0,1.0,-6032.56,12145.57,40,-6032.56,12143.55,39,0.2253,0.2142,Convergence/flat likelihood
3,SRV+Double,1.0,1.01,-6032.57,12145.59,40,-6032.57,12143.57,39,0.2253,0.2142,Convergence/flat likelihood
4,SRV+Double,1.0,1.0,-6032.57,12145.59,40,-6032.57,12143.57,39,0.2253,0.2142,Convergence/flat likelihood
5,SRV+Double,1.0,1.0,-6032.57,12145.59,40,-6032.57,12143.57,39,0.2253,0.2142,Convergence/flat likelihood
6,SRV+Double,1.0,1.0,-6032.56,12145.56,40,-6032.56,12143.54,39,0.2253,0.2142,Convergence/flat likelihood
7,SRV+Double,0.9939,1.01,-6032.57,12145.58,40,-6032.57,12143.56,39,0.2253,0.2142,Convergence/flat likelihood
8,SRV+Double,1.0,1.0,-6032.57,12145.58,40,-6032.57,12143.55,39,0.2253,0.2142,Convergence/flat likelihood
9,SRV+Double,1.0,1.0,-6032.56,12145.56,40,-6032.56,12143.54,39,0.2253,0.2142,Convergence/flat likelihood
10,SRV+Double,0.9985,1.01,-6032.57,12145.59,40,-6032.57,12143.56,39,0.2253,0.2142,Convergence/flat likelihood
1,SRV+Double+Triple,1.0,1.0,-6032.56,12149.6,42,-6032.56,12147.58,41,0.2253,0.2142,Convergence/flat likelihood
2,SRV+Double+Triple,1.0,1.01,-6032.62,12149.73,42,-6032.62,12147.7,41,0.2253,0.2142,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,1.0,1.0,-6032.56,12149.61,42,-6032.56,12147.58,41,0.2253,0.2142,Convergence/flat likelihood
4,SRV+Double+Triple,1.0,1.0,-6032.56,12149.61,42,-6032.56,12147.58,41,0.2253,0.2142,Convergence/flat likelihood
5,SRV+Double+Triple,1.0,1.01,-6032.57,12149.63,42,-6032.57,12147.6,41,0.2253,0.2142,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,1.0,1.01,-6032.65,12149.78,42,-6032.56,12147.58,41,0.2253,0.2142,Convergence/flat likelihood
7,SRV+Double+Triple,1.0,1.0,-6032.56,12149.6,42,-6032.56,12147.58,41,0.2253,0.2142,Convergence/flat likelihood
8,SRV+Double+Triple,1.0,1.0,-6032.56,12149.6,42,-6032.56,12147.58,41,0.2253,0.2142,Convergence/flat likelihood
9,SRV+Double+Triple,1.0,1.0,-6032.56,12149.6,42,-6032.55,12147.57,41,0.2253,0.2142,Convergence/flat likelihood
10,SRV+Double+Triple,1.0,1.0,-6032.56,12149.61,42,-6032.56,12147.58,41,0.2253,0.2142,Convergence/flat likelihood
