model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,19.919,SRV,1
null,2,1.0,74.955,SRV,1
null,3,4.88,5.126,SRV,1
null,1,0.0,19.813,SRV,2
null,2,0.998,75.049,SRV,2
null,3,4.884,5.139,SRV,2
null,1,0.085,25.014,SRV,3
null,2,1.044,69.731,SRV,3
null,3,4.764,5.256,SRV,3
null,1,0.0,19.34,SRV,4
null,2,0.982,75.061,SRV,4
null,3,4.697,5.598,SRV,4
null,1,0.0,19.656,SRV,5
null,2,0.991,74.957,SRV,5
null,3,4.774,5.386,SRV,5
null,1,0.0,19.649,SRV,6
null,2,0.992,75.056,SRV,6
null,3,4.819,5.295,SRV,6
null,1,0.0,19.62,SRV,7
null,2,0.992,75.061,SRV,7
null,3,4.807,5.319,SRV,7
null,1,0.0,19.78,SRV,8
null,2,0.997,75.044,SRV,8
null,3,4.864,5.176,SRV,8
null,1,0.0,19.918,SRV,9
null,2,1.001,74.984,SRV,9
null,3,4.895,5.099,SRV,9
null,1,0.0,19.643,SRV,10
null,2,0.993,75.094,SRV,10
null,3,4.835,5.263,SRV,10
