model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,19.465,SRV,1
null,2,0.986,75.04,SRV,1
null,3,4.735,5.495,SRV,1
null,1,0.0,19.645,SRV,2
null,2,0.992,75.032,SRV,2
null,3,4.801,5.323,SRV,2
null,1,0.0,19.696,SRV,3
null,2,0.995,75.073,SRV,3
null,3,4.844,5.231,SRV,3
null,1,0.0,19.829,SRV,4
null,2,0.997,74.964,SRV,4
null,3,4.845,5.207,SRV,4
null,1,0.0,19.788,SRV,5
null,2,0.997,75.005,SRV,5
null,3,4.85,5.207,SRV,5
null,1,0.0,19.854,SRV,6
null,2,0.998,74.956,SRV,6
null,3,4.852,5.19,SRV,6
null,1,0.0,19.717,SRV,7
null,2,0.995,75.051,SRV,7
null,3,4.841,5.232,SRV,7
null,1,0.0,19.867,SRV,8
null,2,0.998,74.935,SRV,8
null,3,4.853,5.198,SRV,8
null,1,0.0,19.743,SRV,9
null,2,0.996,75.044,SRV,9
null,3,4.847,5.213,SRV,9
null,1,0.0,19.723,SRV,10
null,2,0.995,75.041,SRV,10
null,3,4.836,5.236,SRV,10
