replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.3293,0.8,-6032.08,12140.56,38.0,-6032.56,12139.49,37.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.3196,0.78,-6032.06,12140.53,38.0,-6032.56,12139.5,37.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.3153,0.78,-6032.06,12140.51,38.0,-6032.56,12139.5,37.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.332,0.8,-6032.08,12140.57,38.0,-6032.55,12139.49,37.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.3217,0.79,-6032.07,12140.54,38.0,-6032.56,12139.5,37.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.3184,0.78,-6032.06,12140.53,38.0,-6032.56,12139.5,37.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.3271,0.8,-6032.08,12140.56,38.0,-6032.56,12139.5,37.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.318,0.79,-6032.07,12140.54,38.0,-6032.57,12139.52,37.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.3092,0.78,-6032.05,12140.5,38.0,-6032.56,12139.51,37.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.3062,0.77,-6032.04,12140.48,38.0,-6032.57,12139.51,37.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.3681,0.8,-6032.03,12144.5,40.0,-6032.43,12143.29,39.0,0.2165,0.2936,Convergence/flat likelihood
2,SRV+Double,0.363,0.8,-6032.02,12144.47,40.0,-6032.43,12143.28,39.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.3694,0.81,-6032.03,12144.5,40.0,-6032.43,12143.28,39.0,0.2165,0.2936,Convergence/flat likelihood
4,SRV+Double,0.3682,0.81,-6032.03,12144.5,40.0,-6032.43,12143.29,39.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.3678,0.81,-6032.03,12144.5,40.0,-6032.43,12143.29,39.0,0.2165,0.2936,Convergence/flat likelihood
6,SRV+Double,0.3676,0.81,-6032.02,12144.49,40.0,-6032.43,12143.28,39.0,0.2165,0.2936,Convergence/flat likelihood
7,SRV+Double,0.3649,0.8,-6032.02,12144.48,40.0,-6032.43,12143.28,39.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.3942,0.81,-6032.07,12144.58,40.0,-6032.43,12143.28,39.0,0.2165,0.2936,Convergence/flat likelihood
9,SRV+Double,0.3683,0.81,-6032.03,12144.5,40.0,-6032.43,12143.28,39.0,0.2165,0.2936,Convergence/flat likelihood
10,SRV+Double,0.3675,0.81,-6032.02,12144.49,40.0,-6032.43,12143.28,39.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.367,0.81,-6032.02,12148.54,42.0,-6032.43,12147.33,41.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.3669,0.81,-6032.02,12148.53,42.0,-6032.43,12147.33,41.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.3633,0.79,-6032.02,12148.53,42.0,-6032.43,12147.33,41.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.3633,0.79,-6032.02,12148.52,42.0,-6032.43,12147.33,41.0,0.2165,0.2936,Convergence/flat likelihood
5,SRV+Double+Triple,0.3669,0.81,-6032.02,12148.54,42.0,-6032.43,12147.33,41.0,0.2165,0.2936,Convergence/flat likelihood
6,SRV+Double+Triple,0.3629,0.8,-6032.02,12148.52,42.0,-6032.43,12147.32,41.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.3627,0.79,-6032.02,12148.53,42.0,-6032.43,12147.33,41.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,,,,,,,,,0.2165,0.2936,
9,SRV+Double+Triple,0.3646,0.8,-6032.02,12148.53,42.0,-6032.43,12147.33,41.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.3655,0.81,-6032.02,12148.53,42.0,-6032.43,12147.33,41.0,0.2165,0.2936,Convergence/flat likelihood; Collapsed rate class
