run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,1.049,,2.078
SRV,1,alternative,reference,omega,Negative selection,0.026,,3.218
SRV,1,alternative,reference,omega,Negative selection,0.202,,94.704
SRV,1,alternative,test,omega,Diversifying selection,1.053,,2.078
SRV,1,alternative,test,omega,Diversifying selection,1.049,,2.078
SRV,1,alternative,test,omega,Negative selection,0.019,,3.218
SRV,1,alternative,test,omega,Negative selection,0.177,,94.704
SRV,1,alternative,test,omega,Negative selection,0.026,,3.218
SRV,1,alternative,test,omega,Negative selection,0.202,,94.704
SRV,1,null,reference,omega,Diversifying selection,1.073,,2.044
SRV,1,null,reference,omega,Negative selection,0.033,,2.731
SRV,1,null,reference,omega,Negative selection,0.2,,95.226
SRV,1,null,test,omega,Diversifying selection,1.073,,2.044
SRV,1,null,test,omega,Negative selection,0.033,,2.731
SRV,1,null,test,omega,Negative selection,0.2,,95.226
SRV,2,alternative,reference,omega,Diversifying selection,1.171,,1.541
SRV,2,alternative,reference,omega,Negative selection,0.0,,3.989
SRV,2,alternative,reference,omega,Negative selection,0.209,,94.47
SRV,2,alternative,test,omega,Diversifying selection,1.187,,1.541
SRV,2,alternative,test,omega,Diversifying selection,1.171,,1.541
SRV,2,alternative,test,omega,Negative selection,0.0,,3.989
SRV,2,alternative,test,omega,Negative selection,0.182,,94.47
SRV,2,alternative,test,omega,Negative selection,0.0,,3.989
SRV,2,alternative,test,omega,Negative selection,0.209,,94.47
SRV,2,null,reference,omega,Diversifying selection,1.313,,1.326
SRV,2,null,reference,omega,Negative selection,0.014,,3.409
SRV,2,null,reference,omega,Negative selection,0.206,,95.265
SRV,2,null,test,omega,Diversifying selection,1.313,,1.326
SRV,2,null,test,omega,Negative selection,0.014,,3.409
SRV,2,null,test,omega,Negative selection,0.206,,95.265
SRV,3,alternative,reference,omega,Diversifying selection,2.055,,0.404
SRV,3,alternative,reference,omega,Negative selection,0.171,,75.878
SRV,3,alternative,reference,omega,Negative selection,0.325,,23.718
SRV,3,alternative,test,omega,Diversifying selection,2.184,,0.404
SRV,3,alternative,test,omega,Diversifying selection,2.055,,0.404
SRV,3,alternative,test,omega,Negative selection,0.147,,75.878
SRV,3,alternative,test,omega,Negative selection,0.296,,23.718
SRV,3,alternative,test,omega,Negative selection,0.171,,75.878
SRV,3,alternative,test,omega,Negative selection,0.325,,23.718
SRV,3,null,reference,omega,Diversifying selection,1.967,,0.46
SRV,3,null,reference,omega,Negative selection,0.169,,75.97
SRV,3,null,reference,omega,Negative selection,0.323,,23.569
SRV,3,null,test,omega,Diversifying selection,1.967,,0.46
SRV,3,null,test,omega,Negative selection,0.169,,75.97
SRV,3,null,test,omega,Negative selection,0.323,,23.569
SRV,4,alternative,reference,omega,Diversifying selection,1.096,,1.476
SRV,4,alternative,reference,omega,Negative selection,0.006,,7.243
SRV,4,alternative,reference,omega,Negative selection,0.217,,91.281
SRV,4,alternative,test,omega,Diversifying selection,1.104,,1.476
SRV,4,alternative,test,omega,Diversifying selection,1.096,,1.476
SRV,4,alternative,test,omega,Negative selection,0.004,,7.243
SRV,4,alternative,test,omega,Negative selection,0.19,,91.281
SRV,4,alternative,test,omega,Negative selection,0.006,,7.243
SRV,4,alternative,test,omega,Negative selection,0.217,,91.281
SRV,4,null,reference,omega,Diversifying selection,1.395,,1.006
SRV,4,null,reference,omega,Negative selection,0.011,,5.837
SRV,4,null,reference,omega,Negative selection,0.214,,93.158
SRV,4,null,test,omega,Diversifying selection,1.395,,1.006
SRV,4,null,test,omega,Negative selection,0.011,,5.837
SRV,4,null,test,omega,Negative selection,0.214,,93.158
SRV,5,alternative,reference,omega,Diversifying selection,1.092,,0.861
SRV,5,alternative,reference,omega,Negative selection,0.001,,13.472
SRV,5,alternative,reference,omega,Negative selection,0.24,,85.668
SRV,5,alternative,test,omega,Diversifying selection,1.101,,0.861
SRV,5,alternative,test,omega,Diversifying selection,1.092,,0.861
SRV,5,alternative,test,omega,Negative selection,0.0,,13.472
SRV,5,alternative,test,omega,Negative selection,0.21,,85.668
SRV,5,alternative,test,omega,Negative selection,0.001,,13.472
SRV,5,alternative,test,omega,Negative selection,0.24,,85.668
SRV,5,null,reference,omega,Diversifying selection,1.209,,0.79
SRV,5,null,reference,omega,Negative selection,0.008,,13.429
SRV,5,null,reference,omega,Negative selection,0.237,,85.781
SRV,5,null,test,omega,Diversifying selection,1.209,,0.79
SRV,5,null,test,omega,Negative selection,0.008,,13.429
SRV,5,null,test,omega,Negative selection,0.237,,85.781
SRV,6,alternative,reference,omega,Diversifying selection,1.216,,1.359
SRV,6,alternative,reference,omega,Negative selection,0.0,,5.055
SRV,6,alternative,reference,omega,Negative selection,0.212,,93.586
SRV,6,alternative,test,omega,Diversifying selection,1.237,,1.359
SRV,6,alternative,test,omega,Diversifying selection,1.216,,1.359
SRV,6,alternative,test,omega,Negative selection,0.0,,5.055
SRV,6,alternative,test,omega,Negative selection,0.185,,93.586
SRV,6,alternative,test,omega,Negative selection,0.0,,5.055
SRV,6,alternative,test,omega,Negative selection,0.212,,93.586
SRV,6,null,reference,omega,Diversifying selection,1.43,,1.066
SRV,6,null,reference,omega,Negative selection,0.01,,4.166
SRV,6,null,reference,omega,Negative selection,0.209,,94.768
SRV,6,null,test,omega,Diversifying selection,1.43,,1.066
SRV,6,null,test,omega,Negative selection,0.01,,4.166
SRV,6,null,test,omega,Negative selection,0.209,,94.768
SRV,7,alternative,reference,omega,Diversifying selection,1.728,,0.011
SRV,7,alternative,reference,omega,Negative selection,0.168,,86.228
SRV,7,alternative,reference,omega,Negative selection,0.501,,13.76
SRV,7,alternative,test,omega,Diversifying selection,1.813,,0.011
SRV,7,alternative,test,omega,Diversifying selection,1.728,,0.011
SRV,7,alternative,test,omega,Negative selection,0.144,,86.228
SRV,7,alternative,test,omega,Negative selection,0.471,,13.76
SRV,7,alternative,test,omega,Negative selection,0.168,,86.228
SRV,7,alternative,test,omega,Negative selection,0.501,,13.76
SRV,7,null,reference,omega,Diversifying selection,1.294,,0.117
SRV,7,null,reference,omega,Negative selection,0.169,,86.688
SRV,7,null,reference,omega,Negative selection,0.495,,13.195
SRV,7,null,test,omega,Diversifying selection,1.294,,0.117
SRV,7,null,test,omega,Negative selection,0.169,,86.688
SRV,7,null,test,omega,Negative selection,0.495,,13.195
SRV,8,alternative,reference,omega,Diversifying selection,1.032,,2.024
SRV,8,alternative,reference,omega,Negative selection,0.007,,3.872
SRV,8,alternative,reference,omega,Negative selection,0.206,,94.104
SRV,8,alternative,test,omega,Diversifying selection,1.035,,2.024
SRV,8,alternative,test,omega,Diversifying selection,1.032,,2.024
SRV,8,alternative,test,omega,Negative selection,0.005,,3.872
SRV,8,alternative,test,omega,Negative selection,0.18,,94.104
SRV,8,alternative,test,omega,Negative selection,0.007,,3.872
SRV,8,alternative,test,omega,Negative selection,0.206,,94.104
SRV,8,null,reference,omega,Diversifying selection,1.087,,1.929
SRV,8,null,reference,omega,Negative selection,0.037,,3.617
SRV,8,null,reference,omega,Negative selection,0.203,,94.454
SRV,8,null,test,omega,Diversifying selection,1.087,,1.929
SRV,8,null,test,omega,Negative selection,0.037,,3.617
SRV,8,null,test,omega,Negative selection,0.203,,94.454
SRV,9,alternative,reference,omega,Diversifying selection,1.07,,1.779
SRV,9,alternative,reference,omega,Negative selection,0.012,,5.287
SRV,9,alternative,reference,omega,Negative selection,0.21,,92.934
SRV,9,alternative,test,omega,Diversifying selection,1.076,,1.779
SRV,9,alternative,test,omega,Diversifying selection,1.07,,1.779
SRV,9,alternative,test,omega,Negative selection,0.008,,5.287
SRV,9,alternative,test,omega,Negative selection,0.184,,92.934
SRV,9,alternative,test,omega,Negative selection,0.012,,5.287
SRV,9,alternative,test,omega,Negative selection,0.21,,92.934
SRV,9,null,reference,omega,Diversifying selection,1.198,,1.512
SRV,9,null,reference,omega,Negative selection,0.02,,4.398
SRV,9,null,reference,omega,Negative selection,0.207,,94.09
SRV,9,null,test,omega,Diversifying selection,1.198,,1.512
