model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,19.779,SRV,1
null,2,0.996,74.995,SRV,1
null,3,4.84,5.226,SRV,1
null,1,0.0,19.769,SRV,2
null,2,0.995,74.997,SRV,2
null,3,4.846,5.234,SRV,2
null,1,0.0,19.464,SRV,3
null,2,0.989,75.232,SRV,3
null,3,4.824,5.303,SRV,3
null,1,0.0,19.608,SRV,4
null,2,0.992,75.091,SRV,4
null,3,4.814,5.301,SRV,4
null,1,0.0,19.45,SRV,5
null,2,0.985,75.034,SRV,5
null,3,4.725,5.516,SRV,5
null,1,0.0,19.734,SRV,6
null,2,0.994,75.009,SRV,6
null,3,4.84,5.257,SRV,6
null,1,0.0,19.645,SRV,7
null,2,0.991,74.969,SRV,7
null,3,4.773,5.386,SRV,7
null,1,0.0,19.753,SRV,8
null,2,0.996,75.013,SRV,8
null,3,4.838,5.235,SRV,8
null,1,0.0,19.798,SRV,9
null,2,0.996,74.95,SRV,9
null,3,4.826,5.252,SRV,9
null,1,0.0,19.286,SRV,10
null,2,0.98,75.087,SRV,10
null,3,4.689,5.627,SRV,10
