model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.048,0.0,SRV,1
alternative,reference,Negative selection,0.157,78.725,SRV,1
alternative,reference,Negative selection,0.437,21.275,SRV,1
alternative,test,Diversifying selection,1.068,0.0,SRV,1
alternative,test,Diversifying selection,1.048,0.0,SRV,1
alternative,test,Negative selection,0.075,78.725,SRV,1
alternative,test,Negative selection,0.314,21.275,SRV,1
alternative,test,Negative selection,0.157,78.725,SRV,1
alternative,test,Negative selection,0.437,21.275,SRV,1
null,reference,Diversifying selection,1.842,0.034,SRV,1
null,reference,Negative selection,0.156,79.119,SRV,1
null,reference,Negative selection,0.431,20.847,SRV,1
null,test,Diversifying selection,1.842,0.034,SRV,1
null,test,Negative selection,0.156,79.119,SRV,1
null,test,Negative selection,0.431,20.847,SRV,1
alternative,reference,Diversifying selection,1.011,0.0,SRV,2
alternative,reference,Negative selection,0.09,43.641,SRV,2
alternative,reference,Negative selection,0.315,56.359,SRV,2
alternative,test,Diversifying selection,1.016,0.0,SRV,2
alternative,test,Diversifying selection,1.011,0.0,SRV,2
alternative,test,Negative selection,0.034,43.641,SRV,2
alternative,test,Negative selection,0.197,56.359,SRV,2
alternative,test,Negative selection,0.09,43.641,SRV,2
alternative,test,Negative selection,0.315,56.359,SRV,2
null,reference,Diversifying selection,2.124,0.0,SRV,2
null,reference,Negative selection,0.088,43.468,SRV,2
null,reference,Negative selection,0.31,56.532,SRV,2
null,test,Diversifying selection,2.124,0.0,SRV,2
null,test,Negative selection,0.088,43.468,SRV,2
null,test,Negative selection,0.31,56.532,SRV,2
alternative,reference,Diversifying selection,1.065,2.226,SRV,3
alternative,reference,Negative selection,0.133,8.165,SRV,3
alternative,reference,Negative selection,0.203,89.609,SRV,3
alternative,test,Diversifying selection,1.092,2.226,SRV,3
alternative,test,Diversifying selection,1.065,2.226,SRV,3
alternative,test,Negative selection,0.06,8.165,SRV,3
alternative,test,Negative selection,0.109,89.609,SRV,3
alternative,test,Negative selection,0.133,8.165,SRV,3
alternative,test,Negative selection,0.203,89.609,SRV,3
null,reference,Diversifying selection,1.085,2.082,SRV,3
null,reference,Negative selection,0.133,7.589,SRV,3
null,reference,Negative selection,0.2,90.329,SRV,3
null,test,Diversifying selection,1.085,2.082,SRV,3
null,test,Negative selection,0.133,7.589,SRV,3
null,test,Negative selection,0.2,90.329,SRV,3
alternative,reference,Diversifying selection,1.09,1.87,SRV,4
alternative,reference,Negative selection,0.003,3.687,SRV,4
alternative,reference,Negative selection,0.208,94.442,SRV,4
alternative,test,Diversifying selection,1.127,1.87,SRV,4
alternative,test,Diversifying selection,1.09,1.87,SRV,4
alternative,test,Negative selection,0.0,3.687,SRV,4
alternative,test,Negative selection,0.112,94.442,SRV,4
alternative,test,Negative selection,0.003,3.687,SRV,4
alternative,test,Negative selection,0.208,94.442,SRV,4
null,reference,Diversifying selection,1.148,1.728,SRV,4
null,reference,Negative selection,0.021,3.451,SRV,4
null,reference,Negative selection,0.204,94.821,SRV,4
null,test,Diversifying selection,1.148,1.728,SRV,4
null,test,Negative selection,0.021,3.451,SRV,4
null,test,Negative selection,0.204,94.821,SRV,4
alternative,reference,Diversifying selection,1.096,1.879,SRV,5
alternative,reference,Negative selection,0.003,3.502,SRV,5
alternative,reference,Negative selection,0.207,94.619,SRV,5
alternative,test,Diversifying selection,1.136,1.879,SRV,5
alternative,test,Diversifying selection,1.096,1.879,SRV,5
alternative,test,Negative selection,0.0,3.502,SRV,5
alternative,test,Negative selection,0.112,94.619,SRV,5
alternative,test,Negative selection,0.003,3.502,SRV,5
alternative,test,Negative selection,0.207,94.619,SRV,5
null,reference,Diversifying selection,1.152,1.723,SRV,5
null,reference,Negative selection,0.022,3.064,SRV,5
null,reference,Negative selection,0.203,95.213,SRV,5
null,test,Diversifying selection,1.152,1.723,SRV,5
null,test,Negative selection,0.022,3.064,SRV,5
null,test,Negative selection,0.203,95.213,SRV,5
alternative,reference,Diversifying selection,2.126,0.0,SRV,6
alternative,reference,Negative selection,0.163,83.323,SRV,6
alternative,reference,Negative selection,0.486,16.677,SRV,6
alternative,test,Diversifying selection,2.881,0.0,SRV,6
alternative,test,Diversifying selection,2.126,0.0,SRV,6
alternative,test,Negative selection,0.078,83.323,SRV,6
alternative,test,Negative selection,0.363,16.677,SRV,6
alternative,test,Negative selection,0.163,83.323,SRV,6
alternative,test,Negative selection,0.486,16.677,SRV,6
null,reference,Diversifying selection,5.475,0.0,SRV,6
null,reference,Negative selection,0.163,83.664,SRV,6
null,reference,Negative selection,0.471,16.336,SRV,6
null,test,Diversifying selection,5.475,0.0,SRV,6
null,test,Negative selection,0.163,83.664,SRV,6
null,test,Negative selection,0.471,16.336,SRV,6
alternative,reference,Diversifying selection,1.024,1.558,SRV,7
alternative,reference,Negative selection,0.001,9.088,SRV,7
alternative,reference,Negative selection,0.225,89.353,SRV,7
alternative,test,Diversifying selection,1.034,1.558,SRV,7
alternative,test,Diversifying selection,1.024,1.558,SRV,7
alternative,test,Negative selection,0.0,9.088,SRV,7
alternative,test,Negative selection,0.123,89.353,SRV,7
alternative,test,Negative selection,0.001,9.088,SRV,7
alternative,test,Negative selection,0.225,89.353,SRV,7
null,reference,Diversifying selection,1.055,1.45,SRV,7
null,reference,Negative selection,0.003,8.988,SRV,7
null,reference,Negative selection,0.221,89.561,SRV,7
null,test,Diversifying selection,1.055,1.45,SRV,7
null,test,Negative selection,0.003,8.988,SRV,7
null,test,Negative selection,0.221,89.561,SRV,7
alternative,reference,Diversifying selection,1.019,2.336,SRV,8
alternative,reference,Negative selection,0.038,3.479,SRV,8
alternative,reference,Negative selection,0.203,94.185,SRV,8
alternative,test,Diversifying selection,1.026,2.336,SRV,8
alternative,test,Diversifying selection,1.019,2.336,SRV,8
alternative,test,Negative selection,0.011,3.479,SRV,8
alternative,test,Negative selection,0.109,94.185,SRV,8
alternative,test,Negative selection,0.038,3.479,SRV,8
alternative,test,Negative selection,0.203,94.185,SRV,8
null,reference,Diversifying selection,1.047,2.182,SRV,8
null,reference,Negative selection,0.054,3.377,SRV,8
null,reference,Negative selection,0.2,94.44,SRV,8
null,test,Diversifying selection,1.047,2.182,SRV,8
null,test,Negative selection,0.054,3.377,SRV,8
null,test,Negative selection,0.2,94.44,SRV,8
alternative,reference,Diversifying selection,1.06,2.129,SRV,9
alternative,reference,Negative selection,0.043,4.016,SRV,9
alternative,reference,Negative selection,0.204,93.855,SRV,9
alternative,test,Diversifying selection,1.084,2.129,SRV,9
alternative,test,Diversifying selection,1.06,2.129,SRV,9
alternative,test,Negative selection,0.012,4.016,SRV,9
alternative,test,Negative selection,0.11,93.855,SRV,9
alternative,test,Negative selection,0.043,4.016,SRV,9
alternative,test,Negative selection,0.204,93.855,SRV,9
null,reference,Diversifying selection,1.093,1.963,SRV,9
null,reference,Negative selection,0.06,3.634,SRV,9
null,reference,Negative selection,0.201,94.403,SRV,9
null,test,Diversifying selection,1.093,1.963,SRV,9
null,test,Negative selection,0.06,3.634,SRV,9
null,test,Negative selection,0.201,94.403,SRV,9
alternative,reference,Diversifying selection,1.043,2.335,SRV,10
alternative,reference,Negative selection,0.154,11.983,SRV,10
alternative,reference,Negative selection,0.203,85.682,SRV,10
alternative,test,Diversifying selection,1.06,2.335,SRV,10
alternative,test,Diversifying selection,1.043,2.335,SRV,10
alternative,test,Negative selection,0.074,11.983,SRV,10
alternative,test,Negative selection,0.109,85.682,SRV,10
alternative,test,Negative selection,0.154,11.983,SRV,10
alternative,test,Negative selection,0.203,85.682,SRV,10
null,reference,Diversifying selection,1.086,2.103,SRV,10
null,reference,Negative selection,0.151,10.524,SRV,10
null,reference,Negative selection,0.2,87.373,SRV,10
null,test,Diversifying selection,1.086,2.103,SRV,10
null,test,Negative selection,0.151,10.524,SRV,10
null,test,Negative selection,0.2,87.373,SRV,10
alternative,reference,Diversifying selection,1.011,0.0,SRV+Double,1
alternative,reference,Negative selection,0.117,56.535,SRV+Double,1
alternative,reference,Negative selection,0.346,43.465,SRV+Double,1
alternative,test,Diversifying selection,1.015,0.0,SRV+Double,1
alternative,test,Diversifying selection,1.011,0.0,SRV+Double,1
alternative,test,Negative selection,0.049,56.535,SRV+Double,1
alternative,test,Negative selection,0.226,43.465,SRV+Double,1
alternative,test,Negative selection,0.117,56.535,SRV+Double,1
alternative,test,Negative selection,0.346,43.465,SRV+Double,1
null,reference,Diversifying selection,2.254,0.0,SRV+Double,1
null,reference,Negative selection,0.115,56.627,SRV+Double,1
null,reference,Negative selection,0.342,43.373,SRV+Double,1
null,test,Diversifying selection,2.254,0.0,SRV+Double,1
null,test,Negative selection,0.115,56.627,SRV+Double,1
null,test,Negative selection,0.342,43.373,SRV+Double,1
alternative,reference,Diversifying selection,1.042,1.631,SRV+Double,2
alternative,reference,Negative selection,0.105,29.583,SRV+Double,2
alternative,reference,Negative selection,0.246,68.786,SRV+Double,2
alternative,test,Diversifying selection,1.06,1.631,SRV+Double,2
alternative,test,Diversifying selection,1.042,1.631,SRV+Double,2
alternative,test,Negative selection,0.043,29.583,SRV+Double,2
alternative,test,Negative selection,0.141,68.786,SRV+Double,2
alternative,test,Negative selection,0.105,29.583,SRV+Double,2
alternative,test,Negative selection,0.246,68.786,SRV+Double,2
null,reference,Diversifying selection,1.071,1.567,SRV+Double,2
null,reference,Negative selection,0.105,29.769,SRV+Double,2
null,reference,Negative selection,0.241,68.664,SRV+Double,2
null,test,Diversifying selection,1.071,1.567,SRV+Double,2
null,test,Negative selection,0.105,29.769,SRV+Double,2
null,test,Negative selection,0.241,68.664,SRV+Double,2
alternative,reference,Diversifying selection,1.189,1.416,SRV+Double,3
alternative,reference,Negative selection,0.152,53.068,SRV+Double,3
alternative,reference,Negative selection,0.262,45.516,SRV+Double,3
alternative,test,Diversifying selection,1.273,1.416,SRV+Double,3
alternative,test,Diversifying selection,1.189,1.416,SRV+Double,3
alternative,test,Negative selection,0.072,53.068,SRV+Double,3
alternative,test,Negative selection,0.155,45.516,SRV+Double,3
alternative,test,Negative selection,0.152,53.068,SRV+Double,3
alternative,test,Negative selection,0.262,45.516,SRV+Double,3
null,reference,Diversifying selection,1.288,1.247,SRV+Double,3
null,reference,Negative selection,0.15,53.307,SRV+Double,3
null,reference,Negative selection,0.259,45.446,SRV+Double,3
null,test,Diversifying selection,1.288,1.247,SRV+Double,3
null,test,Negative selection,0.15,53.307,SRV+Double,3
null,test,Negative selection,0.259,45.446,SRV+Double,3
alternative,reference,Diversifying selection,1.006,0.0,SRV+Double,4
alternative,reference,Negative selection,0.118,56.296,SRV+Double,4
alternative,reference,Negative selection,0.344,43.704,SRV+Double,4
alternative,test,Diversifying selection,1.009,0.0,SRV+Double,4
alternative,test,Diversifying selection,1.006,0.0,SRV+Double,4
alternative,test,Negative selection,0.049,56.296,SRV+Double,4
alternative,test,Negative selection,0.223,43.704,SRV+Double,4
alternative,test,Negative selection,0.118,56.296,SRV+Double,4
alternative,test,Negative selection,0.344,43.704,SRV+Double,4
null,reference,Diversifying selection,1.969,0.0,SRV+Double,4
null,reference,Negative selection,0.116,55.125,SRV+Double,4
null,reference,Negative selection,0.333,44.875,SRV+Double,4
null,test,Diversifying selection,1.969,0.0,SRV+Double,4
null,test,Negative selection,0.116,55.125,SRV+Double,4
null,test,Negative selection,0.333,44.875,SRV+Double,4
alternative,reference,Diversifying selection,1.06,1.436,SRV+Double,5
alternative,reference,Negative selection,0.133,47.805,SRV+Double,5
alternative,reference,Negative selection,0.272,50.759,SRV+Double,5
alternative,test,Diversifying selection,1.084,1.436,SRV+Double,5
alternative,test,Diversifying selection,1.06,1.436,SRV+Double,5
alternative,test,Negative selection,0.06,47.805,SRV+Double,5
alternative,test,Negative selection,0.162,50.759,SRV+Double,5
alternative,test,Negative selection,0.133,47.805,SRV+Double,5
alternative,test,Negative selection,0.272,50.759,SRV+Double,5
null,reference,Diversifying selection,1.155,1.22,SRV+Double,5
null,reference,Negative selection,0.131,48.033,SRV+Double,5
null,reference,Negative selection,0.269,50.747,SRV+Double,5
null,test,Diversifying selection,1.155,1.22,SRV+Double,5
null,test,Negative selection,0.131,48.033,SRV+Double,5
null,test,Negative selection,0.269,50.747,SRV+Double,5
alternative,reference,Diversifying selection,1.054,2.064,SRV+Double,6
alternative,reference,Negative selection,0.065,6.264,SRV+Double,6
alternative,reference,Negative selection,0.208,91.672,SRV+Double,6
alternative,test,Diversifying selection,1.077,2.064,SRV+Double,6
alternative,test,Diversifying selection,1.054,2.064,SRV+Double,6
alternative,test,Negative selection,0.022,6.264,SRV+Double,6
alternative,test,Negative selection,0.112,91.672,SRV+Double,6
alternative,test,Negative selection,0.065,6.264,SRV+Double,6
alternative,test,Negative selection,0.208,91.672,SRV+Double,6
null,reference,Diversifying selection,1.134,1.745,SRV+Double,6
null,reference,Negative selection,0.068,5.366,SRV+Double,6
null,reference,Negative selection,0.205,92.889,SRV+Double,6
null,test,Diversifying selection,1.134,1.745,SRV+Double,6
