run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Negative selection,0.027,,3.198
SRV,1,alternative,reference,omega,Negative selection,0.207,,94.584
SRV,1,alternative,reference,omega,Neutral evolution,1.0,,2.218
SRV,1,alternative,test,omega,Negative selection,0.006,,3.198
SRV,1,alternative,test,omega,Negative selection,0.107,,94.584
SRV,1,alternative,test,omega,Negative selection,0.027,,3.198
SRV,1,alternative,test,omega,Negative selection,0.207,,94.584
SRV,1,alternative,test,omega,Neutral evolution,1.0,,2.218
SRV,1,alternative,test,omega,Neutral evolution,1.0,,2.218
SRV,1,null,reference,omega,Diversifying selection,1.236,,1.636
SRV,1,null,reference,omega,Negative selection,0.061,,2.267
SRV,1,null,reference,omega,Negative selection,0.2,,96.097
SRV,1,null,test,omega,Diversifying selection,1.236,,1.636
SRV,1,null,test,omega,Negative selection,0.061,,2.267
SRV,1,null,test,omega,Negative selection,0.2,,96.097
SRV,2,alternative,reference,omega,Diversifying selection,1.009,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.095,,45.927
SRV,2,alternative,reference,omega,Negative selection,0.324,,54.073
SRV,2,alternative,test,omega,Diversifying selection,1.013,,0.0
SRV,2,alternative,test,omega,Diversifying selection,1.009,,0.0
SRV,2,alternative,test,omega,Negative selection,0.033,,45.927
SRV,2,alternative,test,omega,Negative selection,0.195,,54.073
SRV,2,alternative,test,omega,Negative selection,0.095,,45.927
SRV,2,alternative,test,omega,Negative selection,0.324,,54.073
SRV,2,null,reference,omega,Diversifying selection,2.087,,0.0
SRV,2,null,reference,omega,Negative selection,0.093,,45.639
SRV,2,null,reference,omega,Negative selection,0.314,,54.361
SRV,2,null,test,omega,Diversifying selection,2.087,,0.0
SRV,2,null,test,omega,Negative selection,0.093,,45.639
SRV,2,null,test,omega,Negative selection,0.314,,54.361
SRV,3,alternative,reference,omega,Diversifying selection,1.007,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.074,,38.062
SRV,3,alternative,reference,omega,Negative selection,0.308,,61.938
SRV,3,alternative,test,omega,Diversifying selection,1.01,,0.0
SRV,3,alternative,test,omega,Diversifying selection,1.007,,0.0
SRV,3,alternative,test,omega,Negative selection,0.022,,38.062
SRV,3,alternative,test,omega,Negative selection,0.18,,61.938
SRV,3,alternative,test,omega,Negative selection,0.074,,38.062
SRV,3,alternative,test,omega,Negative selection,0.308,,61.938
