replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.3304,0.2,-6178.04,12424.52,34,-6178.52,12423.44,33,0.3567,0.5829,Convergence/flat likelihood
2,SRV,0.3283,0.36,-6178.06,12424.54,34,-6178.53,12423.47,33,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.3399,0.38,-6178.08,12424.59,34,-6178.54,12423.48,33,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.3264,0.42,-6178.07,12424.58,34,-6178.56,12423.52,33,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.3295,4.17,-6178.16,12424.74,34,-6178.52,12423.45,33,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.3279,3.21,-6178.21,12424.85,34,-6178.53,12423.47,33,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.3283,3.33,-6178.19,12424.82,34,-6178.53,12423.46,33,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.3312,0.36,-6178.07,12424.58,34,-6178.55,12423.5,33,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.3298,0.32,-6178.06,12424.56,34,-6178.54,12423.48,33,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.3302,0.43,-6178.08,12424.6,34,-6178.56,12423.52,33,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.6891,0.38,-6178.07,12430.65,37,-6178.15,12428.78,36,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.3275,0.41,-6178.07,12428.61,36,-6178.55,12427.55,35,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.3284,3.62,-6178.17,12428.83,36,-6178.53,12427.51,35,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.3283,3.41,-6178.19,12428.86,36,-6178.53,12427.51,35,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.327,0.41,-6178.06,12428.61,36,-6178.54,12427.54,35,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.3268,0.41,-6178.06,12428.61,36,-6178.54,12427.54,35,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.3282,3.53,-6178.18,12428.84,36,-6178.53,12427.51,35,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.3284,3.63,-6178.17,12428.83,36,-6178.53,12427.51,35,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.3285,3.73,-6178.16,12428.81,36,-6178.52,12427.5,35,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.3275,0.42,-6178.07,12428.62,36,-6178.55,12427.55,35,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.3281,0.39,-6178.07,12432.68,38,-6178.55,12431.61,37,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.3284,0.38,-6178.07,12432.68,38,-6178.55,12431.61,37,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.3294,4.26,-6178.16,12432.85,38,-6178.52,12431.55,37,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.3293,4.32,-6178.16,12432.86,38,-6178.52,12431.55,37,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.3306,0.29,-6178.08,12432.69,38,-6178.55,12431.61,37,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.2739,0.33,-6177.3,12431.13,38,-6177.89,12430.3,37,0.3567,0.5829,Convergence/flat likelihood
7,SRV+Double+Triple,0.3292,3.86,-6178.17,12432.87,38,-6178.52,12431.56,37,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.3286,3.58,-6178.18,12432.89,38,-6178.53,12431.56,37,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.3295,3.73,-6178.17,12432.88,38,-6178.52,12431.56,37,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.3292,3.91,-6178.17,12432.87,38,-6178.52,12431.55,37,0.3567,0.5829,Convergence/flat likelihood; Collapsed rate class
