run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,4.343,,1.436
SRV,1,alternative,reference,omega,Negative selection,0.0,,4.811
SRV,1,alternative,reference,omega,Negative selection,0.319,,93.753
SRV,1,alternative,test,omega,Diversifying selection,33.263,,1.436
SRV,1,alternative,test,omega,Diversifying selection,4.343,,1.436
SRV,1,alternative,test,omega,Negative selection,0.0,,4.811
SRV,1,alternative,test,omega,Negative selection,0.065,,93.753
SRV,1,alternative,test,omega,Negative selection,0.0,,4.811
SRV,1,alternative,test,omega,Negative selection,0.319,,93.753
SRV,1,null,reference,omega,Diversifying selection,2.175,,7.198
SRV,1,null,reference,omega,Negative selection,0.0,,34.081
SRV,1,null,reference,omega,Negative selection,0.365,,58.721
SRV,1,null,test,omega,Diversifying selection,2.175,,7.198
SRV,1,null,test,omega,Negative selection,0.0,,34.081
SRV,1,null,test,omega,Negative selection,0.365,,58.721
SRV,2,alternative,reference,omega,Diversifying selection,3.224,,0.282
SRV,2,alternative,reference,omega,Negative selection,0.0,,57.859
SRV,2,alternative,reference,omega,Negative selection,0.85,,41.859
SRV,2,alternative,test,omega,Diversifying selection,148.295,,0.282
SRV,2,alternative,test,omega,Diversifying selection,3.224,,0.282
SRV,2,alternative,test,omega,Negative selection,0.0,,57.859
SRV,2,alternative,test,omega,Negative selection,0.499,,41.859
SRV,2,alternative,test,omega,Negative selection,0.0,,57.859
SRV,2,alternative,test,omega,Negative selection,0.85,,41.859
SRV,2,null,reference,omega,Diversifying selection,3.406,,0.878
SRV,2,null,reference,omega,Negative selection,0.0,,58.452
SRV,2,null,reference,omega,Negative selection,0.834,,40.67
SRV,2,null,test,omega,Diversifying selection,3.406,,0.878
SRV,2,null,test,omega,Negative selection,0.0,,58.452
SRV,2,null,test,omega,Negative selection,0.834,,40.67
SRV,3,alternative,reference,omega,Diversifying selection,4.427,,1.364
SRV,3,alternative,reference,omega,Negative selection,0.0,,8.029
SRV,3,alternative,reference,omega,Negative selection,0.333,,90.607
SRV,3,alternative,test,omega,Diversifying selection,34.96,,1.364
SRV,3,alternative,test,omega,Diversifying selection,4.427,,1.364
SRV,3,alternative,test,omega,Negative selection,0.0,,8.029
SRV,3,alternative,test,omega,Negative selection,0.072,,90.607
SRV,3,alternative,test,omega,Negative selection,0.0,,8.029
SRV,3,alternative,test,omega,Negative selection,0.333,,90.607
SRV,3,null,reference,omega,Diversifying selection,2.496,,5.389
SRV,3,null,reference,omega,Negative selection,0.0,,34.75
SRV,3,null,reference,omega,Negative selection,0.396,,59.861
SRV,3,null,test,omega,Diversifying selection,2.496,,5.389
SRV,3,null,test,omega,Negative selection,0.0,,34.75
SRV,3,null,test,omega,Negative selection,0.396,,59.861
SRV,4,alternative,reference,omega,Diversifying selection,4.494,,1.352
SRV,4,alternative,reference,omega,Negative selection,0.0,,5.882
SRV,4,alternative,reference,omega,Negative selection,0.325,,92.766
SRV,4,alternative,test,omega,Diversifying selection,35.025,,1.352
SRV,4,alternative,test,omega,Diversifying selection,4.494,,1.352
SRV,4,alternative,test,omega,Negative selection,0.0,,5.882
SRV,4,alternative,test,omega,Negative selection,0.07,,92.766
SRV,4,alternative,test,omega,Negative selection,0.0,,5.882
SRV,4,alternative,test,omega,Negative selection,0.325,,92.766
SRV,4,null,reference,omega,Diversifying selection,2.239,,6.702
SRV,4,null,reference,omega,Negative selection,0.0,,35.306
SRV,4,null,reference,omega,Negative selection,0.382,,57.993
