model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0,SRV+Double,1
alternative,test,2H,0.6482,SRV+Double,1
null,reference,2H,0.0,SRV+Double,1
null,test,2H,0.6279,SRV+Double,1
null,test,2H,0.7332,SRV+Double,1
alternative,reference,2H,0.0,SRV+Double,2
alternative,test,2H,0.6541,SRV+Double,2
null,reference,2H,0.0,SRV+Double,2
null,test,2H,0.6258,SRV+Double,2
null,test,2H,0.7474,SRV+Double,2
alternative,reference,2H,0.0,SRV+Double,3
alternative,test,2H,0.6399,SRV+Double,3
null,reference,2H,0.0,SRV+Double,3
null,test,2H,0.6233,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.0,SRV+Double,4
alternative,test,2H,0.6442,SRV+Double,4
null,reference,2H,0.0,SRV+Double,4
null,test,2H,0.6229,SRV+Double,4
null,test,2H,0.7093,SRV+Double,4
alternative,reference,2H,0.0,SRV+Double,5
alternative,test,2H,0.7248,SRV+Double,5
null,reference,2H,0.0,SRV+Double,5
null,test,2H,0.6262,SRV+Double,5
null,test,2H,0.7523,SRV+Double,5
alternative,reference,2H,0.0,SRV+Double,6
alternative,test,2H,0.6475,SRV+Double,6
null,reference,2H,0.0,SRV+Double,6
null,test,2H,0.624,SRV+Double,6
null,test,2H,0.7271,SRV+Double,6
alternative,reference,2H,0.0,SRV+Double,7
alternative,test,2H,0.6508,SRV+Double,7
null,reference,2H,0.0,SRV+Double,7
null,test,2H,0.6267,SRV+Double,7
null,test,2H,0.7357,SRV+Double,7
alternative,reference,2H,0.0,SRV+Double,8
alternative,test,2H,0.7213,SRV+Double,8
null,reference,2H,0.0,SRV+Double,8
null,test,2H,0.6234,SRV+Double,8
null,test,2H,0.7563,SRV+Double,8
alternative,reference,2H,0.0,SRV+Double,9
alternative,test,2H,0.6382,SRV+Double,9
null,reference,2H,0.0,SRV+Double,9
null,test,2H,0.6234,SRV+Double,9
null,test,2H,0.7406,SRV+Double,9
alternative,reference,2H,0.0,SRV+Double,10
alternative,test,2H,0.6562,SRV+Double,10
null,reference,2H,0.0,SRV+Double,10
null,test,2H,0.6264,SRV+Double,10
null,test,2H,0.7586,SRV+Double,10
alternative,reference,2H,0.0,SRV+Double+Triple,1
alternative,reference,3H,0.0,SRV+Double+Triple,1
alternative,test,2H,0.6415,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.0,SRV+Double+Triple,1
null,reference,3H,0.0,SRV+Double+Triple,1
null,test,2H,0.6245,SRV+Double+Triple,1
