model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.274,0.0,SRV,1
alternative,reference,Negative selection,0.155,79.822,SRV,1
alternative,reference,Negative selection,0.374,20.178,SRV,1
alternative,test,Diversifying selection,1.23,0.0,SRV,1
alternative,test,Diversifying selection,1.274,0.0,SRV,1
alternative,test,Negative selection,0.204,79.822,SRV,1
alternative,test,Negative selection,0.432,20.178,SRV,1
alternative,test,Negative selection,0.155,79.822,SRV,1
alternative,test,Negative selection,0.374,20.178,SRV,1
null,reference,Diversifying selection,1.672,0.406,SRV,1
null,reference,Negative selection,0.162,78.023,SRV,1
null,reference,Negative selection,0.371,21.571,SRV,1
null,test,Diversifying selection,1.672,0.406,SRV,1
null,test,Negative selection,0.162,78.023,SRV,1
null,test,Negative selection,0.371,21.571,SRV,1
alternative,reference,Negative selection,0.15,57.677,SRV,2
alternative,reference,Negative selection,0.243,41.094,SRV,2
alternative,reference,Neutral evolution,1.0,1.23,SRV,2
alternative,test,Negative selection,0.198,57.677,SRV,2
alternative,test,Negative selection,0.299,41.094,SRV,2
alternative,test,Negative selection,0.15,57.677,SRV,2
alternative,test,Negative selection,0.243,41.094,SRV,2
alternative,test,Neutral evolution,1.0,1.23,SRV,2
alternative,test,Neutral evolution,1.0,1.23,SRV,2
null,reference,Diversifying selection,1.054,1.947,SRV,2
null,reference,Negative selection,0.157,55.555,SRV,2
null,reference,Negative selection,0.248,42.498,SRV,2
null,test,Diversifying selection,1.054,1.947,SRV,2
null,test,Negative selection,0.157,55.555,SRV,2
null,test,Negative selection,0.248,42.498,SRV,2
alternative,reference,Diversifying selection,1.045,0.0,SRV,3
alternative,reference,Negative selection,0.144,71.482,SRV,3
alternative,reference,Negative selection,0.338,28.518,SRV,3
alternative,test,Diversifying selection,1.038,0.0,SRV,3
alternative,test,Diversifying selection,1.045,0.0,SRV,3
alternative,test,Negative selection,0.192,71.482,SRV,3
alternative,test,Negative selection,0.397,28.518,SRV,3
alternative,test,Negative selection,0.144,71.482,SRV,3
alternative,test,Negative selection,0.338,28.518,SRV,3
null,reference,Diversifying selection,1.4,0.575,SRV,3
null,reference,Negative selection,0.152,70.718,SRV,3
null,reference,Negative selection,0.339,28.708,SRV,3
null,test,Diversifying selection,1.4,0.575,SRV,3
null,test,Negative selection,0.152,70.718,SRV,3
null,test,Negative selection,0.339,28.708,SRV,3
alternative,reference,Diversifying selection,1.006,0.0,SRV,4
