replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.315,0.85,-6032.06,12140.52,38,-6032.56,12139.51,37,0.2062,0.2719,Convergence/flat likelihood
2,SRV,0.3209,0.85,-6032.07,12140.54,38,-6032.56,12139.5,37,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.3132,0.85,-6032.06,12140.51,38,-6032.56,12139.51,37,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.3162,0.85,-6032.06,12140.53,38,-6032.56,12139.51,37,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.3139,0.85,-6032.06,12140.52,38,-6032.56,12139.51,37,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.2817,0.82,-6031.99,12140.38,38,-6032.57,12139.52,37,0.2062,0.2719,Convergence/flat likelihood
7,SRV,0.326,0.85,-6032.08,12140.55,38,-6032.56,12139.5,37,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.3112,0.85,-6032.05,12140.51,38,-6032.57,12139.51,37,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.2826,0.82,-6031.99,12140.38,38,-6032.56,12139.51,37,0.2062,0.2719,Convergence/flat likelihood
10,SRV,0.3191,0.85,-6032.06,12140.53,38,-6032.56,12139.5,37,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.414,0.88,-6031.89,12144.23,40,-6032.23,12142.87,39,0.2062,0.2719,Convergence/flat likelihood
2,SRV+Double,0.4171,0.87,-6031.9,12144.25,40,-6032.23,12142.88,39,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.4132,0.88,-6031.89,12144.23,40,-6032.23,12142.88,39,0.2062,0.2719,Convergence/flat likelihood
4,SRV+Double,0.413,0.88,-6031.89,12144.23,40,-6032.23,12142.87,39,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.4307,0.88,-6031.92,12144.28,40,-6032.23,12142.87,39,0.2062,0.2719,Convergence/flat likelihood
6,SRV+Double,0.4123,0.88,-6031.89,12144.23,40,-6032.23,12142.88,39,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.4134,0.88,-6031.89,12144.23,40,-6032.23,12142.87,39,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.4151,0.88,-6031.89,12144.23,40,-6032.23,12142.87,39,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.4134,0.88,-6031.89,12144.23,40,-6032.23,12142.87,39,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.4139,0.88,-6031.89,12144.23,40,-6032.23,12142.87,39,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.4136,0.88,-6031.89,12148.27,42,-6032.23,12146.92,41,0.2062,0.2719,Convergence/flat likelihood
2,SRV+Double+Triple,0.4119,0.88,-6031.89,12148.28,42,-6032.23,12146.93,41,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.4116,0.88,-6031.89,12148.27,42,-6032.23,12146.92,41,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.4092,0.88,-6031.89,12148.27,42,-6032.23,12146.93,41,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.4132,0.88,-6031.89,12148.28,42,-6032.23,12146.92,41,0.2062,0.2719,Convergence/flat likelihood
6,SRV+Double+Triple,0.4118,0.88,-6031.89,12148.28,42,-6032.23,12146.93,41,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.4107,0.88,-6031.89,12148.27,42,-6032.23,12146.93,41,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.4126,0.88,-6031.89,12148.27,42,-6032.23,12146.92,41,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.4132,0.88,-6031.89,12148.27,42,-6032.23,12146.92,41,0.2062,0.2719,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.5715,0.85,-6032.07,12148.63,42,-6032.23,12146.93,41,0.2062,0.2719,Convergence/flat likelihood
