replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.2267,6.59,-6177.79,12424.0,34,-6178.52,12423.44,33,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.8424,1.08,-6178.54,12425.51,34,-6178.56,12423.52,33,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.2298,5.57,-6177.8,12424.02,34,-6178.52,12423.44,33,0.3516,0.3981,Convergence/flat likelihood
4,SRV,0.79,1.09,-6178.52,12425.48,34,-6178.56,12423.52,33,0.3516,0.3981,Convergence/flat likelihood
5,SRV,0.805,1.11,-6178.51,12425.45,34,-6178.54,12423.49,33,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.8135,1.09,-6178.52,12425.47,34,-6178.55,12423.5,33,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.3296,4.14,-6178.04,12424.51,34,-6178.52,12423.44,33,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.9184,1.11,-6178.54,12425.5,34,-6178.54,12423.49,33,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.8099,1.11,-6178.52,12425.46,34,-6178.55,12423.5,33,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.8549,1.1,-6178.53,12425.49,34,-6178.55,12423.5,33,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.8225,1.07,-6178.53,12429.53,36,-6178.55,12427.56,35,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.8236,1.07,-6178.53,12429.54,36,-6178.55,12427.56,35,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.7974,1.11,-6178.52,12429.51,36,-6178.55,12427.55,35,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.3303,4.0,-6178.04,12428.57,36,-6178.52,12427.49,35,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.8156,1.09,-6178.53,12429.53,36,-6178.55,12427.56,35,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.8035,1.19,-6178.5,12429.48,36,-6178.53,12427.52,35,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.8422,1.07,-6178.53,12429.53,36,-6178.55,12427.55,35,0.3516,0.3981,Convergence/flat likelihood
8,SRV+Double,0.8181,1.08,-6178.53,12429.54,36,-6178.55,12427.57,35,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.3294,3.96,-6178.04,12428.57,36,-6178.52,12427.49,35,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.8894,1.09,-6178.54,12429.57,36,-6178.55,12427.56,35,0.3516,0.3981,Convergence/flat likelihood
1,SRV+Double+Triple,0.2881,6.52,-6177.96,12432.45,38,-6178.52,12431.55,37,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.8304,1.06,-6178.53,12433.59,38,-6178.55,12431.61,37,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.8312,1.07,-6178.52,12433.59,38,-6178.55,12431.6,37,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.9516,0.98,-6177.49,12433.54,39,-6177.49,12431.51,38,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.8076,1.07,-6178.53,12433.6,38,-6178.56,12431.63,37,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.7801,1.09,-6178.55,12433.64,38,-6178.59,12431.69,37,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,1.0,1.09,-6178.56,12433.66,38,-6178.55,12431.6,37,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.8488,1.07,-6178.53,12433.59,38,-6178.55,12431.6,37,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.8364,1.07,-6178.53,12433.59,38,-6178.55,12431.61,37,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.3014,5.55,-6177.98,12432.5,38,-6178.52,12431.54,37,0.3516,0.3981,Convergence/flat likelihood; Collapsed rate class
