replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.7159,0.85,-6822.27,13716.95,36,-6822.34,13715.06,35,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.7169,0.85,-6822.27,13716.96,36,-6822.34,13715.06,35,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.7178,0.85,-6822.27,13716.96,36,-6822.34,13715.06,35,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.7242,0.85,-6822.28,13716.96,36,-6822.34,13715.06,35,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.9218,0.84,-6822.33,13717.08,36,-6822.34,13715.07,35,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.7257,0.85,-6822.33,13717.07,36,-6822.39,13715.17,35,0.2728,0.3208,Convergence/flat likelihood
7,SRV,1.0,0.85,-6822.36,13717.14,36,-6822.34,13715.07,35,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
8,SRV,1.0,0.85,-6822.37,13717.15,36,-6822.34,13715.06,35,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.7165,0.85,-6822.27,13716.96,36,-6822.34,13715.06,35,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.8895,0.85,-6822.33,13717.07,36,-6822.34,13715.06,35,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.7205,0.85,-6822.27,13721.01,38,-6822.34,13719.11,37,0.2728,0.3208,Convergence/flat likelihood
2,SRV+Double,0.7172,0.85,-6822.27,13721.0,38,-6822.34,13719.11,37,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.7184,0.85,-6822.27,13721.0,38,-6822.34,13719.11,37,0.2728,0.3208,Convergence/flat likelihood
4,SRV+Double,0.7182,0.85,-6822.27,13721.0,38,-6822.34,13719.11,37,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.7168,0.85,-6822.27,13721.0,38,-6822.34,13719.11,37,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.7196,0.85,-6822.27,13721.01,38,-6822.34,13719.11,37,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.7193,0.85,-6822.27,13721.01,38,-6822.34,13719.11,37,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.722,0.85,-6822.27,13721.01,38,-6822.34,13719.11,37,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.7226,0.85,-6822.27,13721.01,38,-6822.34,13719.11,37,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.9234,0.85,-6822.33,13721.13,38,-6822.34,13719.11,37,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.7165,0.85,-6822.27,13725.05,40,-6822.34,13723.16,39,0.2728,0.3208,Convergence/flat likelihood
2,SRV+Double+Triple,0.7202,0.85,-6822.27,13725.06,40,-6822.34,13723.16,39,0.2728,0.3208,Convergence/flat likelihood
3,SRV+Double+Triple,0.7239,0.85,-6822.28,13725.06,40,-6822.34,13723.16,39,0.2728,0.3208,Convergence/flat likelihood
4,SRV+Double+Triple,1.0,0.85,-6822.34,13725.19,40,-6822.34,13723.16,39,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.7176,0.85,-6822.27,13725.05,40,-6822.34,13723.16,39,0.2728,0.3208,Convergence/flat likelihood
6,SRV+Double+Triple,0.7208,0.85,-6822.27,13725.05,40,-6822.34,13723.16,39,0.2728,0.3208,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.722,0.85,-6822.27,13725.06,40,-6822.34,13723.16,39,0.2728,0.3208,Convergence/flat likelihood
8,SRV+Double+Triple,0.7202,0.85,-6822.27,13725.06,40,-6822.34,13723.16,39,0.2728,0.3208,Convergence/flat likelihood
9,SRV+Double+Triple,0.7161,0.85,-6822.27,13725.05,40,-6822.34,13723.16,39,0.2728,0.3208,Convergence/flat likelihood
10,SRV+Double+Triple,0.7192,0.84,-6822.27,13725.05,40,-6822.34,13723.16,39,0.2728,0.3208,Convergence/flat likelihood
