model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,9.99,SRV,1
null,2,0.886,81.161,SRV,1
null,3,3.178,8.849,SRV,1
null,1,0.0,9.938,SRV,2
null,2,0.884,81.172,SRV,2
null,3,3.174,8.89,SRV,2
null,1,0.0,9.875,SRV,3
null,2,0.882,81.14,SRV,3
null,3,3.161,8.985,SRV,3
null,1,0.0,9.959,SRV,4
null,2,0.884,81.113,SRV,4
null,3,3.167,8.927,SRV,4
null,1,0.0,9.454,SRV,5
null,2,0.871,81.068,SRV,5
null,3,3.103,9.478,SRV,5
null,1,0.281,24.763,SRV,6
null,2,0.992,66.739,SRV,6
null,3,3.156,8.497,SRV,6
null,1,0.0,9.68,SRV,7
null,2,0.878,81.191,SRV,7
null,3,3.145,9.129,SRV,7
null,1,0.0,9.921,SRV,8
null,2,0.883,81.118,SRV,8
null,3,3.163,8.961,SRV,8
null,1,0.0,9.974,SRV,9
null,2,0.885,81.174,SRV,9
null,3,3.179,8.852,SRV,9
null,1,0.0,9.904,SRV,10
null,2,0.883,81.113,SRV,10
null,3,3.16,8.983,SRV,10
