run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,5.662,,0.51
SRV,1,alternative,reference,omega,Negative selection,0.227,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.249,,99.49
SRV,1,alternative,test,omega,Diversifying selection,8.164,,0.51
SRV,1,alternative,test,omega,Diversifying selection,5.662,,0.51
SRV,1,alternative,test,omega,Negative selection,0.166,,0.0
SRV,1,alternative,test,omega,Negative selection,0.186,,99.49
SRV,1,alternative,test,omega,Negative selection,0.227,,0.0
SRV,1,alternative,test,omega,Negative selection,0.249,,99.49
SRV,1,null,reference,omega,Diversifying selection,6.108,,0.481
SRV,1,null,reference,omega,Negative selection,0.228,,3.702
SRV,1,null,reference,omega,Negative selection,0.249,,95.817
SRV,1,null,test,omega,Diversifying selection,6.108,,0.481
SRV,1,null,test,omega,Negative selection,0.228,,3.702
SRV,1,null,test,omega,Negative selection,0.249,,95.817
SRV,2,alternative,reference,omega,Diversifying selection,5.315,,0.544
SRV,2,alternative,reference,omega,Negative selection,0.213,,7.248
SRV,2,alternative,reference,omega,Negative selection,0.252,,92.208
SRV,2,alternative,test,omega,Diversifying selection,7.632,,0.544
SRV,2,alternative,test,omega,Diversifying selection,5.315,,0.544
SRV,2,alternative,test,omega,Negative selection,0.152,,7.248
SRV,2,alternative,test,omega,Negative selection,0.187,,92.208
SRV,2,alternative,test,omega,Negative selection,0.213,,7.248
SRV,2,alternative,test,omega,Negative selection,0.252,,92.208
SRV,2,null,reference,omega,Diversifying selection,5.473,,0.546
SRV,2,null,reference,omega,Negative selection,0.218,,7.022
SRV,2,null,reference,omega,Negative selection,0.249,,92.433
SRV,2,null,test,omega,Diversifying selection,5.473,,0.546
SRV,2,null,test,omega,Negative selection,0.218,,7.022
SRV,2,null,test,omega,Negative selection,0.249,,92.433
SRV,3,alternative,reference,omega,Diversifying selection,5.633,,0.531
SRV,3,alternative,reference,omega,Negative selection,0.202,,28.169
SRV,3,alternative,reference,omega,Negative selection,0.267,,71.301
SRV,3,alternative,test,omega,Diversifying selection,8.041,,0.531
SRV,3,alternative,test,omega,Diversifying selection,5.633,,0.531
SRV,3,alternative,test,omega,Negative selection,0.145,,28.169
SRV,3,alternative,test,omega,Negative selection,0.203,,71.301
SRV,3,alternative,test,omega,Negative selection,0.202,,28.169
SRV,3,alternative,test,omega,Negative selection,0.267,,71.301
SRV,3,null,reference,omega,Diversifying selection,5.777,,0.539
SRV,3,null,reference,omega,Negative selection,0.206,,27.641
SRV,3,null,reference,omega,Negative selection,0.262,,71.82
SRV,3,null,test,omega,Diversifying selection,5.777,,0.539
SRV,3,null,test,omega,Negative selection,0.206,,27.641
SRV,3,null,test,omega,Negative selection,0.262,,71.82
SRV,4,alternative,reference,omega,Diversifying selection,5.212,,0.557
SRV,4,alternative,reference,omega,Negative selection,0.215,,3.997
SRV,4,alternative,reference,omega,Negative selection,0.25,,95.446
SRV,4,alternative,test,omega,Diversifying selection,7.489,,0.557
SRV,4,alternative,test,omega,Diversifying selection,5.212,,0.557
SRV,4,alternative,test,omega,Negative selection,0.154,,3.997
SRV,4,alternative,test,omega,Negative selection,0.184,,95.446
SRV,4,alternative,test,omega,Negative selection,0.215,,3.997
SRV,4,alternative,test,omega,Negative selection,0.25,,95.446
SRV,4,null,reference,omega,Diversifying selection,5.417,,0.553
SRV,4,null,reference,omega,Negative selection,0.237,,3.759
SRV,4,null,reference,omega,Negative selection,0.247,,95.687
SRV,4,null,test,omega,Diversifying selection,5.417,,0.553
SRV,4,null,test,omega,Negative selection,0.237,,3.759
SRV,4,null,test,omega,Negative selection,0.247,,95.687
SRV,5,alternative,reference,omega,Diversifying selection,5.839,,0.482
SRV,5,alternative,reference,omega,Negative selection,0.249,,99.518
SRV,5,alternative,reference,omega,Negative selection,0.254,,0.0
SRV,5,alternative,test,omega,Diversifying selection,8.439,,0.482
SRV,5,alternative,test,omega,Diversifying selection,5.839,,0.482
SRV,5,alternative,test,omega,Negative selection,0.186,,99.518
SRV,5,alternative,test,omega,Negative selection,0.191,,0.0
SRV,5,alternative,test,omega,Negative selection,0.249,,99.518
SRV,5,alternative,test,omega,Negative selection,0.254,,0.0
SRV,5,null,reference,omega,Diversifying selection,6.263,,0.464
SRV,5,null,reference,omega,Negative selection,0.247,,2.337
SRV,5,null,reference,omega,Negative selection,0.248,,97.199
SRV,5,null,test,omega,Diversifying selection,6.263,,0.464
SRV,5,null,test,omega,Negative selection,0.247,,2.337
SRV,5,null,test,omega,Negative selection,0.248,,97.199
SRV,6,alternative,reference,omega,Diversifying selection,5.013,,0.588
SRV,6,alternative,reference,omega,Negative selection,0.223,,3.217
SRV,6,alternative,reference,omega,Negative selection,0.249,,96.195
SRV,6,alternative,test,omega,Diversifying selection,7.153,,0.588
SRV,6,alternative,test,omega,Diversifying selection,5.013,,0.588
SRV,6,alternative,test,omega,Negative selection,0.16,,3.217
SRV,6,alternative,test,omega,Negative selection,0.183,,96.195
SRV,6,alternative,test,omega,Negative selection,0.223,,3.217
SRV,6,alternative,test,omega,Negative selection,0.249,,96.195
SRV,6,null,reference,omega,Diversifying selection,5.281,,0.569
SRV,6,null,reference,omega,Negative selection,0.241,,3.149
SRV,6,null,reference,omega,Negative selection,0.247,,96.282
SRV,6,null,test,omega,Diversifying selection,5.281,,0.569
SRV,6,null,test,omega,Negative selection,0.241,,3.149
SRV,6,null,test,omega,Negative selection,0.247,,96.282
SRV,7,alternative,reference,omega,Diversifying selection,5.214,,0.558
SRV,7,alternative,reference,omega,Negative selection,0.222,,2.348
SRV,7,alternative,reference,omega,Negative selection,0.249,,97.093
SRV,7,alternative,test,omega,Diversifying selection,7.499,,0.558
SRV,7,alternative,test,omega,Diversifying selection,5.214,,0.558
SRV,7,alternative,test,omega,Negative selection,0.159,,2.348
SRV,7,alternative,test,omega,Negative selection,0.183,,97.093
SRV,7,alternative,test,omega,Negative selection,0.222,,2.348
SRV,7,alternative,test,omega,Negative selection,0.249,,97.093
SRV,7,null,reference,omega,Diversifying selection,5.42,,0.551
SRV,7,null,reference,omega,Negative selection,0.247,,97.076
SRV,7,null,reference,omega,Negative selection,0.247,,2.373
SRV,7,null,test,omega,Diversifying selection,5.42,,0.551
SRV,7,null,test,omega,Negative selection,0.247,,97.076
SRV,7,null,test,omega,Negative selection,0.247,,2.373
SRV,8,alternative,reference,omega,Diversifying selection,5.025,,0.588
SRV,8,alternative,reference,omega,Negative selection,0.219,,12.386
SRV,8,alternative,reference,omega,Negative selection,0.252,,87.026
SRV,8,alternative,test,omega,Diversifying selection,7.164,,0.588
SRV,8,alternative,test,omega,Diversifying selection,5.025,,0.588
SRV,8,alternative,test,omega,Negative selection,0.157,,12.386
SRV,8,alternative,test,omega,Negative selection,0.186,,87.026
SRV,8,alternative,test,omega,Negative selection,0.219,,12.386
SRV,8,alternative,test,omega,Negative selection,0.252,,87.026
SRV,8,null,reference,omega,Diversifying selection,5.541,,0.532
SRV,8,null,reference,omega,Negative selection,0.24,,10.893
SRV,8,null,reference,omega,Negative selection,0.248,,88.575
SRV,8,null,test,omega,Diversifying selection,5.541,,0.532
SRV,8,null,test,omega,Negative selection,0.24,,10.893
SRV,8,null,test,omega,Negative selection,0.248,,88.575
SRV,9,alternative,reference,omega,Diversifying selection,5.238,,0.556
SRV,9,alternative,reference,omega,Negative selection,0.237,,7.407
SRV,9,alternative,reference,omega,Negative selection,0.25,,92.037
SRV,9,alternative,test,omega,Diversifying selection,7.523,,0.556
SRV,9,alternative,test,omega,Diversifying selection,5.238,,0.556
SRV,9,alternative,test,omega,Negative selection,0.173,,7.407
SRV,9,alternative,test,omega,Negative selection,0.185,,92.037
SRV,9,alternative,test,omega,Negative selection,0.237,,7.407
SRV,9,alternative,test,omega,Negative selection,0.25,,92.037
SRV,9,null,reference,omega,Diversifying selection,5.53,,0.542
SRV,9,null,reference,omega,Negative selection,0.24,,7.101
