replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.6507,1.21,-6822.3,13717.01,36,-6822.4,13715.2,35,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.6431,1.22,-6822.23,13716.88,36,-6822.34,13715.07,35,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.6524,1.21,-6822.39,13717.2,36,-6822.5,13715.38,35,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.6412,1.22,-6822.23,13716.87,36,-6822.34,13715.07,35,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.6508,1.21,-6822.3,13717.01,36,-6822.4,13715.19,35,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.6407,1.22,-6822.23,13716.87,36,-6822.34,13715.07,35,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.6411,1.22,-6822.23,13716.87,36,-6822.34,13715.07,35,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.6431,1.22,-6822.23,13716.87,36,-6822.34,13715.07,35,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.6444,1.22,-6822.23,13716.88,36,-6822.34,13715.07,35,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.6413,1.22,-6822.23,13716.87,36,-6822.34,13715.07,35,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.6449,1.22,-6822.23,13720.92,38,-6822.34,13719.11,37,0.2765,0.1907,Convergence/flat likelihood
2,SRV+Double,0.6406,1.22,-6822.23,13720.92,38,-6822.34,13719.11,37,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.6435,1.23,-6822.23,13720.92,38,-6822.34,13719.11,37,0.2765,0.1907,Convergence/flat likelihood
4,SRV+Double,0.6415,1.22,-6822.23,13720.92,38,-6822.34,13719.11,37,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.6458,1.22,-6822.23,13720.92,38,-6822.34,13719.11,37,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.6426,1.22,-6822.23,13720.92,38,-6822.34,13719.11,37,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.6435,1.23,-6822.23,13720.92,38,-6822.34,13719.11,37,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.6447,1.23,-6822.23,13720.92,38,-6822.34,13719.11,37,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.6404,1.22,-6822.23,13720.92,38,-6822.34,13719.11,37,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.6428,1.23,-6822.23,13720.92,38,-6822.34,13719.11,37,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.6415,1.22,-6822.23,13724.97,40,-6822.34,13723.16,39,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.6439,1.22,-6822.23,13724.97,40,-6822.34,13723.16,39,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.65,1.21,-6822.3,13725.11,40,-6822.41,13723.29,39,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.6422,1.22,-6822.23,13724.97,40,-6822.34,13723.16,39,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.6422,1.22,-6822.23,13724.97,40,-6822.34,13723.16,39,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.6431,1.22,-6822.23,13724.97,40,-6822.34,13723.16,39,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.6483,1.22,-6822.24,13724.98,40,-6822.34,13723.16,39,0.2765,0.1907,Convergence/flat likelihood
8,SRV+Double+Triple,0.6413,1.22,-6822.23,13724.97,40,-6822.34,13723.16,39,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.6421,1.22,-6822.23,13724.97,40,-6822.34,13723.16,39,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.641,1.22,-6822.23,13724.97,40,-6822.34,13723.16,39,0.2765,0.1907,Convergence/flat likelihood; Collapsed rate class
