model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0372,SRV+Double,1
alternative,reference,2H,0.0344,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.0339,SRV+Double,1
null,reference,2H,0.034,SRV+Double,1
null,reference,2H,0.0344,SRV+Double,1
null,reference,2H,0.0341,SRV+Double,1
null,reference,2H,0.0346,SRV+Double,1
null,reference,2H,0.0,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.0246,SRV+Double,2
alternative,reference,2H,0.0356,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.0351,SRV+Double,2
null,reference,2H,0.0,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.0,SRV+Double,3
alternative,reference,2H,0.0331,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.0329,SRV+Double,3
null,reference,2H,0.0,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.039,SRV+Double,4
alternative,reference,2H,0.0371,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.0369,SRV+Double,4
null,reference,2H,0.0368,SRV+Double,4
null,reference,2H,0.0,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.046,SRV+Double,5
alternative,reference,2H,0.0381,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.037,SRV+Double,5
null,reference,2H,0.0364,SRV+Double,5
null,reference,2H,0.0371,SRV+Double,5
null,reference,2H,0.0,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.0587,SRV+Double,6
alternative,reference,2H,0.0382,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.0374,SRV+Double,6
null,reference,2H,0.0368,SRV+Double,6
null,reference,2H,0.0371,SRV+Double,6
null,reference,2H,0.0,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.0502,SRV+Double,7
alternative,reference,2H,0.035,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.0354,SRV+Double,7
null,reference,2H,0.0,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.0323,SRV+Double,8
alternative,reference,2H,0.0358,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.0357,SRV+Double,8
null,reference,2H,0.0358,SRV+Double,8
null,reference,2H,0.0359,SRV+Double,8
null,reference,2H,0.0353,SRV+Double,8
null,reference,2H,0.0352,SRV+Double,8
null,reference,2H,0.0351,SRV+Double,8
null,reference,2H,0.0349,SRV+Double,8
null,reference,2H,0.0,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.0407,SRV+Double,9
alternative,reference,2H,0.03,SRV+Double,9
alternative,test,2H,0.0,SRV+Double,9
null,reference,2H,0.0374,SRV+Double,9
null,reference,2H,0.0006,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.0465,SRV+Double,10
alternative,reference,2H,0.0373,SRV+Double,10
alternative,test,2H,0.0,SRV+Double,10
null,reference,2H,0.0376,SRV+Double,10
null,reference,2H,0.0,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.0715,SRV+Double+Triple,1
alternative,reference,2H,0.0,SRV+Double+Triple,1
alternative,reference,3H,0.4671,SRV+Double+Triple,1
alternative,reference,3H,0.5049,SRV+Double+Triple,1
alternative,test,2H,0.0,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.0,SRV+Double+Triple,1
null,reference,3H,0.4994,SRV+Double+Triple,1
null,reference,3H,0.4529,SRV+Double+Triple,1
null,test,2H,0.0,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.0438,SRV+Double+Triple,2
alternative,reference,2H,0.0,SRV+Double+Triple,2
alternative,reference,3H,0.4354,SRV+Double+Triple,2
alternative,reference,3H,0.4971,SRV+Double+Triple,2
alternative,test,2H,0.0,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.0,SRV+Double+Triple,2
null,reference,3H,0.4965,SRV+Double+Triple,2
null,reference,3H,0.452,SRV+Double+Triple,2
null,test,2H,0.0,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.0574,SRV+Double+Triple,3
alternative,reference,2H,0.0,SRV+Double+Triple,3
alternative,reference,3H,0.4524,SRV+Double+Triple,3
alternative,reference,3H,0.5067,SRV+Double+Triple,3
alternative,test,2H,0.0,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.0,SRV+Double+Triple,3
null,reference,3H,0.5018,SRV+Double+Triple,3
null,reference,3H,0.4525,SRV+Double+Triple,3
null,test,2H,0.0,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
alternative,reference,2H,0.0505,SRV+Double+Triple,4
alternative,reference,2H,0.0,SRV+Double+Triple,4
alternative,reference,3H,0.4434,SRV+Double+Triple,4
alternative,reference,3H,0.503,SRV+Double+Triple,4
alternative,test,2H,0.0,SRV+Double+Triple,4
alternative,test,3H,0.0,SRV+Double+Triple,4
null,reference,2H,0.0,SRV+Double+Triple,4
null,reference,3H,0.4967,SRV+Double+Triple,4
null,reference,3H,0.4522,SRV+Double+Triple,4
null,test,2H,0.0,SRV+Double+Triple,4
null,test,3H,0.0,SRV+Double+Triple,4
alternative,reference,2H,0.074,SRV+Double+Triple,5
alternative,reference,2H,0.0,SRV+Double+Triple,5
alternative,reference,3H,0.4733,SRV+Double+Triple,5
alternative,reference,3H,0.5028,SRV+Double+Triple,5
alternative,test,2H,0.0,SRV+Double+Triple,5
alternative,test,3H,0.0,SRV+Double+Triple,5
null,reference,2H,0.0,SRV+Double+Triple,5
null,reference,3H,0.4981,SRV+Double+Triple,5
null,reference,3H,0.453,SRV+Double+Triple,5
null,test,2H,0.0,SRV+Double+Triple,5
null,test,3H,0.0,SRV+Double+Triple,5
alternative,reference,2H,0.0335,SRV+Double+Triple,6
alternative,reference,2H,0.0,SRV+Double+Triple,6
alternative,reference,3H,0.424,SRV+Double+Triple,6
alternative,reference,3H,0.4975,SRV+Double+Triple,6
alternative,test,2H,0.0,SRV+Double+Triple,6
alternative,test,3H,0.0,SRV+Double+Triple,6
null,reference,2H,0.0,SRV+Double+Triple,6
null,reference,3H,0.4973,SRV+Double+Triple,6
null,reference,3H,0.4521,SRV+Double+Triple,6
null,test,2H,0.0,SRV+Double+Triple,6
null,test,3H,0.0,SRV+Double+Triple,6
alternative,reference,2H,0.0568,SRV+Double+Triple,7
alternative,reference,2H,0.0,SRV+Double+Triple,7
alternative,reference,3H,0.4515,SRV+Double+Triple,7
alternative,reference,3H,0.5047,SRV+Double+Triple,7
alternative,test,2H,0.0,SRV+Double+Triple,7
alternative,test,3H,0.0,SRV+Double+Triple,7
null,reference,2H,0.0,SRV+Double+Triple,7
null,reference,3H,0.4995,SRV+Double+Triple,7
null,reference,3H,0.4546,SRV+Double+Triple,7
null,test,2H,0.0,SRV+Double+Triple,7
null,test,3H,0.0,SRV+Double+Triple,7
alternative,reference,2H,0.0538,SRV+Double+Triple,8
alternative,reference,2H,0.0,SRV+Double+Triple,8
alternative,reference,3H,0.4489,SRV+Double+Triple,8
alternative,reference,3H,0.5055,SRV+Double+Triple,8
alternative,test,2H,0.0,SRV+Double+Triple,8
alternative,test,3H,0.0,SRV+Double+Triple,8
null,reference,2H,0.0,SRV+Double+Triple,8
null,reference,3H,0.5,SRV+Double+Triple,8
null,reference,3H,0.4508,SRV+Double+Triple,8
null,test,2H,0.0,SRV+Double+Triple,8
null,test,3H,0.0,SRV+Double+Triple,8
alternative,reference,2H,0.0441,SRV+Double+Triple,9
alternative,reference,2H,0.0,SRV+Double+Triple,9
alternative,reference,3H,0.4376,SRV+Double+Triple,9
alternative,reference,3H,0.5071,SRV+Double+Triple,9
alternative,test,2H,0.0,SRV+Double+Triple,9
alternative,test,3H,0.0,SRV+Double+Triple,9
null,reference,2H,0.0,SRV+Double+Triple,9
null,reference,3H,0.5012,SRV+Double+Triple,9
null,reference,3H,0.4523,SRV+Double+Triple,9
null,test,2H,0.0,SRV+Double+Triple,9
null,test,3H,0.0,SRV+Double+Triple,9
alternative,reference,2H,0.086,SRV+Double+Triple,10
alternative,reference,2H,0.0,SRV+Double+Triple,10
alternative,reference,3H,0.4824,SRV+Double+Triple,10
alternative,reference,3H,0.5079,SRV+Double+Triple,10
alternative,test,2H,0.0,SRV+Double+Triple,10
alternative,test,3H,0.0,SRV+Double+Triple,10
null,reference,2H,0.0,SRV+Double+Triple,10
null,reference,3H,0.5024,SRV+Double+Triple,10
null,reference,3H,0.4539,SRV+Double+Triple,10
null,test,2H,0.0,SRV+Double+Triple,10
null,test,3H,0.0,SRV+Double+Triple,10
