replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,1.0,0.98,-6798.98,13658.46,30,-6798.96,13656.4,29,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.9672,0.98,-6798.92,13658.35,30,-6798.92,13656.32,29,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
3,SRV,1.0,0.98,-6798.95,13658.4,30,-6798.94,13656.36,29,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
4,SRV,1.0,0.99,-6798.92,13658.35,30,-6798.92,13656.31,29,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.9066,0.98,-6798.97,13658.44,30,-6798.97,13656.42,29,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.9699,0.99,-6798.92,13658.35,30,-6798.92,13656.32,29,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
7,SRV,1.0,0.99,-6798.93,13658.37,30,-6798.93,13656.34,29,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
8,SRV,1.0,0.98,-6798.95,13658.41,30,-6798.95,13656.37,29,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.9355,0.98,-6798.95,13658.4,30,-6798.95,13656.38,29,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
10,SRV,1.0,0.98,-6798.98,13658.46,30,-6798.94,13656.35,29,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,1.0,1.0,-6798.84,13662.26,32,-6798.84,13660.22,31,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.9246,1.02,-6798.82,13662.21,32,-6798.82,13660.19,31,0.2347,0.2107,Convergence/flat likelihood
3,SRV+Double,0.9936,0.99,-6798.85,13662.28,32,-6798.85,13660.25,31,0.2347,0.2107,Convergence/flat likelihood
4,SRV+Double,1.0,1.0,-6798.84,13662.26,32,-6798.84,13660.22,31,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,1.0,1.02,-6798.81,13662.2,32,-6798.81,13660.15,31,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,1.0,1.02,-6798.82,13662.21,32,-6798.81,13660.16,31,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.9201,1.03,-6798.82,13662.21,32,-6798.82,13660.19,31,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,1.0,1.0,-6798.86,13662.29,32,-6798.86,13660.26,31,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.6655,1.21,-6798.67,13661.91,32,-6798.76,13660.06,31,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.869,1.05,-6798.8,13662.17,32,-6798.81,13660.16,31,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.8274,1.04,-6797.54,13663.72,34,-6797.56,13661.73,33,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.7761,1.07,-6797.48,13663.61,34,-6797.52,13661.66,33,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.8071,1.05,-6797.51,13663.67,34,-6797.54,13661.7,33,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.8334,1.04,-6797.54,13663.73,34,-6797.56,13661.73,33,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.7909,1.06,-6797.48,13663.61,34,-6797.52,13661.65,33,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.7694,1.07,-6797.48,13663.6,34,-6797.52,13661.65,33,0.2347,0.2107,Convergence/flat likelihood
7,SRV+Double+Triple,0.8213,1.04,-6797.54,13663.72,34,-6797.56,13661.74,33,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.8186,1.05,-6797.51,13663.67,34,-6797.54,13661.68,33,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.8268,1.04,-6797.53,13663.71,34,-6797.56,13661.73,33,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.8174,1.04,-6797.53,13663.71,34,-6797.56,13661.72,33,0.2347,0.2107,Convergence/flat likelihood; Collapsed rate class
