run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,1.016,,0.87
SRV,1,alternative,reference,omega,Negative selection,0.11,,84.043
SRV,1,alternative,reference,omega,Negative selection,0.997,,15.087
SRV,1,alternative,test,omega,Diversifying selection,1.019,,0.87
SRV,1,alternative,test,omega,Diversifying selection,1.016,,0.87
SRV,1,alternative,test,omega,Negative selection,0.072,,84.043
SRV,1,alternative,test,omega,Negative selection,0.996,,15.087
SRV,1,alternative,test,omega,Negative selection,0.11,,84.043
SRV,1,alternative,test,omega,Negative selection,0.997,,15.087
SRV,1,null,reference,omega,Diversifying selection,1.034,,14.591
SRV,1,null,reference,omega,Negative selection,0.096,,84.292
SRV,1,null,reference,omega,Negative selection,0.993,,1.117
SRV,1,null,test,omega,Diversifying selection,1.034,,14.591
SRV,1,null,test,omega,Negative selection,0.096,,84.292
SRV,1,null,test,omega,Negative selection,0.993,,1.117
SRV,2,alternative,reference,omega,Diversifying selection,1.032,,9.078
SRV,2,alternative,reference,omega,Negative selection,0.114,,84.762
SRV,2,alternative,reference,omega,Neutral evolution,1.0,,6.16
SRV,2,alternative,test,omega,Diversifying selection,1.038,,9.078
SRV,2,alternative,test,omega,Diversifying selection,1.032,,9.078
SRV,2,alternative,test,omega,Negative selection,0.075,,84.762
SRV,2,alternative,test,omega,Negative selection,0.114,,84.762
SRV,2,alternative,test,omega,Neutral evolution,1.0,,6.16
SRV,2,alternative,test,omega,Neutral evolution,1.0,,6.16
SRV,2,null,reference,omega,Diversifying selection,1.036,,8.797
SRV,2,null,reference,omega,Negative selection,0.095,,83.956
SRV,2,null,reference,omega,Neutral evolution,1.0,,7.247
SRV,2,null,test,omega,Diversifying selection,1.036,,8.797
SRV,2,null,test,omega,Negative selection,0.095,,83.956
SRV,2,null,test,omega,Neutral evolution,1.0,,7.247
SRV,3,alternative,reference,omega,Diversifying selection,1.127,,12.53
SRV,3,alternative,reference,omega,Negative selection,0.001,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.126,,87.47
SRV,3,alternative,test,omega,Diversifying selection,1.151,,12.53
SRV,3,alternative,test,omega,Diversifying selection,1.127,,12.53
SRV,3,alternative,test,omega,Negative selection,0.0,,0.0
SRV,3,alternative,test,omega,Negative selection,0.088,,87.47
SRV,3,alternative,test,omega,Negative selection,0.001,,0.0
SRV,3,alternative,test,omega,Negative selection,0.126,,87.47
SRV,3,null,reference,omega,Diversifying selection,1.146,,12.733
SRV,3,null,reference,omega,Negative selection,0.0,,1.118
SRV,3,null,reference,omega,Negative selection,0.112,,86.149
SRV,3,null,test,omega,Diversifying selection,1.146,,12.733
SRV,3,null,test,omega,Negative selection,0.0,,1.118
SRV,3,null,test,omega,Negative selection,0.112,,86.149
SRV,4,alternative,reference,omega,Negative selection,0.11,,84.045
SRV,4,alternative,reference,omega,Neutral evolution,1.0,,8.521
SRV,4,alternative,reference,omega,Neutral evolution,1.0,,7.434
SRV,4,alternative,test,omega,Negative selection,0.071,,84.045
SRV,4,alternative,test,omega,Negative selection,0.11,,84.045
SRV,4,alternative,test,omega,Neutral evolution,1.0,,8.521
SRV,4,alternative,test,omega,Neutral evolution,1.0,,7.434
SRV,4,alternative,test,omega,Neutral evolution,1.0,,8.521
SRV,4,alternative,test,omega,Neutral evolution,1.0,,7.434
SRV,4,null,reference,omega,Diversifying selection,1.034,,7.087
SRV,4,null,reference,omega,Negative selection,0.094,,83.86
SRV,4,null,reference,omega,Neutral evolution,1.0,,9.053
SRV,4,null,test,omega,Diversifying selection,1.034,,7.087
SRV,4,null,test,omega,Negative selection,0.094,,83.86
SRV,4,null,test,omega,Neutral evolution,1.0,,9.053
SRV,5,alternative,reference,omega,Negative selection,0.08,,68.448
SRV,5,alternative,reference,omega,Negative selection,0.262,,15.896
SRV,5,alternative,reference,omega,Neutral evolution,1.0,,15.656
SRV,5,alternative,test,omega,Negative selection,0.047,,68.448
SRV,5,alternative,test,omega,Negative selection,0.197,,15.896
SRV,5,alternative,test,omega,Negative selection,0.08,,68.448
SRV,5,alternative,test,omega,Negative selection,0.262,,15.896
SRV,5,alternative,test,omega,Neutral evolution,1.0,,15.656
SRV,5,alternative,test,omega,Neutral evolution,1.0,,15.656
SRV,5,null,reference,omega,Diversifying selection,1.007,,15.802
SRV,5,null,reference,omega,Negative selection,0.064,,68.346
SRV,5,null,reference,omega,Negative selection,0.252,,15.852
SRV,5,null,test,omega,Diversifying selection,1.007,,15.802
SRV,5,null,test,omega,Negative selection,0.064,,68.346
SRV,5,null,test,omega,Negative selection,0.252,,15.852
SRV,6,alternative,reference,omega,Diversifying selection,1.03,,13.605
SRV,6,alternative,reference,omega,Negative selection,0.107,,83.355
SRV,6,alternative,reference,omega,Negative selection,0.74,,3.04
SRV,6,alternative,test,omega,Diversifying selection,1.036,,13.605
SRV,6,alternative,test,omega,Diversifying selection,1.03,,13.605
SRV,6,alternative,test,omega,Negative selection,0.069,,83.355
SRV,6,alternative,test,omega,Negative selection,0.697,,3.04
SRV,6,alternative,test,omega,Negative selection,0.107,,83.355
SRV,6,alternative,test,omega,Negative selection,0.74,,3.04
SRV,6,null,reference,omega,Diversifying selection,1.005,,16.372
SRV,6,null,reference,omega,Negative selection,0.09,,82.843
SRV,6,null,reference,omega,Negative selection,0.653,,0.785
SRV,6,null,test,omega,Diversifying selection,1.005,,16.372
SRV,6,null,test,omega,Negative selection,0.09,,82.843
SRV,6,null,test,omega,Negative selection,0.653,,0.785
SRV,7,alternative,reference,omega,Diversifying selection,1.041,,14.742
SRV,7,alternative,reference,omega,Negative selection,0.099,,16.025
SRV,7,alternative,reference,omega,Negative selection,0.119,,69.233
SRV,7,alternative,test,omega,Diversifying selection,1.049,,14.742
SRV,7,alternative,test,omega,Diversifying selection,1.041,,14.742
SRV,7,alternative,test,omega,Negative selection,0.064,,16.025
SRV,7,alternative,test,omega,Negative selection,0.08,,69.233
SRV,7,alternative,test,omega,Negative selection,0.099,,16.025
SRV,7,alternative,test,omega,Negative selection,0.119,,69.233
SRV,7,null,reference,omega,Diversifying selection,1.067,,14.681
SRV,7,null,reference,omega,Negative selection,0.057,,15.199
SRV,7,null,reference,omega,Negative selection,0.111,,70.121
SRV,7,null,test,omega,Diversifying selection,1.067,,14.681
SRV,7,null,test,omega,Negative selection,0.057,,15.199
SRV,7,null,test,omega,Negative selection,0.111,,70.121
SRV,8,alternative,reference,omega,Diversifying selection,1.169,,11.567
SRV,8,alternative,reference,omega,Negative selection,0.1,,48.213
SRV,8,alternative,reference,omega,Negative selection,0.17,,40.22
SRV,8,alternative,test,omega,Diversifying selection,1.201,,11.567
SRV,8,alternative,test,omega,Diversifying selection,1.169,,11.567
SRV,8,alternative,test,omega,Negative selection,0.067,,48.213
SRV,8,alternative,test,omega,Negative selection,0.125,,40.22
SRV,8,alternative,test,omega,Negative selection,0.1,,48.213
SRV,8,alternative,test,omega,Negative selection,0.17,,40.22
SRV,8,null,reference,omega,Diversifying selection,1.177,,12.035
SRV,8,null,reference,omega,Negative selection,0.081,,46.019
SRV,8,null,reference,omega,Negative selection,0.152,,41.947
SRV,8,null,test,omega,Diversifying selection,1.177,,12.035
SRV,8,null,test,omega,Negative selection,0.081,,46.019
SRV,8,null,test,omega,Negative selection,0.152,,41.947
SRV,9,alternative,reference,omega,Diversifying selection,1.091,,11.43
SRV,9,alternative,reference,omega,Negative selection,0.121,,86.246
SRV,9,alternative,reference,omega,Neutral evolution,1.0,,2.323
SRV,9,alternative,test,omega,Diversifying selection,1.109,,11.43
SRV,9,alternative,test,omega,Diversifying selection,1.091,,11.43
SRV,9,alternative,test,omega,Negative selection,0.082,,86.246
SRV,9,alternative,test,omega,Negative selection,0.121,,86.246
SRV,9,alternative,test,omega,Neutral evolution,1.0,,2.323
SRV,9,alternative,test,omega,Neutral evolution,1.0,,2.323
SRV,9,null,reference,omega,Diversifying selection,1.103,,11.283
SRV,9,null,reference,omega,Negative selection,0.104,,85.802
SRV,9,null,reference,omega,Neutral evolution,1.0,,2.915
SRV,9,null,test,omega,Diversifying selection,1.103,,11.283
SRV,9,null,test,omega,Negative selection,0.104,,85.802
SRV,9,null,test,omega,Neutral evolution,1.0,,2.915
SRV,10,alternative,reference,omega,Negative selection,0.0,,1.579
SRV,10,alternative,reference,omega,Negative selection,0.111,,82.352
SRV,10,alternative,reference,omega,Neutral evolution,1.0,,16.07
SRV,10,alternative,test,omega,Negative selection,0.0,,1.579
SRV,10,alternative,test,omega,Negative selection,0.072,,82.352
SRV,10,alternative,test,omega,Negative selection,0.0,,1.579
SRV,10,alternative,test,omega,Negative selection,0.111,,82.352
SRV,10,alternative,test,omega,Neutral evolution,1.0,,16.07
SRV,10,alternative,test,omega,Neutral evolution,1.0,,16.07
SRV,10,null,reference,omega,Diversifying selection,1.022,,16.003
SRV,10,null,reference,omega,Negative selection,0.0,,2.209
SRV,10,null,reference,omega,Negative selection,0.097,,81.788
SRV,10,null,test,omega,Diversifying selection,1.022,,16.003
SRV,10,null,test,omega,Negative selection,0.0,,2.209
SRV,10,null,test,omega,Negative selection,0.097,,81.788
SRV+Double,1,alternative,reference,omega,Diversifying selection,1.099,,9.385
SRV+Double,1,alternative,reference,omega,Negative selection,0.002,,48.796
SRV+Double,1,alternative,reference,omega,Negative selection,0.352,,41.819
SRV+Double,1,alternative,test,omega,Diversifying selection,1.131,,9.385
SRV+Double,1,alternative,test,omega,Diversifying selection,1.099,,9.385
SRV+Double,1,alternative,test,omega,Negative selection,0.0,,48.796
SRV+Double,1,alternative,test,omega,Negative selection,0.257,,41.819
SRV+Double,1,alternative,test,omega,Negative selection,0.002,,48.796
SRV+Double,1,alternative,test,omega,Negative selection,0.352,,41.819
SRV+Double,1,null,reference,omega,Diversifying selection,1.067,,10.141
SRV+Double,1,null,reference,omega,Negative selection,0.0,,51.775
SRV+Double,1,null,reference,omega,Negative selection,0.346,,38.084
SRV+Double,1,null,test,omega,Diversifying selection,1.067,,10.141
SRV+Double,1,null,test,omega,Negative selection,0.0,,51.775
SRV+Double,1,null,test,omega,Negative selection,0.346,,38.084
SRV+Double,2,alternative,reference,omega,Diversifying selection,2.461,,0.0
SRV+Double,2,alternative,reference,omega,Negative selection,0.119,,85.148
SRV+Double,2,alternative,reference,omega,Negative selection,0.999,,14.852
SRV+Double,2,alternative,test,omega,Diversifying selection,2.935,,0.0
SRV+Double,2,alternative,test,omega,Diversifying selection,2.461,,0.0
SRV+Double,2,alternative,test,omega,Negative selection,0.078,,85.148
SRV+Double,2,alternative,test,omega,Negative selection,0.999,,14.852
SRV+Double,2,alternative,test,omega,Negative selection,0.119,,85.148
SRV+Double,2,alternative,test,omega,Negative selection,0.999,,14.852
SRV+Double,2,null,reference,omega,Diversifying selection,4.339,,0.0
SRV+Double,2,null,reference,omega,Negative selection,0.094,,83.41
SRV+Double,2,null,reference,omega,Negative selection,0.982,,16.59
SRV+Double,2,null,test,omega,Diversifying selection,4.339,,0.0
SRV+Double,2,null,test,omega,Negative selection,0.094,,83.41
SRV+Double,2,null,test,omega,Negative selection,0.982,,16.59
SRV+Double,3,alternative,reference,omega,Negative selection,0.046,,67.346
SRV+Double,3,alternative,reference,omega,Negative selection,0.559,,24.124
SRV+Double,3,alternative,reference,omega,Neutral evolution,1.0,,8.53
SRV+Double,3,alternative,test,omega,Negative selection,0.02,,67.346
