model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,7.374,SRV,1
null,2,1.08,70.505,SRV,1
null,3,1.08,22.122,SRV,1
null,1,0.0,7.351,SRV,2
null,2,1.077,0.0,SRV,2
null,3,1.079,92.649,SRV,2
null,1,0.0,7.445,SRV,3
null,2,1.08,18.777,SRV,3
null,3,1.08,73.778,SRV,3
null,1,0.0,7.377,SRV,4
null,2,1.08,0.868,SRV,4
null,3,1.08,91.756,SRV,4
null,1,0.0,7.35,SRV,5
null,2,1.079,4.033,SRV,5
null,3,1.079,88.617,SRV,5
null,1,0.0,7.27,SRV,6
null,2,1.078,4.53,SRV,6
null,3,1.078,88.2,SRV,6
null,1,0.0,7.388,SRV,7
null,2,1.08,91.269,SRV,7
null,3,1.08,1.343,SRV,7
null,1,0.0,7.431,SRV,8
null,2,1.08,87.901,SRV,8
null,3,1.08,4.668,SRV,8
null,1,0.0,7.458,SRV,9
null,2,1.081,19.391,SRV,9
null,3,1.081,73.151,SRV,9
null,1,0.0,7.378,SRV,10
null,2,1.08,1.682,SRV,10
null,3,1.08,90.94,SRV,10
