model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.014,SRV+Double,1
alternative,reference,2H,0.0172,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.0201,SRV+Double,1
null,reference,2H,0.0028,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.0002,SRV+Double,2
alternative,reference,2H,0.022,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.0239,SRV+Double,2
null,reference,2H,0.0039,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.0121,SRV+Double,3
alternative,reference,2H,0.021,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.0232,SRV+Double,3
null,reference,2H,0.0036,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.0474,SRV+Double,4
alternative,reference,2H,0.0172,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.0211,SRV+Double,4
null,reference,2H,0.0036,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.0357,SRV+Double,5
alternative,reference,2H,0.0171,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.0196,SRV+Double,5
null,reference,2H,0.0072,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.0144,SRV+Double,6
alternative,reference,2H,0.022,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.0222,SRV+Double,6
null,reference,2H,0.0033,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.051,SRV+Double,7
alternative,reference,2H,0.0176,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.0211,SRV+Double,7
null,reference,2H,0.0061,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.0445,SRV+Double,8
alternative,reference,2H,0.019,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.0211,SRV+Double,8
null,reference,2H,0.0044,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.0004,SRV+Double,9
alternative,reference,2H,0.0174,SRV+Double,9
alternative,test,2H,0.0,SRV+Double,9
null,reference,2H,0.0209,SRV+Double,9
null,reference,2H,0.0032,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.013,SRV+Double,10
alternative,reference,2H,0.0229,SRV+Double,10
alternative,test,2H,0.0,SRV+Double,10
null,reference,2H,0.0232,SRV+Double,10
null,reference,2H,0.0034,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.034,SRV+Double+Triple,1
alternative,reference,2H,0.0,SRV+Double+Triple,1
alternative,reference,3H,0.4278,SRV+Double+Triple,1
alternative,reference,3H,0.4353,SRV+Double+Triple,1
alternative,test,2H,0.0,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
