run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,1.156,,11.704
SRV,1,alternative,reference,omega,Negative selection,0.113,,86.61
SRV,1,alternative,reference,omega,Negative selection,0.144,,1.686
SRV,1,alternative,test,omega,Diversifying selection,3.362,,11.704
SRV,1,alternative,test,omega,Diversifying selection,1.156,,11.704
SRV,1,alternative,test,omega,Negative selection,0.0,,86.61
SRV,1,alternative,test,omega,Negative selection,0.0,,1.686
SRV,1,alternative,test,omega,Negative selection,0.113,,86.61
SRV,1,alternative,test,omega,Negative selection,0.144,,1.686
SRV,1,null,reference,omega,Diversifying selection,1.183,,12.063
SRV,1,null,reference,omega,Negative selection,0.038,,2.467
SRV,1,null,reference,omega,Negative selection,0.116,,85.47
SRV,1,null,test,omega,Diversifying selection,1.183,,12.063
SRV,1,null,test,omega,Negative selection,0.038,,2.467
SRV,1,null,test,omega,Negative selection,0.116,,85.47
SRV,2,alternative,reference,omega,Diversifying selection,1.161,,11.549
SRV,2,alternative,reference,omega,Negative selection,0.015,,8.059
SRV,2,alternative,reference,omega,Negative selection,0.125,,80.391
SRV,2,alternative,test,omega,Diversifying selection,3.407,,11.549
SRV,2,alternative,test,omega,Diversifying selection,1.161,,11.549
SRV,2,alternative,test,omega,Negative selection,0.0,,8.059
SRV,2,alternative,test,omega,Negative selection,0.0,,80.391
SRV,2,alternative,test,omega,Negative selection,0.015,,8.059
SRV,2,alternative,test,omega,Negative selection,0.125,,80.391
SRV,2,null,reference,omega,Diversifying selection,1.185,,11.904
SRV,2,null,reference,omega,Negative selection,0.0,,9.028
SRV,2,null,reference,omega,Negative selection,0.129,,79.068
SRV,2,null,test,omega,Diversifying selection,1.185,,11.904
SRV,2,null,test,omega,Negative selection,0.0,,9.028
SRV,2,null,test,omega,Negative selection,0.129,,79.068
SRV,3,alternative,reference,omega,Diversifying selection,1.157,,11.63
SRV,3,alternative,reference,omega,Negative selection,0.029,,12.878
SRV,3,alternative,reference,omega,Negative selection,0.129,,75.492
SRV,3,alternative,test,omega,Diversifying selection,3.369,,11.63
SRV,3,alternative,test,omega,Diversifying selection,1.157,,11.63
SRV,3,alternative,test,omega,Negative selection,0.0,,12.878
SRV,3,alternative,test,omega,Negative selection,0.0,,75.492
SRV,3,alternative,test,omega,Negative selection,0.029,,12.878
SRV,3,alternative,test,omega,Negative selection,0.129,,75.492
SRV,3,null,reference,omega,Diversifying selection,1.138,,12.69
SRV,3,null,reference,omega,Negative selection,0.0,,14.422
SRV,3,null,reference,omega,Negative selection,0.135,,72.887
SRV,3,null,test,omega,Diversifying selection,1.138,,12.69
SRV,3,null,test,omega,Negative selection,0.0,,14.422
SRV,3,null,test,omega,Negative selection,0.135,,72.887
SRV,4,alternative,reference,omega,Diversifying selection,1.006,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.0,,61.381
SRV,4,alternative,reference,omega,Negative selection,0.59,,38.619
SRV,4,alternative,test,omega,Diversifying selection,1.001,,0.0
SRV,4,alternative,test,omega,Diversifying selection,1.006,,0.0
SRV,4,alternative,test,omega,Negative selection,0.0,,61.381
SRV,4,alternative,test,omega,Negative selection,0.958,,38.619
SRV,4,alternative,test,omega,Negative selection,0.0,,61.381
SRV,4,alternative,test,omega,Negative selection,0.59,,38.619
SRV,4,null,reference,omega,Diversifying selection,1.041,,1.055
SRV,4,null,reference,omega,Negative selection,0.0,,62.477
SRV,4,null,reference,omega,Negative selection,0.629,,36.468
SRV,4,null,test,omega,Diversifying selection,1.041,,1.055
SRV,4,null,test,omega,Negative selection,0.0,,62.477
SRV,4,null,test,omega,Negative selection,0.629,,36.468
SRV,5,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.1,,85.131
SRV,5,alternative,reference,omega,Neutral evolution,1.0,,14.869
SRV,5,alternative,test,omega,Negative selection,0.0,,0.0
SRV,5,alternative,test,omega,Negative selection,0.192,,85.131
SRV,5,alternative,test,omega,Negative selection,0.0,,0.0
SRV,5,alternative,test,omega,Negative selection,0.1,,85.131
SRV,5,alternative,test,omega,Neutral evolution,1.0,,14.869
SRV,5,alternative,test,omega,Neutral evolution,1.0,,14.869
SRV,5,null,reference,omega,Diversifying selection,1.03,,15.041
SRV,5,null,reference,omega,Negative selection,0.099,,84.868
SRV,5,null,reference,omega,Neutral evolution,1.0,,0.091
SRV,5,null,test,omega,Diversifying selection,1.03,,15.041
