model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0002,SRV+Double,1
alternative,reference,2H,0.0,SRV+Double,1
alternative,test,2H,0.1024,SRV+Double,1
null,reference,2H,0.0,SRV+Double,1
null,test,2H,0.1032,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.0122,SRV+Double,2
alternative,reference,2H,0.0,SRV+Double,2
alternative,test,2H,0.1021,SRV+Double,2
null,reference,2H,0.0,SRV+Double,2
null,test,2H,0.1026,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.0103,SRV+Double,3
alternative,reference,2H,0.0,SRV+Double,3
alternative,test,2H,0.0884,SRV+Double,3
null,reference,2H,0.0,SRV+Double,3
null,test,2H,0.1036,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.0016,SRV+Double,4
alternative,reference,2H,0.0,SRV+Double,4
alternative,test,2H,0.0979,SRV+Double,4
null,reference,2H,0.0,SRV+Double,4
null,test,2H,0.1026,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.0458,SRV+Double,5
alternative,reference,2H,0.0,SRV+Double,5
alternative,test,2H,0.105,SRV+Double,5
null,reference,2H,0.0,SRV+Double,5
null,test,2H,0.1028,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.0568,SRV+Double,6
alternative,reference,2H,0.0,SRV+Double,6
alternative,test,2H,0.0624,SRV+Double,6
null,reference,2H,0.0,SRV+Double,6
null,test,2H,0.0699,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.0037,SRV+Double,7
alternative,reference,2H,0.0,SRV+Double,7
alternative,test,2H,0.0487,SRV+Double,7
null,reference,2H,0.0,SRV+Double,7
null,test,2H,0.1114,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.0,SRV+Double,8
alternative,test,2H,0.0489,SRV+Double,8
null,reference,2H,0.0,SRV+Double,8
null,test,2H,0.1103,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.0052,SRV+Double,9
alternative,reference,2H,0.0,SRV+Double,9
alternative,test,2H,0.1043,SRV+Double,9
null,reference,2H,0.0,SRV+Double,9
null,test,2H,0.1022,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.0516,SRV+Double,10
alternative,reference,2H,0.0,SRV+Double,10
alternative,test,2H,0.0477,SRV+Double,10
null,reference,2H,0.0,SRV+Double,10
null,test,2H,0.1121,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.0534,SRV+Double+Triple,1
alternative,reference,2H,0.0,SRV+Double+Triple,1
alternative,reference,3H,0.4491,SRV+Double+Triple,1
alternative,reference,3H,0.4678,SRV+Double+Triple,1
alternative,test,2H,0.1232,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.0,SRV+Double+Triple,1
null,reference,3H,0.431,SRV+Double+Triple,1
null,reference,3H,0.4747,SRV+Double+Triple,1
null,test,2H,0.1482,SRV+Double+Triple,1
null,test,2H,0.0,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.0235,SRV+Double+Triple,2
alternative,reference,2H,0.0,SRV+Double+Triple,2
alternative,reference,3H,0.4196,SRV+Double+Triple,2
alternative,reference,3H,0.4522,SRV+Double+Triple,2
alternative,test,2H,0.0951,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.0,SRV+Double+Triple,2
null,reference,3H,0.4271,SRV+Double+Triple,2
null,reference,3H,0.477,SRV+Double+Triple,2
null,test,2H,0.1513,SRV+Double+Triple,2
null,test,2H,0.0,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.0454,SRV+Double+Triple,3
alternative,reference,2H,0.0,SRV+Double+Triple,3
alternative,reference,3H,0.4371,SRV+Double+Triple,3
alternative,reference,3H,0.4647,SRV+Double+Triple,3
alternative,test,2H,0.122,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.0,SRV+Double+Triple,3
null,reference,3H,0.4275,SRV+Double+Triple,3
null,reference,3H,0.4754,SRV+Double+Triple,3
null,test,2H,0.1492,SRV+Double+Triple,3
null,test,2H,0.0,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
alternative,reference,2H,0.0526,SRV+Double+Triple,4
alternative,reference,2H,0.0,SRV+Double+Triple,4
alternative,reference,3H,0.4471,SRV+Double+Triple,4
alternative,reference,3H,0.4462,SRV+Double+Triple,4
alternative,test,2H,0.0836,SRV+Double+Triple,4
alternative,test,3H,0.0,SRV+Double+Triple,4
null,reference,2H,0.0,SRV+Double+Triple,4
null,reference,3H,0.4254,SRV+Double+Triple,4
null,reference,3H,0.4678,SRV+Double+Triple,4
null,test,2H,0.153,SRV+Double+Triple,4
null,test,2H,0.0,SRV+Double+Triple,4
null,test,3H,0.0,SRV+Double+Triple,4
alternative,reference,2H,0.0832,SRV+Double+Triple,5
alternative,reference,2H,0.0402,SRV+Double+Triple,5
alternative,reference,3H,0.4788,SRV+Double+Triple,5
alternative,reference,3H,0.5808,SRV+Double+Triple,5
alternative,test,2H,0.1399,SRV+Double+Triple,5
alternative,test,3H,0.0,SRV+Double+Triple,5
null,reference,2H,0.0,SRV+Double+Triple,5
null,reference,3H,0.4225,SRV+Double+Triple,5
null,reference,3H,0.476,SRV+Double+Triple,5
null,test,2H,0.143,SRV+Double+Triple,5
null,test,2H,0.0,SRV+Double+Triple,5
null,test,3H,0.0,SRV+Double+Triple,5
alternative,reference,2H,0.0444,SRV+Double+Triple,6
alternative,reference,2H,0.0,SRV+Double+Triple,6
alternative,reference,3H,0.4359,SRV+Double+Triple,6
alternative,reference,3H,0.4554,SRV+Double+Triple,6
alternative,test,2H,0.0985,SRV+Double+Triple,6
alternative,test,3H,0.0,SRV+Double+Triple,6
null,reference,2H,0.0,SRV+Double+Triple,6
null,reference,3H,0.4255,SRV+Double+Triple,6
null,reference,3H,0.4665,SRV+Double+Triple,6
null,test,2H,0.1502,SRV+Double+Triple,6
null,test,2H,0.0,SRV+Double+Triple,6
null,test,3H,0.0,SRV+Double+Triple,6
alternative,reference,2H,0.0833,SRV+Double+Triple,7
alternative,reference,2H,0.0,SRV+Double+Triple,7
alternative,reference,3H,0.4767,SRV+Double+Triple,7
alternative,reference,3H,0.4683,SRV+Double+Triple,7
alternative,test,2H,0.1223,SRV+Double+Triple,7
alternative,test,3H,0.0,SRV+Double+Triple,7
null,reference,2H,0.0,SRV+Double+Triple,7
null,reference,3H,0.4233,SRV+Double+Triple,7
null,reference,3H,0.4785,SRV+Double+Triple,7
null,test,2H,0.1441,SRV+Double+Triple,7
null,test,2H,0.0,SRV+Double+Triple,7
null,test,3H,0.0,SRV+Double+Triple,7
alternative,reference,2H,0.0447,SRV+Double+Triple,8
alternative,reference,2H,0.0,SRV+Double+Triple,8
alternative,reference,3H,0.437,SRV+Double+Triple,8
alternative,reference,3H,0.4605,SRV+Double+Triple,8
alternative,test,2H,0.1159,SRV+Double+Triple,8
alternative,test,3H,0.0,SRV+Double+Triple,8
null,reference,2H,0.0,SRV+Double+Triple,8
null,reference,3H,0.4226,SRV+Double+Triple,8
null,reference,3H,0.479,SRV+Double+Triple,8
null,test,2H,0.1451,SRV+Double+Triple,8
null,test,2H,0.0,SRV+Double+Triple,8
null,test,3H,0.0,SRV+Double+Triple,8
alternative,reference,2H,0.0436,SRV+Double+Triple,9
alternative,reference,2H,0.0,SRV+Double+Triple,9
alternative,reference,3H,0.4373,SRV+Double+Triple,9
alternative,reference,3H,0.4564,SRV+Double+Triple,9
alternative,test,2H,0.1086,SRV+Double+Triple,9
alternative,test,3H,0.0,SRV+Double+Triple,9
null,reference,2H,0.0,SRV+Double+Triple,9
null,reference,3H,0.4245,SRV+Double+Triple,9
null,reference,3H,0.4832,SRV+Double+Triple,9
null,test,2H,0.1464,SRV+Double+Triple,9
null,test,2H,0.0,SRV+Double+Triple,9
null,test,3H,0.0,SRV+Double+Triple,9
alternative,reference,2H,0.0307,SRV+Double+Triple,10
alternative,reference,2H,0.0,SRV+Double+Triple,10
alternative,reference,3H,0.4203,SRV+Double+Triple,10
alternative,reference,3H,0.4519,SRV+Double+Triple,10
alternative,test,2H,0.0994,SRV+Double+Triple,10
alternative,test,3H,0.0,SRV+Double+Triple,10
null,reference,2H,0.0,SRV+Double+Triple,10
null,reference,3H,0.4272,SRV+Double+Triple,10
null,reference,3H,0.4816,SRV+Double+Triple,10
null,test,2H,0.1501,SRV+Double+Triple,10
null,test,2H,0.0,SRV+Double+Triple,10
null,test,3H,0.0,SRV+Double+Triple,10
