model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,7.421,SRV,1
null,2,1.08,87.178,SRV,1
null,3,1.08,5.4,SRV,1
null,1,0.0,7.424,SRV,2
null,2,1.08,88.032,SRV,2
null,3,1.08,4.544,SRV,2
null,1,0.0,7.436,SRV,3
null,2,1.08,77.778,SRV,3
null,3,1.08,14.786,SRV,3
null,1,0.0,0.065,SRV,4
null,2,0.0,7.4,SRV,4
null,3,1.081,92.535,SRV,4
null,1,0.0,6.962,SRV,5
null,2,1.046,92.876,SRV,5
null,3,17.304,0.162,SRV,5
null,1,0.0,0.707,SRV,6
null,2,0.0,6.753,SRV,6
null,3,1.081,92.54,SRV,6
null,1,0.0,7.461,SRV,7
null,2,0.0,0.0,SRV,7
null,3,1.081,92.539,SRV,7
null,1,0.0,0.283,SRV,8
null,2,0.0,7.184,SRV,8
null,3,1.081,92.533,SRV,8
null,1,0.0,7.427,SRV,9
null,2,1.08,7.175,SRV,9
null,3,1.08,85.398,SRV,9
null,1,0.0,7.431,SRV,10
null,2,1.076,92.504,SRV,10
null,3,7.142,0.065,SRV,10
