run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,1.013,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.252,,11.877
SRV,1,alternative,reference,omega,Negative selection,0.275,,88.123
SRV,1,alternative,test,omega,Diversifying selection,1.023,,0.0
SRV,1,alternative,test,omega,Diversifying selection,1.013,,0.0
SRV,1,alternative,test,omega,Negative selection,0.079,,11.877
SRV,1,alternative,test,omega,Negative selection,0.092,,88.123
SRV,1,alternative,test,omega,Negative selection,0.252,,11.877
SRV,1,alternative,test,omega,Negative selection,0.275,,88.123
SRV,1,null,reference,omega,Diversifying selection,1.492,,0.0
SRV,1,null,reference,omega,Negative selection,0.249,,45.159
SRV,1,null,reference,omega,Negative selection,0.265,,54.841
SRV,1,null,test,omega,Diversifying selection,1.492,,0.0
SRV,1,null,test,omega,Negative selection,0.249,,45.159
SRV,1,null,test,omega,Negative selection,0.265,,54.841
SRV,2,alternative,reference,omega,Diversifying selection,1.024,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.264,,65.704
SRV,2,alternative,reference,omega,Negative selection,0.286,,34.296
SRV,2,alternative,test,omega,Diversifying selection,1.045,,0.0
SRV,2,alternative,test,omega,Diversifying selection,1.024,,0.0
SRV,2,alternative,test,omega,Negative selection,0.086,,65.704
SRV,2,alternative,test,omega,Negative selection,0.1,,34.296
SRV,2,alternative,test,omega,Negative selection,0.264,,65.704
SRV,2,alternative,test,omega,Negative selection,0.286,,34.296
SRV,2,null,reference,omega,Diversifying selection,1.525,,0.0
SRV,2,null,reference,omega,Negative selection,0.257,,100.0
SRV,2,null,reference,omega,Negative selection,0.266,,0.0
SRV,2,null,test,omega,Diversifying selection,1.525,,0.0
SRV,2,null,test,omega,Negative selection,0.257,,100.0
SRV,2,null,test,omega,Negative selection,0.266,,0.0
SRV,3,alternative,reference,omega,Diversifying selection,1.01,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.242,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.271,,100.0
SRV,3,alternative,test,omega,Diversifying selection,1.019,,0.0
SRV,3,alternative,test,omega,Diversifying selection,1.01,,0.0
SRV,3,alternative,test,omega,Negative selection,0.072,,0.0
SRV,3,alternative,test,omega,Negative selection,0.089,,100.0
SRV,3,alternative,test,omega,Negative selection,0.242,,0.0
SRV,3,alternative,test,omega,Negative selection,0.271,,100.0
SRV,3,null,reference,omega,Diversifying selection,1.8,,0.0
SRV,3,null,reference,omega,Negative selection,0.18,,0.0
SRV,3,null,reference,omega,Negative selection,0.257,,100.0
SRV,3,null,test,omega,Diversifying selection,1.8,,0.0
SRV,3,null,test,omega,Negative selection,0.18,,0.0
SRV,3,null,test,omega,Negative selection,0.257,,100.0
SRV,4,alternative,reference,omega,Diversifying selection,1.688,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.228,,24.787
SRV,4,alternative,reference,omega,Negative selection,0.288,,75.213
SRV,4,alternative,test,omega,Diversifying selection,2.646,,0.0
SRV,4,alternative,test,omega,Diversifying selection,1.688,,0.0
SRV,4,alternative,test,omega,Negative selection,0.064,,24.787
SRV,4,alternative,test,omega,Negative selection,0.099,,75.213
SRV,4,alternative,test,omega,Negative selection,0.228,,24.787
SRV,4,alternative,test,omega,Negative selection,0.288,,75.213
SRV,4,null,reference,omega,Diversifying selection,2.641,,0.0
SRV,4,null,reference,omega,Negative selection,0.244,,55.877
SRV,4,null,reference,omega,Negative selection,0.273,,44.123
SRV,4,null,test,omega,Diversifying selection,2.641,,0.0
SRV,4,null,test,omega,Negative selection,0.244,,55.877
SRV,4,null,test,omega,Negative selection,0.273,,44.123
SRV,5,alternative,reference,omega,Diversifying selection,1.088,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.27,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.272,,100.0
SRV,5,alternative,test,omega,Diversifying selection,1.169,,0.0
SRV,5,alternative,test,omega,Diversifying selection,1.088,,0.0
SRV,5,alternative,test,omega,Negative selection,0.09,,0.0
SRV,5,alternative,test,omega,Negative selection,0.091,,100.0
SRV,5,alternative,test,omega,Negative selection,0.27,,0.0
SRV,5,alternative,test,omega,Negative selection,0.272,,100.0
SRV,5,null,reference,omega,Diversifying selection,1.764,,0.0
SRV,5,null,reference,omega,Negative selection,0.194,,0.0
SRV,5,null,reference,omega,Negative selection,0.257,,100.0
SRV,5,null,test,omega,Diversifying selection,1.764,,0.0
SRV,5,null,test,omega,Negative selection,0.194,,0.0
SRV,5,null,test,omega,Negative selection,0.257,,100.0
SRV,6,alternative,reference,omega,Diversifying selection,1.033,,0.0
