replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.192,1.84,-4724.59,9513.64,32,-4725.44,9513.31,31,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.1923,1.84,-4724.59,9513.64,32,-4725.44,9513.31,31,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.1868,1.85,-4724.56,9513.58,32,-4725.43,9513.3,31,0.2777,0.1163,Convergence/flat likelihood
4,SRV,0.1936,1.86,-4724.6,9513.65,32,-4725.44,9513.31,31,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.1929,1.84,-4724.59,9513.65,32,-4725.44,9513.31,31,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.1921,1.84,-4724.59,9513.64,32,-4725.44,9513.31,31,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.1919,1.84,-4724.59,9513.64,32,-4725.44,9513.31,31,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.1926,1.85,-4724.59,9513.64,32,-4725.44,9513.31,31,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.1928,1.85,-4724.59,9513.64,32,-4725.44,9513.31,31,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.1921,1.84,-4724.59,9513.64,32,-4725.44,9513.31,31,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.192,1.85,-4724.59,9517.7,34,-4725.44,9517.37,33,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.1921,1.85,-4724.59,9517.7,34,-4725.44,9517.37,33,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.1919,1.85,-4724.59,9517.7,34,-4725.44,9517.37,33,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.192,1.84,-4724.59,9517.7,34,-4725.44,9517.37,33,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.192,1.84,-4724.59,9517.7,34,-4725.44,9517.37,33,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.1923,1.84,-4724.59,9517.7,34,-4725.44,9517.37,33,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.1922,1.85,-4724.59,9517.7,34,-4725.44,9517.37,33,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.1921,1.84,-4724.59,9517.7,34,-4725.44,9517.37,33,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.1922,1.83,-4724.59,9517.7,34,-4725.44,9517.37,33,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.1921,1.84,-4724.59,9517.7,34,-4725.44,9517.37,33,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.1683,1.92,-4724.24,9521.06,36,-4725.19,9520.93,35,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.168,1.92,-4724.24,9521.06,36,-4725.19,9520.93,35,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.1664,1.92,-4724.24,9521.06,36,-4725.2,9520.94,35,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.1685,1.92,-4724.24,9521.06,36,-4725.19,9520.92,35,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.1684,1.92,-4724.24,9521.06,36,-4725.19,9520.93,35,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.1686,1.92,-4724.24,9521.06,36,-4725.19,9520.93,35,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.1683,1.92,-4724.24,9521.06,36,-4725.19,9520.93,35,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.1676,1.92,-4724.24,9521.06,36,-4725.19,9520.93,35,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.1683,1.92,-4724.24,9521.06,36,-4725.19,9520.93,35,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.1684,1.92,-4724.24,9521.06,36,-4725.19,9520.93,35,0.2777,0.1163,Convergence/flat likelihood; Collapsed rate class
