model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.872,16.062,SRV,1
null,2,0.882,82.911,SRV,1
null,3,12.5,1.027,SRV,1
null,1,0.876,14.36,SRV,2
null,2,0.881,84.622,SRV,2
null,3,12.605,1.019,SRV,2
null,1,0.873,98.809,SRV,3
null,2,8.819,0.898,SRV,3
null,3,19.946,0.292,SRV,3
null,1,0.873,11.987,SRV,4
null,2,0.881,86.986,SRV,4
null,3,12.592,1.026,SRV,4
null,1,0.874,14.492,SRV,5
null,2,0.882,84.48,SRV,5
null,3,12.51,1.027,SRV,5
null,1,0.878,14.267,SRV,6
null,2,0.879,84.673,SRV,6
null,3,12.354,1.06,SRV,6
null,1,0.872,15.167,SRV,7
null,2,0.882,83.806,SRV,7
null,3,12.546,1.027,SRV,7
null,1,0.876,23.252,SRV,8
null,2,0.881,75.722,SRV,8
null,3,12.568,1.026,SRV,8
null,1,0.878,81.389,SRV,9
null,2,0.882,17.549,SRV,9
null,3,12.301,1.062,SRV,9
null,1,0.878,16.297,SRV,10
null,2,0.881,82.691,SRV,10
null,3,12.678,1.012,SRV,10
