run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,1.03,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.186,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.256,,100.0
SRV,1,alternative,test,omega,Diversifying selection,1.027,,0.0
SRV,1,alternative,test,omega,Diversifying selection,1.03,,0.0
SRV,1,alternative,test,omega,Negative selection,0.217,,0.0
SRV,1,alternative,test,omega,Negative selection,0.29,,100.0
SRV,1,alternative,test,omega,Negative selection,0.186,,0.0
SRV,1,alternative,test,omega,Negative selection,0.256,,100.0
SRV,1,null,reference,omega,Diversifying selection,2.308,,0.0
SRV,1,null,reference,omega,Negative selection,0.149,,0.0
SRV,1,null,reference,omega,Negative selection,0.257,,100.0
SRV,1,null,test,omega,Diversifying selection,2.308,,0.0
SRV,1,null,test,omega,Negative selection,0.149,,0.0
SRV,1,null,test,omega,Negative selection,0.257,,100.0
SRV,2,alternative,reference,omega,Diversifying selection,1.048,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.234,,38.38
SRV,2,alternative,reference,omega,Negative selection,0.269,,61.62
SRV,2,alternative,test,omega,Diversifying selection,1.043,,0.0
SRV,2,alternative,test,omega,Diversifying selection,1.048,,0.0
SRV,2,alternative,test,omega,Negative selection,0.269,,38.38
SRV,2,alternative,test,omega,Negative selection,0.305,,61.62
SRV,2,alternative,test,omega,Negative selection,0.234,,38.38
SRV,2,alternative,test,omega,Negative selection,0.269,,61.62
SRV,2,null,reference,omega,Diversifying selection,1.924,,0.0
SRV,2,null,reference,omega,Negative selection,0.236,,32.089
SRV,2,null,reference,omega,Negative selection,0.267,,67.911
SRV,2,null,test,omega,Diversifying selection,1.924,,0.0
SRV,2,null,test,omega,Negative selection,0.236,,32.089
SRV,2,null,test,omega,Negative selection,0.267,,67.911
SRV,3,alternative,reference,omega,Diversifying selection,1.443,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.186,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.256,,100.0
SRV,3,alternative,test,omega,Diversifying selection,1.396,,0.0
SRV,3,alternative,test,omega,Diversifying selection,1.443,,0.0
SRV,3,alternative,test,omega,Negative selection,0.217,,0.0
SRV,3,alternative,test,omega,Negative selection,0.29,,100.0
SRV,3,alternative,test,omega,Negative selection,0.186,,0.0
SRV,3,alternative,test,omega,Negative selection,0.256,,100.0
SRV,3,null,reference,omega,Diversifying selection,3.553,,0.0
SRV,3,null,reference,omega,Negative selection,0.148,,0.0
SRV,3,null,reference,omega,Negative selection,0.257,,100.0
SRV,3,null,test,omega,Diversifying selection,3.553,,0.0
SRV,3,null,test,omega,Negative selection,0.148,,0.0
SRV,3,null,test,omega,Negative selection,0.257,,100.0
SRV,4,alternative,reference,omega,Diversifying selection,1.343,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.159,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.256,,100.0
SRV,4,alternative,test,omega,Diversifying selection,1.308,,0.0
SRV,4,alternative,test,omega,Diversifying selection,1.343,,0.0
SRV,4,alternative,test,omega,Negative selection,0.188,,0.0
