model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.0,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.0,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.0,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.0,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.0,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.0,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.0,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.0,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.0,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.0,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.0,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.0,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.0,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.0,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.0,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.0,SRV+Double,9
alternative,test,2H,0.0,SRV+Double,9
null,reference,2H,0.0,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.0,SRV+Double,10
alternative,test,2H,0.0,SRV+Double,10
null,reference,2H,0.0,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.0,SRV+Double+Triple,1
alternative,reference,3H,0.2209,SRV+Double+Triple,1
alternative,reference,3H,0.1999,SRV+Double+Triple,1
alternative,test,2H,0.0,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.0,SRV+Double+Triple,1
null,reference,3H,0.1996,SRV+Double+Triple,1
null,reference,3H,0.2019,SRV+Double+Triple,1
null,test,2H,0.0,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.0,SRV+Double+Triple,2
alternative,reference,3H,0.2191,SRV+Double+Triple,2
alternative,reference,3H,0.1999,SRV+Double+Triple,2
alternative,test,2H,0.0,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.0,SRV+Double+Triple,2
null,reference,3H,0.2006,SRV+Double+Triple,2
null,reference,3H,0.2016,SRV+Double+Triple,2
null,test,2H,0.0,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.0,SRV+Double+Triple,3
alternative,reference,3H,0.2167,SRV+Double+Triple,3
alternative,reference,3H,0.2004,SRV+Double+Triple,3
alternative,test,2H,0.0,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.0,SRV+Double+Triple,3
null,reference,3H,0.2006,SRV+Double+Triple,3
null,reference,3H,0.2014,SRV+Double+Triple,3
null,test,2H,0.0,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
alternative,reference,2H,0.0,SRV+Double+Triple,4
alternative,reference,3H,0.2212,SRV+Double+Triple,4
alternative,reference,3H,0.2003,SRV+Double+Triple,4
alternative,test,2H,0.0,SRV+Double+Triple,4
alternative,test,3H,0.0,SRV+Double+Triple,4
null,reference,2H,0.0,SRV+Double+Triple,4
null,reference,3H,0.2009,SRV+Double+Triple,4
null,reference,3H,0.2018,SRV+Double+Triple,4
null,test,2H,0.0,SRV+Double+Triple,4
null,test,3H,0.0,SRV+Double+Triple,4
alternative,reference,2H,0.0,SRV+Double+Triple,5
alternative,reference,3H,0.2209,SRV+Double+Triple,5
alternative,reference,3H,0.2008,SRV+Double+Triple,5
alternative,test,2H,0.0,SRV+Double+Triple,5
alternative,test,3H,0.0,SRV+Double+Triple,5
null,reference,2H,0.0,SRV+Double+Triple,5
null,reference,3H,0.1991,SRV+Double+Triple,5
null,reference,3H,0.201,SRV+Double+Triple,5
null,test,2H,0.0,SRV+Double+Triple,5
null,test,3H,0.0,SRV+Double+Triple,5
alternative,reference,2H,0.0,SRV+Double+Triple,6
alternative,reference,3H,0.2214,SRV+Double+Triple,6
alternative,reference,3H,0.2005,SRV+Double+Triple,6
alternative,test,2H,0.0,SRV+Double+Triple,6
alternative,test,3H,0.0,SRV+Double+Triple,6
null,reference,2H,0.0,SRV+Double+Triple,6
null,reference,3H,0.2007,SRV+Double+Triple,6
null,reference,3H,0.2017,SRV+Double+Triple,6
null,test,2H,0.0,SRV+Double+Triple,6
null,test,3H,0.0,SRV+Double+Triple,6
alternative,reference,2H,0.0,SRV+Double+Triple,7
alternative,reference,3H,0.219,SRV+Double+Triple,7
alternative,reference,3H,0.1927,SRV+Double+Triple,7
alternative,test,2H,0.0,SRV+Double+Triple,7
alternative,test,3H,0.0,SRV+Double+Triple,7
null,reference,2H,0.0,SRV+Double+Triple,7
null,reference,3H,0.1901,SRV+Double+Triple,7
null,reference,3H,0.1923,SRV+Double+Triple,7
null,test,2H,0.0,SRV+Double+Triple,7
null,test,3H,0.0,SRV+Double+Triple,7
alternative,reference,2H,0.0,SRV+Double+Triple,8
alternative,reference,3H,0.2182,SRV+Double+Triple,8
alternative,reference,3H,0.2001,SRV+Double+Triple,8
alternative,test,2H,0.0,SRV+Double+Triple,8
alternative,test,3H,0.0,SRV+Double+Triple,8
null,reference,2H,0.0,SRV+Double+Triple,8
null,reference,3H,0.1993,SRV+Double+Triple,8
null,reference,3H,0.2018,SRV+Double+Triple,8
null,test,2H,0.0,SRV+Double+Triple,8
null,test,3H,0.0,SRV+Double+Triple,8
alternative,reference,2H,0.0,SRV+Double+Triple,9
alternative,reference,3H,0.2188,SRV+Double+Triple,9
alternative,reference,3H,0.1998,SRV+Double+Triple,9
alternative,test,2H,0.0,SRV+Double+Triple,9
alternative,test,3H,0.0,SRV+Double+Triple,9
null,reference,2H,0.0,SRV+Double+Triple,9
null,reference,3H,0.2002,SRV+Double+Triple,9
null,reference,3H,0.2014,SRV+Double+Triple,9
null,test,2H,0.0,SRV+Double+Triple,9
null,test,3H,0.0,SRV+Double+Triple,9
alternative,reference,2H,0.0,SRV+Double+Triple,10
alternative,reference,3H,0.2182,SRV+Double+Triple,10
alternative,reference,3H,0.1984,SRV+Double+Triple,10
alternative,test,2H,0.0,SRV+Double+Triple,10
alternative,test,3H,0.0,SRV+Double+Triple,10
null,reference,2H,0.0,SRV+Double+Triple,10
null,reference,3H,0.1982,SRV+Double+Triple,10
null,reference,3H,0.2014,SRV+Double+Triple,10
null,test,2H,0.0,SRV+Double+Triple,10
null,test,3H,0.0,SRV+Double+Triple,10
