model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.019,0.0,SRV,1
alternative,reference,Negative selection,0.004,0.0,SRV,1
alternative,reference,Negative selection,0.258,100.0,SRV,1
alternative,test,Diversifying selection,1.023,0.0,SRV,1
alternative,test,Diversifying selection,1.019,0.0,SRV,1
alternative,test,Negative selection,0.002,0.0,SRV,1
alternative,test,Negative selection,0.201,100.0,SRV,1
alternative,test,Negative selection,0.004,0.0,SRV,1
alternative,test,Negative selection,0.258,100.0,SRV,1
null,reference,Diversifying selection,2.278,0.0,SRV,1
null,reference,Negative selection,0.002,0.0,SRV,1
null,reference,Negative selection,0.257,100.0,SRV,1
null,test,Diversifying selection,2.278,0.0,SRV,1
null,test,Negative selection,0.002,0.0,SRV,1
null,test,Negative selection,0.257,100.0,SRV,1
alternative,reference,Diversifying selection,1.445,0.0,SRV,2
alternative,reference,Negative selection,0.226,12.493,SRV,2
alternative,reference,Negative selection,0.265,87.507,SRV,2
alternative,test,Diversifying selection,1.548,0.0,SRV,2
alternative,test,Diversifying selection,1.445,0.0,SRV,2
alternative,test,Negative selection,0.171,12.493,SRV,2
alternative,test,Negative selection,0.206,87.507,SRV,2
alternative,test,Negative selection,0.226,12.493,SRV,2
alternative,test,Negative selection,0.265,87.507,SRV,2
null,reference,Diversifying selection,2.888,0.0,SRV,2
null,reference,Negative selection,0.236,20.428,SRV,2
null,reference,Negative selection,0.263,79.572,SRV,2
null,test,Diversifying selection,2.888,0.0,SRV,2
null,test,Negative selection,0.236,20.428,SRV,2
null,test,Negative selection,0.263,79.572,SRV,2
alternative,reference,Diversifying selection,1.051,0.0,SRV,3
alternative,reference,Negative selection,0.25,0.0,SRV,3
alternative,reference,Negative selection,0.258,100.0,SRV,3
alternative,test,Diversifying selection,1.061,0.0,SRV,3
alternative,test,Diversifying selection,1.051,0.0,SRV,3
alternative,test,Negative selection,0.194,0.0,SRV,3
alternative,test,Negative selection,0.201,100.0,SRV,3
alternative,test,Negative selection,0.25,0.0,SRV,3
alternative,test,Negative selection,0.258,100.0,SRV,3
null,reference,Diversifying selection,2.09,0.0,SRV,3
null,reference,Negative selection,0.252,18.41,SRV,3
null,reference,Negative selection,0.258,81.59,SRV,3
null,test,Diversifying selection,2.09,0.0,SRV,3
null,test,Negative selection,0.252,18.41,SRV,3
null,test,Negative selection,0.258,81.59,SRV,3
alternative,reference,Diversifying selection,1.242,0.0,SRV,4
alternative,reference,Negative selection,0.243,64.865,SRV,4
alternative,reference,Negative selection,0.286,35.135,SRV,4
alternative,test,Diversifying selection,1.293,0.0,SRV,4
alternative,test,Diversifying selection,1.242,0.0,SRV,4
alternative,test,Negative selection,0.188,64.865,SRV,4
alternative,test,Negative selection,0.228,35.135,SRV,4
alternative,test,Negative selection,0.243,64.865,SRV,4
alternative,test,Negative selection,0.286,35.135,SRV,4
null,reference,Diversifying selection,2.926,0.0,SRV,4
null,reference,Negative selection,0.245,66.851,SRV,4
null,reference,Negative selection,0.281,33.149,SRV,4
null,test,Diversifying selection,2.926,0.0,SRV,4
null,test,Negative selection,0.245,66.851,SRV,4
null,test,Negative selection,0.281,33.149,SRV,4
alternative,reference,Diversifying selection,1.025,0.0,SRV,5
alternative,reference,Negative selection,0.247,74.517,SRV,5
alternative,reference,Negative selection,0.296,25.483,SRV,5
alternative,test,Diversifying selection,1.03,0.0,SRV,5
alternative,test,Diversifying selection,1.025,0.0,SRV,5
alternative,test,Negative selection,0.191,74.517,SRV,5
alternative,test,Negative selection,0.237,25.483,SRV,5
alternative,test,Negative selection,0.247,74.517,SRV,5
alternative,test,Negative selection,0.296,25.483,SRV,5
null,reference,Diversifying selection,1.819,0.0,SRV,5
null,reference,Negative selection,0.246,67.948,SRV,5
null,reference,Negative selection,0.281,32.052,SRV,5
null,test,Diversifying selection,1.819,0.0,SRV,5
null,test,Negative selection,0.246,67.948,SRV,5
null,test,Negative selection,0.281,32.052,SRV,5
alternative,reference,Diversifying selection,1.017,0.0,SRV,6
alternative,reference,Negative selection,0.239,39.411,SRV,6
alternative,reference,Negative selection,0.271,60.589,SRV,6
alternative,test,Diversifying selection,1.02,0.0,SRV,6
alternative,test,Diversifying selection,1.017,0.0,SRV,6
alternative,test,Negative selection,0.184,39.411,SRV,6
alternative,test,Negative selection,0.213,60.589,SRV,6
alternative,test,Negative selection,0.239,39.411,SRV,6
alternative,test,Negative selection,0.271,60.589,SRV,6
null,reference,Diversifying selection,1.858,0.0,SRV,6
null,reference,Negative selection,0.24,39.806,SRV,6
null,reference,Negative selection,0.268,60.194,SRV,6
null,test,Diversifying selection,1.858,0.0,SRV,6
null,test,Negative selection,0.24,39.806,SRV,6
null,test,Negative selection,0.268,60.194,SRV,6
alternative,reference,Diversifying selection,1.01,0.0,SRV,7
alternative,reference,Negative selection,0.237,43.752,SRV,7
alternative,reference,Negative selection,0.275,56.248,SRV,7
alternative,test,Diversifying selection,1.011,0.0,SRV,7
alternative,test,Diversifying selection,1.01,0.0,SRV,7
alternative,test,Negative selection,0.182,43.752,SRV,7
alternative,test,Negative selection,0.216,56.248,SRV,7
alternative,test,Negative selection,0.237,43.752,SRV,7
alternative,test,Negative selection,0.275,56.248,SRV,7
null,reference,Diversifying selection,1.99,0.0,SRV,7
null,reference,Negative selection,0.24,47.19,SRV,7
null,reference,Negative selection,0.272,52.81,SRV,7
null,test,Diversifying selection,1.99,0.0,SRV,7
null,test,Negative selection,0.24,47.19,SRV,7
null,test,Negative selection,0.272,52.81,SRV,7
alternative,reference,Diversifying selection,1.011,0.0,SRV,8
alternative,reference,Negative selection,0.244,29.177,SRV,8
alternative,reference,Negative selection,0.265,70.823,SRV,8
alternative,test,Diversifying selection,1.013,0.0,SRV,8
alternative,test,Diversifying selection,1.011,0.0,SRV,8
alternative,test,Negative selection,0.188,29.177,SRV,8
alternative,test,Negative selection,0.207,70.823,SRV,8
alternative,test,Negative selection,0.244,29.177,SRV,8
alternative,test,Negative selection,0.265,70.823,SRV,8
null,reference,Diversifying selection,1.879,0.0,SRV,8
null,reference,Negative selection,0.247,35.249,SRV,8
null,reference,Negative selection,0.262,64.751,SRV,8
null,test,Diversifying selection,1.879,0.0,SRV,8
null,test,Negative selection,0.247,35.249,SRV,8
null,test,Negative selection,0.262,64.751,SRV,8
alternative,reference,Diversifying selection,1.007,0.0,SRV,9
alternative,reference,Negative selection,0.237,28.367,SRV,9
alternative,reference,Negative selection,0.267,71.633,SRV,9
alternative,test,Diversifying selection,1.008,0.0,SRV,9
alternative,test,Diversifying selection,1.007,0.0,SRV,9
alternative,test,Negative selection,0.181,28.367,SRV,9
alternative,test,Negative selection,0.209,71.633,SRV,9
