model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.032,0.0,SRV,1
alternative,reference,Negative selection,0.363,100.0,SRV,1
alternative,reference,Negative selection,0.641,0.0,SRV,1
alternative,test,Diversifying selection,1.017,0.0,SRV,1
alternative,test,Diversifying selection,1.032,0.0,SRV,1
alternative,test,Negative selection,0.583,100.0,SRV,1
alternative,test,Negative selection,0.681,0.0,SRV,1
alternative,test,Negative selection,0.363,100.0,SRV,1
alternative,test,Negative selection,0.641,0.0,SRV,1
null,reference,Diversifying selection,1.006,0.0,SRV,1
null,reference,Negative selection,0.36,96.477,SRV,1
null,reference,Negative selection,0.442,3.523,SRV,1
null,test,Diversifying selection,1.006,0.0,SRV,1
null,test,Negative selection,0.36,96.477,SRV,1
null,test,Negative selection,0.442,3.523,SRV,1
alternative,reference,Diversifying selection,1.007,0.0,SRV,2
alternative,reference,Negative selection,0.355,26.547,SRV,2
alternative,reference,Negative selection,0.367,73.453,SRV,2
alternative,test,Diversifying selection,1.004,0.0,SRV,2
alternative,test,Diversifying selection,1.007,0.0,SRV,2
alternative,test,Negative selection,0.574,26.547,SRV,2
alternative,test,Negative selection,0.585,73.453,SRV,2
alternative,test,Negative selection,0.355,26.547,SRV,2
alternative,test,Negative selection,0.367,73.453,SRV,2
null,reference,Diversifying selection,1.01,0.0,SRV,2
null,reference,Negative selection,0.397,100.0,SRV,2
null,reference,Negative selection,0.414,0.0,SRV,2
null,test,Diversifying selection,1.01,0.0,SRV,2
null,test,Negative selection,0.397,100.0,SRV,2
null,test,Negative selection,0.414,0.0,SRV,2
alternative,reference,Diversifying selection,1.015,0.0,SRV,3
alternative,reference,Negative selection,0.363,100.0,SRV,3
alternative,reference,Negative selection,0.588,0.0,SRV,3
alternative,test,Diversifying selection,1.008,0.0,SRV,3
alternative,test,Diversifying selection,1.015,0.0,SRV,3
alternative,test,Negative selection,0.44,0.0,SRV,3
alternative,test,Negative selection,0.582,100.0,SRV,3
alternative,test,Negative selection,0.363,100.0,SRV,3
alternative,test,Negative selection,0.588,0.0,SRV,3
null,reference,Diversifying selection,1.007,0.0,SRV,3
null,reference,Negative selection,0.363,100.0,SRV,3
null,reference,Negative selection,0.398,0.0,SRV,3
null,test,Diversifying selection,1.007,0.0,SRV,3
null,test,Negative selection,0.363,100.0,SRV,3
null,test,Negative selection,0.398,0.0,SRV,3
alternative,reference,Diversifying selection,1.031,0.0,SRV,4
alternative,reference,Negative selection,0.363,100.0,SRV,4
alternative,reference,Negative selection,0.638,0.0,SRV,4
alternative,test,Diversifying selection,1.016,0.0,SRV,4
alternative,test,Diversifying selection,1.031,0.0,SRV,4
alternative,test,Negative selection,0.583,100.0,SRV,4
alternative,test,Negative selection,0.814,0.0,SRV,4
alternative,test,Negative selection,0.363,100.0,SRV,4
alternative,test,Negative selection,0.638,0.0,SRV,4
null,reference,Diversifying selection,1.389,0.0,SRV,4
null,reference,Negative selection,0.362,99.973,SRV,4
null,reference,Negative selection,0.448,0.027,SRV,4
null,test,Diversifying selection,1.389,0.0,SRV,4
null,test,Negative selection,0.362,99.973,SRV,4
null,test,Negative selection,0.448,0.027,SRV,4
alternative,reference,Diversifying selection,1.025,0.0,SRV,5
alternative,reference,Negative selection,0.362,85.466,SRV,5
alternative,reference,Negative selection,0.373,14.534,SRV,5
alternative,test,Diversifying selection,1.013,0.0,SRV,5
alternative,test,Diversifying selection,1.025,0.0,SRV,5
alternative,test,Negative selection,0.582,85.466,SRV,5
alternative,test,Negative selection,0.591,14.534,SRV,5
