replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.955,0.53,-4747.65,9561.79,33.0,-4747.65,9559.76,32.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.2602,0.54,-4747.65,9559.76,32.0,-4748.28,9559.0,31.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
3,SRV,1.0,0.53,-4747.65,9561.79,33.0,-4747.65,9559.76,32.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.9798,0.53,-4747.65,9561.79,33.0,-4747.65,9559.76,32.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.2593,0.53,-4747.65,9559.76,32.0,-4748.29,9559.0,31.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.2604,0.53,-4747.65,9559.76,32.0,-4748.28,9559.0,31.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.2603,0.53,-4747.65,9559.76,32.0,-4748.28,9559.0,31.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.2603,0.53,-4747.65,9561.79,33.0,-4748.28,9561.03,32.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.2605,0.53,-4747.65,9559.76,32.0,-4748.28,9559.0,31.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.26,0.53,-4747.65,9559.76,32.0,-4748.29,9559.0,31.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.2537,0.52,-4747.59,9563.69,34.0,-4748.24,9562.96,33.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.2536,0.52,-4747.59,9563.69,34.0,-4748.24,9562.96,33.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.2536,0.52,-4747.59,9563.69,34.0,-4748.24,9562.96,33.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.2536,0.52,-4747.59,9563.69,34.0,-4748.24,9562.96,33.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.2537,0.52,-4747.59,9563.69,34.0,-4748.24,9562.96,33.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.2536,0.52,-4747.59,9563.69,34.0,-4748.24,9562.96,33.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.2536,0.52,-4747.59,9563.69,34.0,-4748.24,9562.96,33.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.2536,0.52,-4747.59,9563.69,34.0,-4748.24,9562.96,33.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.2538,0.53,-4747.59,9563.69,34.0,-4748.24,9562.96,33.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.2535,0.52,-4747.59,9563.69,34.0,-4748.24,9562.96,33.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.2536,0.52,-4747.59,9567.75,36.0,-4748.24,9567.02,35.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.2535,0.52,-4747.59,9567.75,36.0,-4748.24,9567.02,35.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.2537,0.52,-4747.59,9567.75,36.0,-4748.24,9567.02,35.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.2535,0.52,-4747.59,9567.75,36.0,-4748.24,9567.02,35.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.2535,0.52,-4747.59,9567.75,36.0,-4748.24,9567.02,35.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.2537,0.52,-4747.59,9567.75,36.0,-4748.24,9567.02,35.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.2538,0.53,-4747.59,9567.75,36.0,-4748.24,9567.02,35.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.2537,0.53,-4747.59,9567.75,36.0,-4748.24,9567.02,35.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.2538,0.52,-4747.59,9567.75,36.0,-4748.24,9567.02,35.0,0.3683,0.5763,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,,,,,,,,,,,
