model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.779,13.859,SRV,1
null,2,0.784,82.337,SRV,1
null,3,6.471,3.804,SRV,1
null,1,0.53,0.0,SRV,2
null,2,0.786,96.272,SRV,2
null,3,6.526,3.728,SRV,2
null,1,0.783,13.423,SRV,3
null,2,0.784,82.781,SRV,3
null,3,6.483,3.796,SRV,3
null,1,0.781,11.359,SRV,4
null,2,0.784,84.835,SRV,4
null,3,6.476,3.805,SRV,4
null,1,0.783,17.813,SRV,5
null,2,0.786,78.44,SRV,5
null,3,6.512,3.746,SRV,5
null,1,0.786,95.179,SRV,6
null,2,0.787,1.088,SRV,6
null,3,6.519,3.733,SRV,6
null,1,0.786,20.987,SRV,7
null,2,0.786,75.281,SRV,7
null,3,6.522,3.732,SRV,7
null,1,0.784,12.269,SRV,8
null,2,0.786,83.986,SRV,8
null,3,6.509,3.745,SRV,8
null,1,0.786,21.136,SRV,9
null,2,0.786,75.13,SRV,9
null,3,6.519,3.734,SRV,9
null,1,0.786,96.268,SRV,10
null,2,0.854,0.0,SRV,10
null,3,6.518,3.732,SRV,10
