replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.7998,0.9,-4748.25,9560.96,32.0,-4748.28,9559.0,31.0,0.3916,0.4235,Convergence/flat likelihood
2,SRV,0.804,0.89,-4748.25,9560.96,32.0,-4748.28,9559.0,31.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.7993,0.91,-4748.25,9560.96,32.0,-4748.28,9559.0,31.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.8001,0.9,-4748.25,9560.96,32.0,-4748.28,9559.0,31.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.7995,0.91,-4748.25,9560.96,32.0,-4748.28,9559.0,31.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.7992,0.9,-4748.25,9560.96,32.0,-4748.28,9559.0,31.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.7995,0.9,-4748.25,9560.96,32.0,-4748.28,9559.0,31.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
8,SRV,1.0,0.85,-4748.26,9563.0,33.0,-4748.25,9560.97,32.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.7998,0.91,-4748.25,9560.96,32.0,-4748.28,9559.0,31.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.7997,0.9,-4748.25,9560.96,32.0,-4748.28,9559.0,31.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.7743,0.89,-4748.1,9564.72,34.0,-4748.14,9562.77,33.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.7738,0.9,-4748.1,9564.72,34.0,-4748.14,9562.77,33.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.7765,0.9,-4748.1,9564.72,34.0,-4748.14,9562.77,33.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.7749,0.9,-4748.1,9564.72,34.0,-4748.14,9562.77,33.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.7741,0.9,-4748.1,9564.72,34.0,-4748.14,9562.77,33.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.7736,0.89,-4748.1,9564.72,34.0,-4748.14,9562.77,33.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.7736,0.9,-4748.1,9564.72,34.0,-4748.14,9562.77,33.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.7735,0.9,-4748.1,9564.72,34.0,-4748.14,9562.77,33.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.7729,0.9,-4748.1,9564.72,34.0,-4748.14,9562.77,33.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.7738,0.89,-4748.1,9564.72,34.0,-4748.14,9562.77,33.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.7752,0.9,-4748.1,9568.78,36.0,-4748.14,9566.83,35.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.774,0.9,-4748.1,9568.78,36.0,-4748.14,9566.83,35.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.7739,0.89,-4748.1,9568.78,36.0,-4748.14,9566.83,35.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.7741,0.9,-4748.1,9568.78,36.0,-4748.14,9566.83,35.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.7738,0.9,-4748.1,9568.78,36.0,-4748.14,9566.83,35.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.7741,0.9,-4748.1,9568.78,36.0,-4748.14,9566.83,35.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.7772,0.89,-4748.1,9568.78,36.0,-4748.14,9566.83,35.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.7737,0.89,-4748.1,9568.78,36.0,-4748.14,9566.83,35.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.7744,0.89,-4748.1,9568.78,36.0,-4748.14,9566.83,35.0,0.3916,0.4235,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,,,,,,,,,,,
