model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.786,96.258,SRV,1
null,2,1.374,0.0,SRV,1
null,3,6.512,3.742,SRV,1
null,1,0.784,37.862,SRV,2
null,2,0.787,58.406,SRV,2
null,3,6.521,3.732,SRV,2
null,1,0.786,74.586,SRV,3
null,2,0.788,21.69,SRV,3
null,3,6.529,3.724,SRV,3
null,1,0.786,81.404,SRV,4
null,2,0.788,14.86,SRV,4
null,3,6.517,3.736,SRV,4
null,1,0.785,72.343,SRV,5
null,2,0.789,23.924,SRV,5
null,3,6.52,3.733,SRV,5
null,1,0.786,82.237,SRV,6
null,2,0.786,14.027,SRV,6
null,3,6.519,3.736,SRV,6
null,1,0.785,72.344,SRV,7
null,2,0.788,23.917,SRV,7
null,3,6.515,3.739,SRV,7
null,1,0.786,21.332,SRV,8
null,2,0.786,74.92,SRV,8
null,3,6.506,3.747,SRV,8
null,1,0.785,53.733,SRV,9
null,2,0.787,42.532,SRV,9
null,3,6.521,3.735,SRV,9
null,1,0.785,74.886,SRV,10
null,2,0.787,21.378,SRV,10
null,3,6.52,3.737,SRV,10
