model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.04,SRV+Double,1
alternative,reference,2H,0.0,SRV+Double,1
alternative,test,2H,0.0076,SRV+Double,1
null,reference,2H,0.0,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
null,test,2H,0.0185,SRV+Double,1
alternative,reference,2H,0.0439,SRV+Double,2
alternative,reference,2H,0.0,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.0,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.0581,SRV+Double,3
alternative,reference,2H,0.0,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.0,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
null,test,2H,0.0048,SRV+Double,3
alternative,reference,2H,0.0482,SRV+Double,4
alternative,reference,2H,0.0,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.0,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.0418,SRV+Double,5
alternative,reference,2H,0.0,SRV+Double,5
alternative,test,2H,0.0035,SRV+Double,5
null,reference,2H,0.0,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
null,test,2H,0.0126,SRV+Double,5
alternative,reference,2H,0.0412,SRV+Double,6
alternative,reference,2H,0.0,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.0,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.0469,SRV+Double,7
alternative,reference,2H,0.0,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.0,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.0414,SRV+Double,8
alternative,reference,2H,0.0,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.0,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.0296,SRV+Double,9
alternative,reference,2H,0.0,SRV+Double,9
alternative,test,2H,0.0073,SRV+Double,9
null,reference,2H,0.0,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
null,test,2H,0.0158,SRV+Double,9
alternative,reference,2H,0.0408,SRV+Double,10
alternative,reference,2H,0.0,SRV+Double,10
alternative,test,2H,0.0,SRV+Double,10
null,reference,2H,0.0,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
null,test,2H,0.0174,SRV+Double,10
alternative,reference,2H,0.0544,SRV+Double+Triple,1
alternative,reference,2H,0.0,SRV+Double+Triple,1
alternative,reference,3H,0.0,SRV+Double+Triple,1
alternative,test,2H,0.0,SRV+Double+Triple,1
alternative,test,3H,0.5578,SRV+Double+Triple,1
null,reference,2H,0.0,SRV+Double+Triple,1
null,reference,3H,0.0,SRV+Double+Triple,1
null,test,2H,0.0,SRV+Double+Triple,1
null,test,3H,0.4605,SRV+Double+Triple,1
null,test,3H,0.6225,SRV+Double+Triple,1
alternative,reference,2H,0.052,SRV+Double+Triple,2
alternative,reference,2H,0.0,SRV+Double+Triple,2
alternative,reference,3H,0.0,SRV+Double+Triple,2
alternative,test,2H,0.0,SRV+Double+Triple,2
alternative,test,3H,0.4852,SRV+Double+Triple,2
null,reference,2H,0.0,SRV+Double+Triple,2
