model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,3.053,SRV,1
null,2,0.827,89.919,SRV,1
null,3,3.654,7.027,SRV,1
null,1,0.0,3.031,SRV,2
null,2,0.827,89.977,SRV,2
null,3,3.666,6.993,SRV,2
null,1,0.772,90.211,SRV,3
null,2,1.033,1.036,SRV,3
null,3,3.344,8.752,SRV,3
null,1,0.771,89.414,SRV,4
null,2,0.976,1.804,SRV,4
null,3,3.34,8.782,SRV,4
null,1,0.759,83.631,SRV,5
null,2,0.957,7.722,SRV,5
null,3,3.365,8.647,SRV,5
null,1,0.763,82.684,SRV,6
null,2,0.882,8.325,SRV,6
null,3,3.293,8.99,SRV,6
null,1,0.772,90.981,SRV,7
null,2,2.507,0.795,SRV,7
null,3,3.376,8.224,SRV,7
null,1,0.76,81.502,SRV,8
null,2,0.892,9.489,SRV,8
null,3,3.286,9.009,SRV,8
null,1,0.739,66.717,SRV,9
null,2,0.879,24.494,SRV,9
null,3,3.321,8.789,SRV,9
null,1,0.758,83.202,SRV,10
null,2,0.981,8.222,SRV,10
null,3,3.371,8.576,SRV,10
