model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.011,0.0,SRV,1
alternative,reference,Negative selection,0.335,0.0,SRV,1
alternative,reference,Negative selection,0.41,100.0,SRV,1
alternative,test,Diversifying selection,1.016,0.0,SRV,1
alternative,test,Diversifying selection,1.011,0.0,SRV,1
alternative,test,Negative selection,0.196,0.0,SRV,1
alternative,test,Negative selection,0.264,100.0,SRV,1
alternative,test,Negative selection,0.335,0.0,SRV,1
alternative,test,Negative selection,0.41,100.0,SRV,1
null,reference,Diversifying selection,2.017,0.0,SRV,1
null,reference,Negative selection,0.259,0.0,SRV,1
null,reference,Negative selection,0.398,100.0,SRV,1
null,test,Diversifying selection,2.017,0.0,SRV,1
null,test,Negative selection,0.259,0.0,SRV,1
null,test,Negative selection,0.398,100.0,SRV,1
alternative,reference,Diversifying selection,1.037,0.0,SRV,3
alternative,reference,Negative selection,0.23,0.0,SRV,3
alternative,reference,Negative selection,0.411,100.0,SRV,3
alternative,test,Diversifying selection,1.055,0.0,SRV,3
alternative,test,Diversifying selection,1.037,0.0,SRV,3
alternative,test,Negative selection,0.112,0.0,SRV,3
alternative,test,Negative selection,0.265,100.0,SRV,3
alternative,test,Negative selection,0.23,0.0,SRV,3
alternative,test,Negative selection,0.411,100.0,SRV,3
null,reference,Diversifying selection,2.079,0.0,SRV,3
null,reference,Negative selection,0.177,0.0,SRV,3
null,reference,Negative selection,0.398,100.0,SRV,3
null,test,Diversifying selection,2.079,0.0,SRV,3
null,test,Negative selection,0.177,0.0,SRV,3
null,test,Negative selection,0.398,100.0,SRV,3
alternative,reference,Diversifying selection,6.425,0.0,SRV,4
alternative,reference,Negative selection,0.382,33.358,SRV,4
alternative,reference,Negative selection,0.426,66.642,SRV,4
alternative,test,Diversifying selection,16.287,0.0,SRV,4
alternative,test,Diversifying selection,6.425,0.0,SRV,4
alternative,test,Negative selection,0.236,33.358,SRV,4
alternative,test,Negative selection,0.278,66.642,SRV,4
alternative,test,Negative selection,0.382,33.358,SRV,4
alternative,test,Negative selection,0.426,66.642,SRV,4
null,reference,Diversifying selection,1.222,0.0,SRV,4
null,reference,Negative selection,0.388,61.924,SRV,4
null,reference,Negative selection,0.416,38.076,SRV,4
null,test,Diversifying selection,1.222,0.0,SRV,4
null,test,Negative selection,0.388,61.924,SRV,4
null,test,Negative selection,0.416,38.076,SRV,4
alternative,reference,Diversifying selection,1.332,0.0,SRV,5
alternative,reference,Negative selection,0.249,0.0,SRV,5
alternative,reference,Negative selection,0.412,100.0,SRV,5
alternative,test,Diversifying selection,1.535,0.0,SRV,5
alternative,test,Diversifying selection,1.332,0.0,SRV,5
alternative,test,Negative selection,0.125,0.0,SRV,5
alternative,test,Negative selection,0.266,100.0,SRV,5
alternative,test,Negative selection,0.249,0.0,SRV,5
alternative,test,Negative selection,0.412,100.0,SRV,5
null,reference,Diversifying selection,2.867,0.0,SRV,5
null,reference,Negative selection,0.193,0.0,SRV,5
null,reference,Negative selection,0.398,100.0,SRV,5
null,test,Diversifying selection,2.867,0.0,SRV,5
null,test,Negative selection,0.193,0.0,SRV,5
null,test,Negative selection,0.398,100.0,SRV,5
alternative,reference,Diversifying selection,1.214,0.0,SRV,6
alternative,reference,Negative selection,0.285,0.0,SRV,6
alternative,reference,Negative selection,0.411,100.0,SRV,6
alternative,test,Diversifying selection,1.335,0.0,SRV,6
alternative,test,Diversifying selection,1.214,0.0,SRV,6
alternative,test,Negative selection,0.153,0.0,SRV,6
alternative,test,Negative selection,0.265,100.0,SRV,6
alternative,test,Negative selection,0.285,0.0,SRV,6
alternative,test,Negative selection,0.411,100.0,SRV,6
null,reference,Diversifying selection,2.554,0.0,SRV,6
null,reference,Negative selection,0.221,0.0,SRV,6
null,reference,Negative selection,0.398,100.0,SRV,6
null,test,Diversifying selection,2.554,0.0,SRV,6
null,test,Negative selection,0.221,0.0,SRV,6
null,test,Negative selection,0.398,100.0,SRV,6
alternative,reference,Diversifying selection,1.008,0.0,SRV,7
alternative,reference,Negative selection,0.391,0.0,SRV,7
alternative,reference,Negative selection,0.411,100.0,SRV,7
alternative,test,Diversifying selection,1.012,0.0,SRV,7
alternative,test,Diversifying selection,1.008,0.0,SRV,7
alternative,test,Negative selection,0.247,0.0,SRV,7
alternative,test,Negative selection,0.265,100.0,SRV,7
alternative,test,Negative selection,0.391,0.0,SRV,7
alternative,test,Negative selection,0.411,100.0,SRV,7
null,reference,Diversifying selection,1.994,0.0,SRV,7
null,reference,Negative selection,0.301,0.0,SRV,7
null,reference,Negative selection,0.398,100.0,SRV,7
null,test,Diversifying selection,1.994,0.0,SRV,7
null,test,Negative selection,0.301,0.0,SRV,7
null,test,Negative selection,0.398,100.0,SRV,7
alternative,reference,Diversifying selection,1.01,0.0,SRV,8
alternative,reference,Negative selection,0.335,0.0,SRV,8
alternative,reference,Negative selection,0.41,100.0,SRV,8
alternative,test,Diversifying selection,1.015,0.0,SRV,8
alternative,test,Diversifying selection,1.01,0.0,SRV,8
alternative,test,Negative selection,0.196,0.0,SRV,8
alternative,test,Negative selection,0.265,100.0,SRV,8
alternative,test,Negative selection,0.335,0.0,SRV,8
alternative,test,Negative selection,0.41,100.0,SRV,8
null,reference,Diversifying selection,1.896,0.0,SRV,8
null,reference,Negative selection,0.389,26.962,SRV,8
null,reference,Negative selection,0.401,73.038,SRV,8
null,test,Diversifying selection,1.896,0.0,SRV,8
null,test,Negative selection,0.389,26.962,SRV,8
null,test,Negative selection,0.401,73.038,SRV,8
alternative,reference,Diversifying selection,1.008,0.0,SRV,9
alternative,reference,Negative selection,0.397,67.317,SRV,9
alternative,reference,Negative selection,0.438,32.683,SRV,9
alternative,test,Diversifying selection,1.011,0.0,SRV,9
alternative,test,Diversifying selection,1.008,0.0,SRV,9
alternative,test,Negative selection,0.251,67.317,SRV,9
alternative,test,Negative selection,0.291,32.683,SRV,9
alternative,test,Negative selection,0.397,67.317,SRV,9
alternative,test,Negative selection,0.438,32.683,SRV,9
null,reference,Diversifying selection,1.763,0.0,SRV,9
null,reference,Negative selection,0.395,84.333,SRV,9
null,reference,Negative selection,0.413,15.667,SRV,9
null,test,Diversifying selection,1.763,0.0,SRV,9
null,test,Negative selection,0.395,84.333,SRV,9
null,test,Negative selection,0.413,15.667,SRV,9
alternative,reference,Diversifying selection,3.264,0.0,SRV,10
alternative,reference,Negative selection,0.143,0.0,SRV,10
alternative,reference,Negative selection,0.412,100.0,SRV,10
alternative,test,Diversifying selection,5.884,0.0,SRV,10
alternative,test,Diversifying selection,3.264,0.0,SRV,10
alternative,test,Negative selection,0.054,0.0,SRV,10
alternative,test,Negative selection,0.265,100.0,SRV,10
alternative,test,Negative selection,0.143,0.0,SRV,10
alternative,test,Negative selection,0.412,100.0,SRV,10
null,reference,Diversifying selection,1.136,0.0,SRV,10
null,reference,Negative selection,0.11,0.0,SRV,10
null,reference,Negative selection,0.398,100.0,SRV,10
null,test,Diversifying selection,1.136,0.0,SRV,10
null,test,Negative selection,0.11,0.0,SRV,10
null,test,Negative selection,0.398,100.0,SRV,10
alternative,reference,Diversifying selection,1.187,0.0,SRV+Double,1
alternative,reference,Negative selection,0.019,0.0,SRV+Double,1
alternative,reference,Negative selection,0.411,100.0,SRV+Double,1
alternative,test,Diversifying selection,1.29,0.0,SRV+Double,1
alternative,test,Diversifying selection,1.187,0.0,SRV+Double,1
alternative,test,Negative selection,0.003,0.0,SRV+Double,1
alternative,test,Negative selection,0.266,100.0,SRV+Double,1
alternative,test,Negative selection,0.019,0.0,SRV+Double,1
alternative,test,Negative selection,0.411,100.0,SRV+Double,1
null,reference,Diversifying selection,2.558,0.0,SRV+Double,1
null,reference,Negative selection,0.015,0.0,SRV+Double,1
null,reference,Negative selection,0.398,100.0,SRV+Double,1
null,test,Diversifying selection,2.558,0.0,SRV+Double,1
null,test,Negative selection,0.015,0.0,SRV+Double,1
null,test,Negative selection,0.398,100.0,SRV+Double,1
alternative,reference,Diversifying selection,1.025,0.0,SRV+Double,2
alternative,reference,Negative selection,0.4,63.488,SRV+Double,2
alternative,reference,Negative selection,0.43,36.512,SRV+Double,2
alternative,test,Diversifying selection,1.038,0.0,SRV+Double,2
alternative,test,Diversifying selection,1.025,0.0,SRV+Double,2
alternative,test,Negative selection,0.254,63.488,SRV+Double,2
alternative,test,Negative selection,0.283,36.512,SRV+Double,2
alternative,test,Negative selection,0.4,63.488,SRV+Double,2
alternative,test,Negative selection,0.43,36.512,SRV+Double,2
null,reference,Diversifying selection,1.943,0.0,SRV+Double,2
null,reference,Negative selection,0.398,100.0,SRV+Double,2
null,reference,Negative selection,0.422,0.0,SRV+Double,2
null,test,Diversifying selection,1.943,0.0,SRV+Double,2
null,test,Negative selection,0.398,100.0,SRV+Double,2
null,test,Negative selection,0.422,0.0,SRV+Double,2
alternative,reference,Diversifying selection,1.157,0.0,SRV+Double,3
alternative,reference,Negative selection,0.011,0.0,SRV+Double,3
alternative,reference,Negative selection,0.411,100.0,SRV+Double,3
alternative,test,Diversifying selection,1.242,0.0,SRV+Double,3
alternative,test,Diversifying selection,1.157,0.0,SRV+Double,3
alternative,test,Negative selection,0.001,0.0,SRV+Double,3
alternative,test,Negative selection,0.265,100.0,SRV+Double,3
alternative,test,Negative selection,0.011,0.0,SRV+Double,3
alternative,test,Negative selection,0.411,100.0,SRV+Double,3
null,reference,Diversifying selection,2.416,0.0,SRV+Double,3
null,reference,Negative selection,0.009,0.0,SRV+Double,3
null,reference,Negative selection,0.398,100.0,SRV+Double,3
null,test,Diversifying selection,2.416,0.0,SRV+Double,3
null,test,Negative selection,0.009,0.0,SRV+Double,3
null,test,Negative selection,0.398,100.0,SRV+Double,3
alternative,reference,Diversifying selection,1.067,0.0,SRV+Double,4
alternative,reference,Negative selection,0.011,0.0,SRV+Double,4
alternative,reference,Negative selection,0.411,100.0,SRV+Double,4
alternative,test,Diversifying selection,1.101,0.0,SRV+Double,4
alternative,test,Diversifying selection,1.067,0.0,SRV+Double,4
alternative,test,Negative selection,0.001,0.0,SRV+Double,4
alternative,test,Negative selection,0.264,100.0,SRV+Double,4
alternative,test,Negative selection,0.011,0.0,SRV+Double,4
alternative,test,Negative selection,0.411,100.0,SRV+Double,4
null,reference,Diversifying selection,2.18,0.0,SRV+Double,4
null,reference,Negative selection,0.009,0.0,SRV+Double,4
null,reference,Negative selection,0.398,100.0,SRV+Double,4
