model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.786,96.251,SRV,1
null,2,1.08,0.0,SRV,1
null,3,6.499,3.749,SRV,1
null,1,0.786,96.237,SRV,3
null,2,1.359,0.0,SRV,3
null,3,6.486,3.763,SRV,3
null,1,0.786,96.257,SRV,4
null,2,1.171,0.0,SRV,4
null,3,6.503,3.743,SRV,4
null,1,0.785,47.211,SRV,5
null,2,0.787,49.047,SRV,5
null,3,6.509,3.741,SRV,5
null,1,0.782,14.471,SRV,6
null,2,0.787,81.787,SRV,6
null,3,6.507,3.741,SRV,6
null,1,0.786,22.5,SRV,7
null,2,0.786,73.763,SRV,7
null,3,6.512,3.737,SRV,7
null,1,0.781,7.291,SRV,8
null,2,0.786,88.963,SRV,8
null,3,6.503,3.746,SRV,8
null,1,0.782,13.702,SRV,9
null,2,0.786,82.547,SRV,9
null,3,6.501,3.75,SRV,9
null,1,0.78,0.575,SRV,10
null,2,0.786,95.681,SRV,10
null,3,6.504,3.744,SRV,10
