run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,6.711,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.022,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.245,,100.0
SRV,1,alternative,test,omega,Diversifying selection,6.711,,0.0
SRV,1,alternative,test,omega,Negative selection,0.022,,0.0
SRV,1,alternative,test,omega,Negative selection,0.245,,100.0
SRV,1,alternative,test,omega,Neutral evolution,1.0,,100.0
SRV,1,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,1,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,1,null,reference,omega,Diversifying selection,1.429,,0.0
SRV,1,null,reference,omega,Negative selection,0.017,,0.0
SRV,1,null,reference,omega,Negative selection,0.291,,100.0
SRV,1,null,test,omega,Diversifying selection,1.429,,0.0
SRV,1,null,test,omega,Negative selection,0.017,,0.0
SRV,1,null,test,omega,Negative selection,0.291,,100.0
SRV,2,alternative,reference,omega,Diversifying selection,7.129,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.003,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.245,,100.0
SRV,2,alternative,test,omega,Diversifying selection,7.129,,0.0
SRV,2,alternative,test,omega,Negative selection,0.003,,0.0
SRV,2,alternative,test,omega,Negative selection,0.245,,100.0
SRV,2,alternative,test,omega,Neutral evolution,1.0,,100.0
SRV,2,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,2,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,2,null,reference,omega,Diversifying selection,1.551,,0.0
SRV,2,null,reference,omega,Negative selection,0.001,,0.0
SRV,2,null,reference,omega,Negative selection,0.291,,100.0
SRV,2,null,test,omega,Diversifying selection,1.551,,0.0
SRV,2,null,test,omega,Negative selection,0.001,,0.0
SRV,2,null,test,omega,Negative selection,0.291,,100.0
SRV,3,alternative,reference,omega,Diversifying selection,6.818,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.029,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.245,,100.0
SRV,3,alternative,test,omega,Diversifying selection,6.818,,0.0
SRV,3,alternative,test,omega,Negative selection,0.029,,0.0
SRV,3,alternative,test,omega,Negative selection,0.245,,100.0
SRV,3,alternative,test,omega,Neutral evolution,1.0,,100.0
SRV,3,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,3,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,3,null,reference,omega,Diversifying selection,1.347,,0.0
SRV,3,null,reference,omega,Negative selection,0.024,,0.0
SRV,3,null,reference,omega,Negative selection,0.291,,100.0
SRV,3,null,test,omega,Diversifying selection,1.347,,0.0
SRV,3,null,test,omega,Negative selection,0.024,,0.0
SRV,3,null,test,omega,Negative selection,0.291,,100.0
SRV,4,alternative,reference,omega,Diversifying selection,5.798,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.24,,90.465
SRV,4,alternative,reference,omega,Negative selection,0.288,,9.535
SRV,4,alternative,test,omega,Diversifying selection,5.798,,0.0
SRV,4,alternative,test,omega,Negative selection,0.24,,90.465
SRV,4,alternative,test,omega,Negative selection,0.288,,9.535
SRV,4,alternative,test,omega,Neutral evolution,1.0,,90.465
SRV,4,alternative,test,omega,Neutral evolution,1.0,,9.535
SRV,4,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,4,null,reference,omega,Diversifying selection,1.238,,0.0
SRV,4,null,reference,omega,Negative selection,0.27,,19.253
SRV,4,null,reference,omega,Negative selection,0.297,,80.747
SRV,4,null,test,omega,Diversifying selection,1.238,,0.0
SRV,4,null,test,omega,Negative selection,0.27,,19.253
SRV,4,null,test,omega,Negative selection,0.297,,80.747
SRV,5,alternative,reference,omega,Diversifying selection,1.176,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.078,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.246,,100.0
SRV,5,alternative,test,omega,Diversifying selection,1.176,,0.0
SRV,5,alternative,test,omega,Negative selection,0.078,,0.0
SRV,5,alternative,test,omega,Negative selection,0.246,,100.0
SRV,5,alternative,test,omega,Neutral evolution,1.0,,100.0
SRV,5,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,5,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,5,null,reference,omega,Diversifying selection,2.039,,0.0
SRV,5,null,reference,omega,Negative selection,0.057,,0.0
SRV,5,null,reference,omega,Negative selection,0.291,,100.0
SRV,5,null,test,omega,Diversifying selection,2.039,,0.0
SRV,5,null,test,omega,Negative selection,0.057,,0.0
SRV,5,null,test,omega,Negative selection,0.291,,100.0
SRV,6,alternative,reference,omega,Diversifying selection,2.555,,0.0
SRV,6,alternative,reference,omega,Negative selection,0.009,,0.0
SRV,6,alternative,reference,omega,Negative selection,0.247,,100.0
