model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.022,57.085,SRV,1
null,2,0.222,32.773,SRV,1
null,3,9.018,10.142,SRV,1
null,1,0.0,56.456,SRV,2
null,2,0.273,33.542,SRV,2
null,3,9.082,10.003,SRV,2
null,1,0.0,54.404,SRV,3
null,2,0.292,35.883,SRV,3
null,3,9.218,9.713,SRV,3
null,1,0.0,57.334,SRV,4
null,2,0.321,32.946,SRV,4
null,3,9.2,9.719,SRV,4
null,1,0.066,59.203,SRV,5
null,2,0.128,30.495,SRV,5
null,3,8.948,10.302,SRV,5
null,1,0.019,58.519,SRV,6
null,2,0.249,31.434,SRV,6
null,3,9.064,10.047,SRV,6
null,1,0.078,58.056,SRV,7
null,2,0.11,31.679,SRV,7
null,3,8.961,10.265,SRV,7
null,1,0.002,57.277,SRV,8
null,2,0.288,32.822,SRV,8
null,3,9.134,9.901,SRV,8
null,1,0.041,59.691,SRV,9
null,2,0.171,29.926,SRV,9
null,3,8.903,10.383,SRV,9
null,1,0.052,58.267,SRV,10
null,2,0.171,31.553,SRV,10
null,3,8.996,10.18,SRV,10
