run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Negative selection,0.0,,16.683
SRV,1,alternative,reference,omega,Negative selection,0.063,,58.178
SRV,1,alternative,reference,omega,Neutral evolution,1.0,,25.139
SRV,1,alternative,test,omega,Negative selection,0.0,,16.683
SRV,1,alternative,test,omega,Negative selection,0.0,,58.178
SRV,1,alternative,test,omega,Negative selection,0.0,,16.683
SRV,1,alternative,test,omega,Negative selection,0.063,,58.178
SRV,1,alternative,test,omega,Neutral evolution,1.0,,25.139
SRV,1,alternative,test,omega,Neutral evolution,1.0,,25.139
SRV,1,null,reference,omega,Negative selection,0.0,,16.007
SRV,1,null,reference,omega,Negative selection,0.059,,58.708
SRV,1,null,reference,omega,Neutral evolution,1.0,,25.285
SRV,1,null,test,omega,Negative selection,0.0,,16.007
SRV,1,null,test,omega,Negative selection,0.059,,58.708
SRV,1,null,test,omega,Neutral evolution,1.0,,25.285
SRV,2,alternative,reference,omega,Negative selection,0.0,,0.043
SRV,2,alternative,reference,omega,Negative selection,0.046,,74.545
SRV,2,alternative,reference,omega,Neutral evolution,1.0,,25.412
SRV,2,alternative,test,omega,Negative selection,0.0,,0.043
SRV,2,alternative,test,omega,Negative selection,0.0,,74.545
SRV,2,alternative,test,omega,Negative selection,0.0,,0.043
SRV,2,alternative,test,omega,Negative selection,0.046,,74.545
SRV,2,alternative,test,omega,Neutral evolution,1.0,,25.412
SRV,2,alternative,test,omega,Neutral evolution,1.0,,25.412
SRV,2,null,reference,omega,Negative selection,0.001,,0.0
SRV,2,null,reference,omega,Negative selection,0.045,,74.655
SRV,2,null,reference,omega,Neutral evolution,1.0,,25.345
SRV,2,null,test,omega,Negative selection,0.001,,0.0
SRV,2,null,test,omega,Negative selection,0.045,,74.655
SRV,2,null,test,omega,Neutral evolution,1.0,,25.345
SRV,3,alternative,reference,omega,Negative selection,0.0,,45.679
SRV,3,alternative,reference,omega,Negative selection,0.144,,29.825
SRV,3,alternative,reference,omega,Neutral evolution,1.0,,24.496
SRV,3,alternative,test,omega,Negative selection,0.0,,45.679
SRV,3,alternative,test,omega,Negative selection,0.0,,29.825
SRV,3,alternative,test,omega,Negative selection,0.0,,45.679
SRV,3,alternative,test,omega,Negative selection,0.144,,29.825
SRV,3,alternative,test,omega,Neutral evolution,1.0,,24.496
SRV,3,alternative,test,omega,Neutral evolution,1.0,,24.496
SRV,3,null,reference,omega,Negative selection,0.0,,48.622
SRV,3,null,reference,omega,Negative selection,0.165,,27.186
SRV,3,null,reference,omega,Neutral evolution,1.0,,24.192
SRV,3,null,test,omega,Negative selection,0.0,,48.622
SRV,3,null,test,omega,Negative selection,0.165,,27.186
SRV,3,null,test,omega,Neutral evolution,1.0,,24.192
SRV,4,alternative,reference,omega,Negative selection,0.0,,33.731
SRV,4,alternative,reference,omega,Negative selection,0.099,,41.669
SRV,4,alternative,reference,omega,Neutral evolution,1.0,,24.601
SRV,4,alternative,test,omega,Negative selection,0.0,,33.731
SRV,4,alternative,test,omega,Negative selection,0.0,,41.669
SRV,4,alternative,test,omega,Negative selection,0.0,,33.731
SRV,4,alternative,test,omega,Negative selection,0.099,,41.669
SRV,4,alternative,test,omega,Neutral evolution,1.0,,24.601
SRV,4,alternative,test,omega,Neutral evolution,1.0,,24.601
SRV,4,null,reference,omega,Negative selection,0.0,,33.761
SRV,4,null,reference,omega,Negative selection,0.096,,41.606
SRV,4,null,reference,omega,Neutral evolution,1.0,,24.633
SRV,4,null,test,omega,Negative selection,0.0,,33.761
SRV,4,null,test,omega,Negative selection,0.096,,41.606
SRV,4,null,test,omega,Neutral evolution,1.0,,24.633
SRV,5,alternative,reference,omega,Negative selection,0.0,,61.1
SRV,5,alternative,reference,omega,Negative selection,0.49,,20.266
SRV,5,alternative,reference,omega,Neutral evolution,1.0,,18.634
SRV,5,alternative,test,omega,Negative selection,0.0,,61.1
SRV,5,alternative,test,omega,Negative selection,0.221,,20.266
SRV,5,alternative,test,omega,Negative selection,0.0,,61.1
SRV,5,alternative,test,omega,Negative selection,0.49,,20.266
SRV,5,alternative,test,omega,Neutral evolution,1.0,,18.634
SRV,5,alternative,test,omega,Neutral evolution,1.0,,18.634
SRV,5,null,reference,omega,Negative selection,0.0,,61.843
SRV,5,null,reference,omega,Negative selection,0.533,,20.934
SRV,5,null,reference,omega,Neutral evolution,1.0,,17.223
SRV,5,null,test,omega,Negative selection,0.0,,61.843
SRV,5,null,test,omega,Negative selection,0.533,,20.934
SRV,5,null,test,omega,Neutral evolution,1.0,,17.223
SRV,7,alternative,reference,omega,Negative selection,0.0,,0.02
SRV,7,alternative,reference,omega,Negative selection,0.046,,74.578
SRV,7,alternative,reference,omega,Neutral evolution,1.0,,25.401
SRV,7,alternative,test,omega,Negative selection,0.0,,0.02
SRV,7,alternative,test,omega,Negative selection,0.0,,74.578
SRV,7,alternative,test,omega,Negative selection,0.0,,0.02
SRV,7,alternative,test,omega,Negative selection,0.046,,74.578
SRV,7,alternative,test,omega,Neutral evolution,1.0,,25.401
SRV,7,alternative,test,omega,Neutral evolution,1.0,,25.401
SRV,7,null,reference,omega,Negative selection,0.0,,0.0
SRV,7,null,reference,omega,Negative selection,0.046,,74.672
SRV,7,null,reference,omega,Neutral evolution,1.0,,25.328
SRV,7,null,test,omega,Negative selection,0.0,,0.0
SRV,7,null,test,omega,Negative selection,0.046,,74.672
SRV,7,null,test,omega,Neutral evolution,1.0,,25.328
SRV,8,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,8,alternative,reference,omega,Negative selection,0.047,,74.691
SRV,8,alternative,reference,omega,Neutral evolution,1.0,,25.309
SRV,8,alternative,test,omega,Negative selection,0.0,,0.0
SRV,8,alternative,test,omega,Negative selection,0.0,,74.691
SRV,8,alternative,test,omega,Negative selection,0.0,,0.0
SRV,8,alternative,test,omega,Negative selection,0.047,,74.691
SRV,8,alternative,test,omega,Neutral evolution,1.0,,25.309
SRV,8,alternative,test,omega,Neutral evolution,1.0,,25.309
SRV,8,null,reference,omega,Negative selection,0.002,,0.0
SRV,8,null,reference,omega,Negative selection,0.046,,74.764
SRV,8,null,reference,omega,Neutral evolution,1.0,,25.236
SRV,8,null,test,omega,Negative selection,0.002,,0.0
SRV,8,null,test,omega,Negative selection,0.046,,74.764
