run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,1.008,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.002,,65.886
SRV,1,alternative,reference,omega,Negative selection,0.841,,34.114
SRV,1,alternative,test,omega,Diversifying selection,1.002,,0.0
SRV,1,alternative,test,omega,Diversifying selection,1.008,,0.0
SRV,1,alternative,test,omega,Negative selection,0.214,,65.886
SRV,1,alternative,test,omega,Negative selection,0.264,,34.114
SRV,1,alternative,test,omega,Negative selection,0.002,,65.886
SRV,1,alternative,test,omega,Negative selection,0.841,,34.114
SRV,1,null,reference,omega,Diversifying selection,1.009,,0.0
SRV,1,null,reference,omega,Negative selection,0.0,,64.527
SRV,1,null,reference,omega,Negative selection,0.805,,35.473
SRV,1,null,test,omega,Diversifying selection,1.009,,0.0
SRV,1,null,test,omega,Negative selection,0.0,,64.527
SRV,1,null,test,omega,Negative selection,0.805,,35.473
SRV,2,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.046,,74.604
SRV,2,alternative,reference,omega,Neutral evolution,1.0,,25.396
SRV,2,alternative,test,omega,Negative selection,0.0,,0.0
SRV,2,alternative,test,omega,Negative selection,0.01,,74.604
SRV,2,alternative,test,omega,Negative selection,0.0,,0.0
SRV,2,alternative,test,omega,Negative selection,0.046,,74.604
SRV,2,alternative,test,omega,Neutral evolution,1.0,,25.396
SRV,2,alternative,test,omega,Neutral evolution,1.0,,25.396
SRV,2,null,reference,omega,Negative selection,0.002,,0.0
SRV,2,null,reference,omega,Negative selection,0.046,,74.681
SRV,2,null,reference,omega,Neutral evolution,1.0,,25.319
SRV,2,null,test,omega,Negative selection,0.002,,0.0
SRV,2,null,test,omega,Negative selection,0.046,,74.681
SRV,2,null,test,omega,Neutral evolution,1.0,,25.319
SRV,3,alternative,reference,omega,Negative selection,0.0,,63.932
SRV,3,alternative,reference,omega,Negative selection,0.629,,19.665
SRV,3,alternative,reference,omega,Neutral evolution,1.0,,16.403
SRV,3,alternative,test,omega,Negative selection,0.0,,63.932
SRV,3,alternative,test,omega,Negative selection,0.404,,19.665
SRV,3,alternative,test,omega,Negative selection,0.0,,63.932
SRV,3,alternative,test,omega,Negative selection,0.629,,19.665
SRV,3,alternative,test,omega,Neutral evolution,1.0,,16.403
SRV,3,alternative,test,omega,Neutral evolution,1.0,,16.403
SRV,3,null,reference,omega,Negative selection,0.0,,63.792
SRV,3,null,reference,omega,Negative selection,0.622,,20.318
SRV,3,null,reference,omega,Neutral evolution,1.0,,15.89
SRV,3,null,test,omega,Negative selection,0.0,,63.792
SRV,3,null,test,omega,Negative selection,0.622,,20.318
SRV,3,null,test,omega,Neutral evolution,1.0,,15.89
SRV,4,alternative,reference,omega,Negative selection,0.0,,64.185
SRV,4,alternative,reference,omega,Negative selection,0.637,,19.42
SRV,4,alternative,reference,omega,Neutral evolution,1.0,,16.395
SRV,4,alternative,test,omega,Negative selection,0.0,,64.185
SRV,4,alternative,test,omega,Negative selection,0.408,,19.42
SRV,4,alternative,test,omega,Negative selection,0.0,,64.185
SRV,4,alternative,test,omega,Negative selection,0.637,,19.42
SRV,4,alternative,test,omega,Neutral evolution,1.0,,16.395
SRV,4,alternative,test,omega,Neutral evolution,1.0,,16.395
SRV,4,null,reference,omega,Negative selection,0.0,,63.987
SRV,4,null,reference,omega,Negative selection,0.629,,20.072
SRV,4,null,reference,omega,Neutral evolution,1.0,,15.941
SRV,4,null,test,omega,Negative selection,0.0,,63.987
SRV,4,null,test,omega,Negative selection,0.629,,20.072
SRV,4,null,test,omega,Neutral evolution,1.0,,15.941
SRV,5,alternative,reference,omega,Negative selection,0.0,,64.36
SRV,5,alternative,reference,omega,Negative selection,0.801,,35.64
SRV,5,alternative,reference,omega,Neutral evolution,1.0,,0.0
SRV,5,alternative,test,omega,Negative selection,0.0,,64.36
SRV,5,alternative,test,omega,Negative selection,0.649,,35.64
SRV,5,alternative,test,omega,Negative selection,0.0,,64.36
SRV,5,alternative,test,omega,Negative selection,0.801,,35.64
SRV,5,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,5,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,5,null,reference,omega,Diversifying selection,2.224,,0.0
SRV,5,null,reference,omega,Negative selection,0.0,,64.513
SRV,5,null,reference,omega,Negative selection,0.799,,35.487
SRV,5,null,test,omega,Diversifying selection,2.224,,0.0
SRV,5,null,test,omega,Negative selection,0.0,,64.513
SRV,5,null,test,omega,Negative selection,0.799,,35.487
SRV,6,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,6,alternative,reference,omega,Negative selection,0.044,,74.378
SRV,6,alternative,reference,omega,Neutral evolution,1.0,,25.622
SRV,6,alternative,test,omega,Negative selection,0.0,,0.0
SRV,6,alternative,test,omega,Negative selection,0.008,,74.378
SRV,6,alternative,test,omega,Negative selection,0.0,,0.0
SRV,6,alternative,test,omega,Negative selection,0.044,,74.378
SRV,6,alternative,test,omega,Neutral evolution,1.0,,25.622
SRV,6,alternative,test,omega,Neutral evolution,1.0,,25.622
SRV,6,null,reference,omega,Negative selection,0.0,,0.0
SRV,6,null,reference,omega,Negative selection,0.043,,74.455
SRV,6,null,reference,omega,Neutral evolution,1.0,,25.545
SRV,6,null,test,omega,Negative selection,0.0,,0.0
SRV,6,null,test,omega,Negative selection,0.043,,74.455
SRV,6,null,test,omega,Neutral evolution,1.0,,25.545
SRV,7,alternative,reference,omega,Diversifying selection,1.006,,0.0
SRV,7,alternative,reference,omega,Negative selection,0.001,,65.833
SRV,7,alternative,reference,omega,Negative selection,0.841,,34.167
SRV,7,alternative,test,omega,Diversifying selection,1.001,,0.0
SRV,7,alternative,test,omega,Diversifying selection,1.006,,0.0
SRV,7,alternative,test,omega,Negative selection,0.219,,65.833
SRV,7,alternative,test,omega,Negative selection,0.255,,34.167
SRV,7,alternative,test,omega,Negative selection,0.001,,65.833
SRV,7,alternative,test,omega,Negative selection,0.841,,34.167
SRV,7,null,reference,omega,Diversifying selection,1.006,,0.0
SRV,7,null,reference,omega,Negative selection,0.0,,64.639
SRV,7,null,reference,omega,Negative selection,0.809,,35.361
SRV,7,null,test,omega,Diversifying selection,1.006,,0.0
SRV,7,null,test,omega,Negative selection,0.0,,64.639
