replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.561,0.24,-7602.1,15290.61,43.0,-7602.27,15288.93,42.0,0.2723,0.2359,Convergence/flat likelihood
2,SRV,0.7846,1.5,-7602.59,15289.58,42.0,-7602.63,15287.64,41.0,0.2723,0.2359,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.665,1.95,-7602.34,15289.08,42.0,-7602.44,15287.25,41.0,0.2723,0.2359,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.661,1.99,-7602.25,15288.89,42.0,-7602.35,15287.06,41.0,0.2723,0.2359,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.6085,1.95,-7602.28,15288.95,42.0,-7602.41,15287.19,41.0,0.2723,0.2359,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.7855,1.55,-7602.52,15289.44,42.0,-7602.56,15287.5,41.0,0.2723,0.2359,Convergence/flat likelihood
7,SRV,0.5608,0.23,-7602.1,15290.61,43.0,-7602.27,15288.93,42.0,0.2723,0.2359,Convergence/flat likelihood
8,SRV,1.0,1.51,-7602.59,15289.58,42.0,-7602.56,15287.5,41.0,0.2723,0.2359,Convergence/flat likelihood
9,SRV,1.0,1.56,-7602.59,15289.58,42.0,-7602.56,15287.5,41.0,0.2723,0.2359,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.5559,0.22,-7602.1,15290.61,43.0,-7602.27,15288.93,42.0,0.2723,0.2359,Convergence/flat likelihood
1,SRV+Double,0.6435,1.99,-7602.32,15293.07,44.0,-7602.43,15291.26,43.0,0.2723,0.2359,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.6277,2.05,-7602.3,15293.03,44.0,-7602.42,15291.24,43.0,0.2723,0.2359,Convergence/flat likelihood
3,SRV+Double,0.6231,2.01,-7602.2,15292.84,44.0,-7602.32,15291.06,43.0,0.2723,0.2359,Convergence/flat likelihood
4,SRV+Double,0.6544,1.98,-7602.33,15293.09,44.0,-7602.43,15291.27,43.0,0.2723,0.2359,Convergence/flat likelihood
5,SRV+Double,0.6255,2.03,-7602.3,15293.02,44.0,-7602.42,15291.24,43.0,0.2725,0.2359,Convergence/flat likelihood
6,SRV+Double,0.6247,2.03,-7602.2,15292.84,44.0,-7602.32,15291.06,43.0,0.2724,0.236,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.6255,2.01,-7602.3,15293.03,44.0,-7602.42,15291.24,43.0,0.2723,0.2359,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.6354,2.01,-7602.31,15293.05,44.0,-7602.42,15291.25,43.0,0.2723,0.2359,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.6248,2.02,-7602.2,15292.84,44.0,-7602.32,15291.06,43.0,0.2723,0.2359,Convergence/flat likelihood
10,SRV+Double,0.6298,2.0,-7602.29,15293.0,44.0,-7602.4,15291.22,43.0,0.2723,0.2359,Convergence/flat likelihood
1,SRV+Double+Triple,0.6581,2.7,-7602.1,15296.66,46.0,-7602.2,15294.84,45.0,0.2723,0.2359,Convergence/flat likelihood
2,SRV+Double+Triple,0.7801,1.47,-7602.57,15297.6,46.0,-7602.61,15295.66,45.0,0.2723,0.2359,Convergence/flat likelihood
3,SRV+Double+Triple,1.0,25.9,-7602.44,15297.35,46.0,-7602.44,15295.32,45.0,0.2723,0.2359,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.6533,1.93,-7602.24,15296.94,46.0,-7602.34,15295.12,45.0,0.2723,0.2359,Convergence/flat likelihood
5,SRV+Double+Triple,0.785,1.52,-7602.59,15297.65,46.0,-7602.63,15295.71,45.0,0.2723,0.2359,Convergence/flat likelihood
6,SRV+Double+Triple,,,,,,,,,0.2723,0.2359,
7,SRV+Double+Triple,0.784,1.45,-7602.58,15297.63,46.0,-7602.62,15295.68,45.0,0.2723,0.2359,Convergence/flat likelihood
8,SRV+Double+Triple,0.6544,1.99,-7602.33,15297.13,46.0,-7602.43,15295.31,45.0,0.2723,0.2359,Convergence/flat likelihood
9,SRV+Double+Triple,0.785,1.57,-7602.52,15297.52,46.0,-7602.56,15295.57,45.0,0.2723,0.2359,Convergence/flat likelihood
10,SRV+Double+Triple,0.6095,2.1,-7602.26,15296.99,46.0,-7602.39,15295.23,45.0,0.2723,0.2359,Convergence/flat likelihood
