replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.4028,0.47,-7602.27,15288.93,42.0,-7602.62,15287.62,41.0,0.268,0.4179,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.4223,0.45,-7602.21,15288.81,42.0,-7602.53,15287.44,41.0,0.268,0.4179,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.4093,0.28,-7602.0,15288.4,42.0,-7602.34,15287.06,41.0,0.268,0.4179,Convergence/flat likelihood
4,SRV,0.4578,0.26,-7601.91,15288.22,42.0,-7602.19,15286.75,41.0,0.268,0.4179,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.4035,0.47,-7602.27,15288.93,42.0,-7602.62,15287.61,41.0,0.268,0.4179,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.4079,0.29,-7602.02,15288.42,42.0,-7602.36,15287.09,41.0,0.268,0.4179,Convergence/flat likelihood
7,SRV,0.4104,0.29,-7602.03,15288.45,42.0,-7602.37,15287.11,41.0,0.268,0.4179,Convergence/flat likelihood
8,SRV,0.4106,0.29,-7602.08,15288.56,42.0,-7602.42,15287.21,41.0,0.268,0.4179,Convergence/flat likelihood
9,SRV,0.409,0.42,-7602.27,15288.93,42.0,-7602.61,15287.6,41.0,0.268,0.4179,Convergence/flat likelihood
10,SRV,,,,,,,,,0.268,0.4179,
1,SRV+Double,0.4204,0.29,-7602.12,15292.66,44.0,-7602.44,15291.29,43.0,0.268,0.4179,Convergence/flat likelihood
2,SRV+Double,0.4339,0.33,-7602.06,15292.55,44.0,-7602.37,15291.14,43.0,0.268,0.4179,Convergence/flat likelihood
3,SRV+Double,0.4091,0.41,-7602.17,15292.76,44.0,-7602.51,15291.43,43.0,0.268,0.4179,Convergence/flat likelihood
4,SRV+Double,0.4179,0.23,-7601.85,15292.14,44.0,-7602.18,15290.77,43.0,0.2673,0.4179,Convergence/flat likelihood
5,SRV+Double,0.4576,0.47,-7602.27,15292.97,44.0,-7602.55,15291.5,43.0,0.268,0.4179,Convergence/flat likelihood
6,SRV+Double,0.4588,0.45,-7602.26,15292.95,44.0,-7602.54,15291.48,43.0,0.268,0.4179,Convergence/flat likelihood
7,SRV+Double,0.4318,0.46,-7602.24,15292.9,44.0,-7602.55,15291.5,43.0,0.268,0.4179,Convergence/flat likelihood
8,SRV+Double,0.427,0.31,-7602.06,15292.56,44.0,-7602.38,15291.17,43.0,0.268,0.4179,Convergence/flat likelihood
9,SRV+Double,0.4105,0.31,-7602.11,15292.64,44.0,-7602.44,15291.3,43.0,0.268,0.4179,Convergence/flat likelihood
10,SRV+Double,0.4869,0.33,-7602.12,15292.67,44.0,-7602.36,15291.14,43.0,0.268,0.4179,Convergence/flat likelihood
1,SRV+Double+Triple,0.4097,0.28,-7602.08,15296.62,46.0,-7602.42,15295.28,45.0,0.268,0.4179,Convergence/flat likelihood
2,SRV+Double+Triple,0.411,0.29,-7601.99,15296.45,46.0,-7602.33,15295.11,45.0,0.268,0.4179,Convergence/flat likelihood
3,SRV+Double+Triple,0.4125,0.29,-7602.02,15296.51,46.0,-7602.36,15295.16,45.0,0.268,0.4179,Convergence/flat likelihood
4,SRV+Double+Triple,0.523,0.37,-7602.26,15296.99,46.0,-7602.46,15295.38,45.0,0.268,0.4179,Convergence/flat likelihood
5,SRV+Double+Triple,0.4038,0.5,-7602.21,15296.89,46.0,-7602.56,15295.57,45.0,0.268,0.4179,Convergence/flat likelihood
6,SRV+Double+Triple,0.4484,0.33,-7602.16,15296.79,46.0,-7602.45,15295.34,45.0,0.268,0.4179,Convergence/flat likelihood
7,SRV+Double+Triple,0.5572,0.51,-7602.28,15297.03,46.0,-7602.45,15295.35,45.0,0.268,0.4179,Convergence/flat likelihood
8,SRV+Double+Triple,0.4152,0.3,-7602.11,15296.69,46.0,-7602.44,15295.34,45.0,0.268,0.4179,Convergence/flat likelihood
9,SRV+Double+Triple,0.6838,0.29,-7602.09,15296.64,46.0,-7602.17,15294.79,45.0,0.268,0.4179,Convergence/flat likelihood
10,SRV+Double+Triple,0.412,0.29,-7602.0,15296.46,46.0,-7602.33,15295.11,45.0,0.268,0.4179,Convergence/flat likelihood; Collapsed rate class
