model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,12.644,0.237,SRV,1
alternative,reference,Negative selection,0.203,98.619,SRV,1
alternative,reference,Negative selection,0.212,1.144,SRV,1
alternative,test,Diversifying selection,7.49,0.237,SRV,1
alternative,test,Diversifying selection,12.644,0.237,SRV,1
alternative,test,Negative selection,0.282,98.619,SRV,1
alternative,test,Negative selection,0.292,1.144,SRV,1
alternative,test,Negative selection,0.203,98.619,SRV,1
alternative,test,Negative selection,0.212,1.144,SRV,1
null,reference,Diversifying selection,12.344,0.241,SRV,1
null,reference,Negative selection,0.206,98.625,SRV,1
null,reference,Negative selection,0.207,1.134,SRV,1
null,test,Diversifying selection,12.344,0.241,SRV,1
null,test,Negative selection,0.206,98.625,SRV,1
null,test,Negative selection,0.207,1.134,SRV,1
alternative,reference,Diversifying selection,12.699,0.236,SRV,2
alternative,reference,Negative selection,0.203,98.695,SRV,2
alternative,reference,Negative selection,0.207,1.069,SRV,2
alternative,test,Diversifying selection,7.576,0.236,SRV,2
alternative,test,Diversifying selection,12.699,0.236,SRV,2
alternative,test,Negative selection,0.281,98.695,SRV,2
alternative,test,Negative selection,0.285,1.069,SRV,2
alternative,test,Negative selection,0.203,98.695,SRV,2
alternative,test,Negative selection,0.207,1.069,SRV,2
null,reference,Diversifying selection,12.386,0.24,SRV,2
null,reference,Negative selection,0.205,1.055,SRV,2
null,reference,Negative selection,0.206,98.706,SRV,2
null,test,Diversifying selection,12.386,0.24,SRV,2
null,test,Negative selection,0.205,1.055,SRV,2
null,test,Negative selection,0.206,98.706,SRV,2
alternative,reference,Diversifying selection,12.856,0.233,SRV,3
alternative,reference,Negative selection,0.196,1.082,SRV,3
alternative,reference,Negative selection,0.204,98.685,SRV,3
alternative,test,Diversifying selection,7.635,0.233,SRV,3
alternative,test,Diversifying selection,12.856,0.233,SRV,3
alternative,test,Negative selection,0.273,1.082,SRV,3
alternative,test,Negative selection,0.282,98.685,SRV,3
alternative,test,Negative selection,0.196,1.082,SRV,3
alternative,test,Negative selection,0.204,98.685,SRV,3
null,reference,Diversifying selection,12.517,0.237,SRV,3
null,reference,Negative selection,0.204,1.063,SRV,3
null,reference,Negative selection,0.206,98.7,SRV,3
null,test,Diversifying selection,12.517,0.237,SRV,3
null,test,Negative selection,0.204,1.063,SRV,3
null,test,Negative selection,0.206,98.7,SRV,3
alternative,reference,Diversifying selection,12.686,0.236,SRV,4
alternative,reference,Negative selection,0.204,98.67,SRV,4
alternative,reference,Negative selection,0.213,1.094,SRV,4
alternative,test,Diversifying selection,7.582,0.236,SRV,4
alternative,test,Diversifying selection,12.686,0.236,SRV,4
alternative,test,Negative selection,0.281,98.67,SRV,4
alternative,test,Negative selection,0.291,1.094,SRV,4
alternative,test,Negative selection,0.204,98.67,SRV,4
