run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Negative selection,0.0,,9.656
SRV,1,alternative,reference,omega,Negative selection,0.055,,65.213
SRV,1,alternative,reference,omega,Neutral evolution,1.0,,25.131
SRV,1,alternative,test,omega,Negative selection,0.0,,9.656
SRV,1,alternative,test,omega,Negative selection,0.064,,65.213
SRV,1,alternative,test,omega,Negative selection,0.0,,9.656
SRV,1,alternative,test,omega,Negative selection,0.055,,65.213
SRV,1,alternative,test,omega,Neutral evolution,1.0,,25.131
SRV,1,alternative,test,omega,Neutral evolution,1.0,,25.131
SRV,1,null,reference,omega,Negative selection,0.0,,9.041
SRV,1,null,reference,omega,Negative selection,0.052,,65.657
SRV,1,null,reference,omega,Neutral evolution,1.0,,25.302
SRV,1,null,test,omega,Negative selection,0.0,,9.041
SRV,1,null,test,omega,Negative selection,0.052,,65.657
SRV,1,null,test,omega,Neutral evolution,1.0,,25.302
SRV,2,alternative,reference,omega,Negative selection,0.0,,0.235
SRV,2,alternative,reference,omega,Negative selection,0.0,,70.054
SRV,2,alternative,reference,omega,Neutral evolution,1.0,,29.71
SRV,2,alternative,test,omega,Negative selection,0.019,,0.235
SRV,2,alternative,test,omega,Negative selection,0.025,,70.054
SRV,2,alternative,test,omega,Negative selection,0.0,,0.235
SRV,2,alternative,test,omega,Negative selection,0.0,,70.054
SRV,2,alternative,test,omega,Neutral evolution,1.0,,29.71
SRV,2,alternative,test,omega,Neutral evolution,1.0,,29.71
SRV,2,null,reference,omega,Negative selection,0.0,,0.103
SRV,2,null,reference,omega,Negative selection,0.0,,70.139
SRV,2,null,reference,omega,Neutral evolution,1.0,,29.758
SRV,2,null,test,omega,Negative selection,0.0,,0.103
SRV,2,null,test,omega,Negative selection,0.0,,70.139
SRV,2,null,test,omega,Neutral evolution,1.0,,29.758
SRV,3,alternative,reference,omega,Negative selection,0.0,,63.2
SRV,3,alternative,reference,omega,Negative selection,0.553,,18.349
SRV,3,alternative,reference,omega,Neutral evolution,1.0,,18.451
SRV,3,alternative,test,omega,Negative selection,0.0,,63.2
SRV,3,alternative,test,omega,Negative selection,0.498,,18.349
SRV,3,alternative,test,omega,Negative selection,0.0,,63.2
SRV,3,alternative,test,omega,Negative selection,0.553,,18.349
SRV,3,alternative,test,omega,Neutral evolution,1.0,,18.451
SRV,3,alternative,test,omega,Neutral evolution,1.0,,18.451
SRV,3,null,reference,omega,Negative selection,0.0,,63.159
SRV,3,null,reference,omega,Negative selection,0.557,,18.621
SRV,3,null,reference,omega,Neutral evolution,1.0,,18.219
SRV,3,null,test,omega,Negative selection,0.0,,63.159
SRV,3,null,test,omega,Negative selection,0.557,,18.621
SRV,3,null,test,omega,Neutral evolution,1.0,,18.219
SRV,4,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.045,,74.649
SRV,4,alternative,reference,omega,Neutral evolution,1.0,,25.351
SRV,4,alternative,test,omega,Negative selection,0.0,,0.0
SRV,4,alternative,test,omega,Negative selection,0.052,,74.649
SRV,4,alternative,test,omega,Negative selection,0.0,,0.0
SRV,4,alternative,test,omega,Negative selection,0.045,,74.649
SRV,4,alternative,test,omega,Neutral evolution,1.0,,25.351
SRV,4,alternative,test,omega,Neutral evolution,1.0,,25.351
SRV,4,null,reference,omega,Negative selection,0.002,,0.0
SRV,4,null,reference,omega,Negative selection,0.045,,74.644
SRV,4,null,reference,omega,Neutral evolution,1.0,,25.356
