run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,5.271,,8.07
SRV,1,alternative,reference,omega,Negative selection,0.0,,2.638
SRV,1,alternative,reference,omega,Negative selection,0.026,,89.292
SRV,1,alternative,test,omega,Diversifying selection,2.693,,8.07
SRV,1,alternative,test,omega,Diversifying selection,5.271,,8.07
SRV,1,alternative,test,omega,Negative selection,0.0,,2.638
SRV,1,alternative,test,omega,Negative selection,0.115,,89.292
SRV,1,alternative,test,omega,Negative selection,0.0,,2.638
SRV,1,alternative,test,omega,Negative selection,0.026,,89.292
SRV,1,null,reference,omega,Diversifying selection,5.104,,4.783
SRV,1,null,reference,omega,Negative selection,0.109,,90.774
SRV,1,null,reference,omega,Neutral evolution,1.0,,4.443
SRV,1,null,test,omega,Diversifying selection,5.104,,4.783
SRV,1,null,test,omega,Negative selection,0.109,,90.774
SRV,1,null,test,omega,Neutral evolution,1.0,,4.443
SRV,2,alternative,reference,omega,Diversifying selection,5.564,,7.186
SRV,2,alternative,reference,omega,Negative selection,0.02,,89.781
SRV,2,alternative,reference,omega,Neutral evolution,1.0,,3.033
SRV,2,alternative,test,omega,Diversifying selection,2.724,,7.186
SRV,2,alternative,test,omega,Diversifying selection,5.564,,7.186
SRV,2,alternative,test,omega,Negative selection,0.101,,89.781
SRV,2,alternative,test,omega,Negative selection,0.02,,89.781
SRV,2,alternative,test,omega,Neutral evolution,1.0,,3.033
SRV,2,alternative,test,omega,Neutral evolution,1.0,,3.033
SRV,2,null,reference,omega,Diversifying selection,4.667,,5.28
SRV,2,null,reference,omega,Negative selection,0.118,,91.801
SRV,2,null,reference,omega,Neutral evolution,1.0,,2.918
SRV,2,null,test,omega,Diversifying selection,4.667,,5.28
SRV,2,null,test,omega,Negative selection,0.118,,91.801
SRV,2,null,test,omega,Neutral evolution,1.0,,2.918
SRV,3,alternative,reference,omega,Diversifying selection,7.232,,4.317
SRV,3,alternative,reference,omega,Negative selection,0.005,,81.879
SRV,3,alternative,reference,omega,Negative selection,0.993,,13.803
