run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,12.793,,0.235
SRV,1,alternative,reference,omega,Negative selection,0.194,,0.886
SRV,1,alternative,reference,omega,Negative selection,0.201,,98.879
SRV,1,alternative,test,omega,Diversifying selection,6.086,,0.235
SRV,1,alternative,test,omega,Diversifying selection,12.793,,0.235
SRV,1,alternative,test,omega,Negative selection,0.313,,0.886
SRV,1,alternative,test,omega,Negative selection,0.321,,98.879
SRV,1,alternative,test,omega,Negative selection,0.194,,0.886
SRV,1,alternative,test,omega,Negative selection,0.201,,98.879
SRV,1,null,reference,omega,Diversifying selection,12.103,,0.247
SRV,1,null,reference,omega,Negative selection,0.205,,98.587
SRV,1,null,reference,omega,Negative selection,0.215,,1.166
SRV,1,null,test,omega,Diversifying selection,12.103,,0.247
SRV,1,null,test,omega,Negative selection,0.205,,98.587
SRV,1,null,test,omega,Negative selection,0.215,,1.166
SRV,2,alternative,reference,omega,Diversifying selection,12.746,,0.236
SRV,2,alternative,reference,omega,Negative selection,0.196,,1.461
SRV,2,alternative,reference,omega,Negative selection,0.201,,98.303
SRV,2,alternative,test,omega,Diversifying selection,6.097,,0.236
SRV,2,alternative,test,omega,Diversifying selection,12.746,,0.236
SRV,2,alternative,test,omega,Negative selection,0.314,,1.461
SRV,2,alternative,test,omega,Negative selection,0.32,,98.303
SRV,2,alternative,test,omega,Negative selection,0.196,,1.461
SRV,2,alternative,test,omega,Negative selection,0.201,,98.303
SRV,2,null,reference,omega,Diversifying selection,12.398,,0.24
SRV,2,null,reference,omega,Negative selection,0.205,,1.764
SRV,2,null,reference,omega,Negative selection,0.206,,97.996
SRV,2,null,test,omega,Diversifying selection,12.398,,0.24
SRV,2,null,test,omega,Negative selection,0.205,,1.764
SRV,2,null,test,omega,Negative selection,0.206,,97.996
SRV,3,alternative,reference,omega,Diversifying selection,12.787,,0.235
SRV,3,alternative,reference,omega,Negative selection,0.2,,97.316
SRV,3,alternative,reference,omega,Negative selection,0.223,,2.449
SRV,3,alternative,test,omega,Diversifying selection,5.827,,0.235
SRV,3,alternative,test,omega,Diversifying selection,12.787,,0.235
SRV,3,alternative,test,omega,Negative selection,0.0,,2.449
SRV,3,alternative,test,omega,Negative selection,0.329,,97.316
SRV,3,alternative,test,omega,Negative selection,0.2,,97.316
SRV,3,alternative,test,omega,Negative selection,0.223,,2.449
SRV,3,null,reference,omega,Diversifying selection,12.38,,0.232
SRV,3,null,reference,omega,Negative selection,0.189,,13.134
SRV,3,null,reference,omega,Negative selection,0.203,,86.633
SRV,3,null,test,omega,Diversifying selection,12.38,,0.232
SRV,3,null,test,omega,Negative selection,0.189,,13.134
SRV,3,null,test,omega,Negative selection,0.203,,86.633
SRV,4,alternative,reference,omega,Diversifying selection,12.755,,0.235
SRV,4,alternative,reference,omega,Negative selection,0.2,,1.189
SRV,4,alternative,reference,omega,Negative selection,0.201,,98.576
SRV,4,alternative,test,omega,Diversifying selection,6.107,,0.235
SRV,4,alternative,test,omega,Diversifying selection,12.755,,0.235
SRV,4,alternative,test,omega,Negative selection,0.319,,1.189
SRV,4,alternative,test,omega,Negative selection,0.32,,98.576
SRV,4,alternative,test,omega,Negative selection,0.2,,1.189
SRV,4,alternative,test,omega,Negative selection,0.201,,98.576
SRV,4,null,reference,omega,Diversifying selection,12.24,,0.243
SRV,4,null,reference,omega,Negative selection,0.205,,98.247
SRV,4,null,reference,omega,Negative selection,0.209,,1.51
SRV,4,null,test,omega,Diversifying selection,12.24,,0.243
SRV,4,null,test,omega,Negative selection,0.205,,98.247
SRV,4,null,test,omega,Negative selection,0.209,,1.51
SRV,5,alternative,reference,omega,Diversifying selection,12.591,,0.24
SRV,5,alternative,reference,omega,Negative selection,0.2,,99.063
SRV,5,alternative,reference,omega,Negative selection,0.207,,0.697
SRV,5,alternative,test,omega,Diversifying selection,6.033,,0.24
SRV,5,alternative,test,omega,Diversifying selection,12.591,,0.24
SRV,5,alternative,test,omega,Negative selection,0.32,,99.063
SRV,5,alternative,test,omega,Negative selection,0.328,,0.697
SRV,5,alternative,test,omega,Negative selection,0.2,,99.063
SRV,5,alternative,test,omega,Negative selection,0.207,,0.697
SRV,5,null,reference,omega,Diversifying selection,12.082,,0.247
SRV,5,null,reference,omega,Negative selection,0.201,,0.939
SRV,5,null,reference,omega,Negative selection,0.205,,98.813
SRV,5,null,test,omega,Diversifying selection,12.082,,0.247
SRV,5,null,test,omega,Negative selection,0.201,,0.939
SRV,5,null,test,omega,Negative selection,0.205,,98.813
SRV,6,alternative,reference,omega,Diversifying selection,12.795,,0.235
SRV,6,alternative,reference,omega,Negative selection,0.201,,98.732
SRV,6,alternative,reference,omega,Negative selection,0.204,,1.034
SRV,6,alternative,test,omega,Diversifying selection,6.089,,0.235
SRV,6,alternative,test,omega,Diversifying selection,12.795,,0.235
SRV,6,alternative,test,omega,Negative selection,0.321,,98.732
SRV,6,alternative,test,omega,Negative selection,0.324,,1.034
SRV,6,alternative,test,omega,Negative selection,0.201,,98.732
SRV,6,alternative,test,omega,Negative selection,0.204,,1.034
SRV,6,null,reference,omega,Diversifying selection,12.281,,0.243
SRV,6,null,reference,omega,Negative selection,0.206,,98.71
SRV,6,null,reference,omega,Negative selection,0.209,,1.047
SRV,6,null,test,omega,Diversifying selection,12.281,,0.243
SRV,6,null,test,omega,Negative selection,0.206,,98.71
SRV,6,null,test,omega,Negative selection,0.209,,1.047
SRV,7,alternative,reference,omega,Diversifying selection,12.824,,0.234
SRV,7,alternative,reference,omega,Negative selection,0.201,,98.744
SRV,7,alternative,reference,omega,Negative selection,0.202,,1.022
SRV,7,alternative,test,omega,Diversifying selection,6.106,,0.234
SRV,7,alternative,test,omega,Diversifying selection,12.824,,0.234
SRV,7,alternative,test,omega,Negative selection,0.321,,98.744
SRV,7,alternative,test,omega,Negative selection,0.322,,1.022
SRV,7,alternative,test,omega,Negative selection,0.201,,98.744
SRV,7,alternative,test,omega,Negative selection,0.202,,1.022
SRV,7,null,reference,omega,Diversifying selection,12.301,,0.242
SRV,7,null,reference,omega,Negative selection,0.206,,98.712
SRV,7,null,reference,omega,Negative selection,0.206,,1.046
SRV,7,null,test,omega,Diversifying selection,12.301,,0.242
SRV,7,null,test,omega,Negative selection,0.206,,98.712
SRV,7,null,test,omega,Negative selection,0.206,,1.046
SRV,8,alternative,reference,omega,Diversifying selection,12.837,,0.233
SRV,8,alternative,reference,omega,Negative selection,0.197,,0.77
SRV,8,alternative,reference,omega,Negative selection,0.202,,98.997
SRV,8,alternative,test,omega,Diversifying selection,6.072,,0.233
SRV,8,alternative,test,omega,Diversifying selection,12.837,,0.233
SRV,8,alternative,test,omega,Negative selection,0.317,,0.77
SRV,8,alternative,test,omega,Negative selection,0.322,,98.997
SRV,8,alternative,test,omega,Negative selection,0.197,,0.77
SRV,8,alternative,test,omega,Negative selection,0.202,,98.997
SRV,8,null,reference,omega,Diversifying selection,12.313,,0.241
SRV,8,null,reference,omega,Negative selection,0.205,,98.771
SRV,8,null,reference,omega,Negative selection,0.213,,0.987
SRV,8,null,test,omega,Diversifying selection,12.313,,0.241
SRV,8,null,test,omega,Negative selection,0.205,,98.771
SRV,8,null,test,omega,Negative selection,0.213,,0.987
SRV,9,alternative,reference,omega,Diversifying selection,12.613,,0.238
SRV,9,alternative,reference,omega,Negative selection,0.199,,94.465
SRV,9,alternative,reference,omega,Negative selection,0.228,,5.297
SRV,9,alternative,test,omega,Diversifying selection,5.469,,0.238
SRV,9,alternative,test,omega,Diversifying selection,12.613,,0.238
SRV,9,alternative,test,omega,Negative selection,0.0,,5.297
SRV,9,alternative,test,omega,Negative selection,0.339,,94.465
SRV,9,alternative,test,omega,Negative selection,0.199,,94.465
SRV,9,alternative,test,omega,Negative selection,0.228,,5.297
SRV,9,null,reference,omega,Diversifying selection,12.283,,0.234
SRV,9,null,reference,omega,Negative selection,0.189,,13.326
SRV,9,null,reference,omega,Negative selection,0.203,,86.44
SRV,9,null,test,omega,Diversifying selection,12.283,,0.234
SRV,9,null,test,omega,Negative selection,0.189,,13.326
SRV,9,null,test,omega,Negative selection,0.203,,86.44
SRV,10,alternative,reference,omega,Diversifying selection,12.761,,0.236
SRV,10,alternative,reference,omega,Negative selection,0.201,,99.049
SRV,10,alternative,reference,omega,Negative selection,0.205,,0.715
SRV,10,alternative,test,omega,Diversifying selection,6.092,,0.236
SRV,10,alternative,test,omega,Diversifying selection,12.761,,0.236
SRV,10,alternative,test,omega,Negative selection,0.32,,99.049
SRV,10,alternative,test,omega,Negative selection,0.325,,0.715
SRV,10,alternative,test,omega,Negative selection,0.201,,99.049
SRV,10,alternative,test,omega,Negative selection,0.205,,0.715
SRV,10,null,reference,omega,Diversifying selection,12.144,,0.245
SRV,10,null,reference,omega,Negative selection,0.205,,98.794
SRV,10,null,reference,omega,Negative selection,0.214,,0.962
SRV,10,null,test,omega,Diversifying selection,12.144,,0.245
SRV,10,null,test,omega,Negative selection,0.205,,98.794
SRV,10,null,test,omega,Negative selection,0.214,,0.962
SRV+Double,1,alternative,reference,omega,Diversifying selection,12.627,,0.238
SRV+Double,1,alternative,reference,omega,Negative selection,0.201,,1.08
SRV+Double,1,alternative,reference,omega,Negative selection,0.201,,98.681
SRV+Double,1,alternative,test,omega,Diversifying selection,6.031,,0.238
SRV+Double,1,alternative,test,omega,Diversifying selection,12.627,,0.238
SRV+Double,1,alternative,test,omega,Negative selection,0.32,,1.08
SRV+Double,1,alternative,test,omega,Negative selection,0.321,,98.681
SRV+Double,1,alternative,test,omega,Negative selection,0.201,,1.08
SRV+Double,1,alternative,test,omega,Negative selection,0.201,,98.681
SRV+Double,1,null,reference,omega,Diversifying selection,12.216,,0.244
SRV+Double,1,null,reference,omega,Negative selection,0.205,,98.389
SRV+Double,1,null,reference,omega,Negative selection,0.212,,1.367
SRV+Double,1,null,test,omega,Diversifying selection,12.216,,0.244
SRV+Double,1,null,test,omega,Negative selection,0.205,,98.389
SRV+Double,1,null,test,omega,Negative selection,0.212,,1.367
SRV+Double,2,alternative,reference,omega,Diversifying selection,12.665,,0.237
SRV+Double,2,alternative,reference,omega,Negative selection,0.201,,98.839
SRV+Double,2,alternative,reference,omega,Negative selection,0.203,,0.923
SRV+Double,2,alternative,test,omega,Diversifying selection,6.056,,0.237
SRV+Double,2,alternative,test,omega,Diversifying selection,12.665,,0.237
SRV+Double,2,alternative,test,omega,Negative selection,0.32,,98.839
SRV+Double,2,alternative,test,omega,Negative selection,0.323,,0.923
SRV+Double,2,alternative,test,omega,Negative selection,0.201,,98.839
SRV+Double,2,alternative,test,omega,Negative selection,0.203,,0.923
SRV+Double,2,null,reference,omega,Diversifying selection,12.404,,0.239
SRV+Double,2,null,reference,omega,Negative selection,0.206,,98.562
SRV+Double,2,null,reference,omega,Negative selection,0.206,,1.199
SRV+Double,2,null,test,omega,Diversifying selection,12.404,,0.239
SRV+Double,2,null,test,omega,Negative selection,0.206,,98.562
SRV+Double,2,null,test,omega,Negative selection,0.206,,1.199
SRV+Double,3,alternative,reference,omega,Diversifying selection,12.733,,0.236
SRV+Double,3,alternative,reference,omega,Negative selection,0.201,,98.829
SRV+Double,3,alternative,reference,omega,Negative selection,0.202,,0.934
SRV+Double,3,alternative,test,omega,Diversifying selection,6.059,,0.236
SRV+Double,3,alternative,test,omega,Diversifying selection,12.733,,0.236
SRV+Double,3,alternative,test,omega,Negative selection,0.321,,98.829
SRV+Double,3,alternative,test,omega,Negative selection,0.323,,0.934
SRV+Double,3,alternative,test,omega,Negative selection,0.201,,98.829
SRV+Double,3,alternative,test,omega,Negative selection,0.202,,0.934
SRV+Double,3,null,reference,omega,Diversifying selection,12.356,,0.24
SRV+Double,3,null,reference,omega,Negative selection,0.206,,98.552
SRV+Double,3,null,reference,omega,Negative selection,0.218,,1.208
SRV+Double,3,null,test,omega,Diversifying selection,12.356,,0.24
SRV+Double,3,null,test,omega,Negative selection,0.206,,98.552
SRV+Double,3,null,test,omega,Negative selection,0.218,,1.208
SRV+Double,4,alternative,reference,omega,Diversifying selection,12.715,,0.237
SRV+Double,4,alternative,reference,omega,Negative selection,0.201,,98.968
SRV+Double,4,alternative,reference,omega,Negative selection,0.207,,0.795
SRV+Double,4,alternative,test,omega,Diversifying selection,6.075,,0.237
SRV+Double,4,alternative,test,omega,Diversifying selection,12.715,,0.237
SRV+Double,4,alternative,test,omega,Negative selection,0.32,,98.968
SRV+Double,4,alternative,test,omega,Negative selection,0.327,,0.795
SRV+Double,4,alternative,test,omega,Negative selection,0.201,,98.968
SRV+Double,4,alternative,test,omega,Negative selection,0.207,,0.795
SRV+Double,4,null,reference,omega,Diversifying selection,12.292,,0.242
SRV+Double,4,null,reference,omega,Negative selection,0.205,,98.74
SRV+Double,4,null,reference,omega,Negative selection,0.218,,1.019
SRV+Double,4,null,test,omega,Diversifying selection,12.292,,0.242
SRV+Double,4,null,test,omega,Negative selection,0.205,,98.74
SRV+Double,4,null,test,omega,Negative selection,0.218,,1.019
SRV+Double,5,alternative,reference,omega,Diversifying selection,12.722,,0.237
SRV+Double,5,alternative,reference,omega,Negative selection,0.201,,98.328
SRV+Double,5,alternative,reference,omega,Negative selection,0.207,,1.435
SRV+Double,5,alternative,test,omega,Diversifying selection,6.075,,0.237
SRV+Double,5,alternative,test,omega,Diversifying selection,12.722,,0.237
SRV+Double,5,alternative,test,omega,Negative selection,0.32,,98.328
SRV+Double,5,alternative,test,omega,Negative selection,0.327,,1.435
SRV+Double,5,alternative,test,omega,Negative selection,0.201,,98.328
SRV+Double,5,alternative,test,omega,Negative selection,0.207,,1.435
SRV+Double,5,null,reference,omega,Diversifying selection,12.367,,0.24
SRV+Double,5,null,reference,omega,Negative selection,0.206,,97.99
SRV+Double,5,null,reference,omega,Negative selection,0.215,,1.769
SRV+Double,5,null,test,omega,Diversifying selection,12.367,,0.24
SRV+Double,5,null,test,omega,Negative selection,0.206,,97.99
SRV+Double,5,null,test,omega,Negative selection,0.215,,1.769
SRV+Double,6,alternative,reference,omega,Diversifying selection,12.554,,0.239
SRV+Double,6,alternative,reference,omega,Negative selection,0.201,,98.585
SRV+Double,6,alternative,reference,omega,Negative selection,0.203,,1.176
SRV+Double,6,alternative,test,omega,Diversifying selection,6.009,,0.239
SRV+Double,6,alternative,test,omega,Diversifying selection,12.554,,0.239
SRV+Double,6,alternative,test,omega,Negative selection,0.321,,98.585
SRV+Double,6,alternative,test,omega,Negative selection,0.323,,1.176
SRV+Double,6,alternative,test,omega,Negative selection,0.201,,98.585
SRV+Double,6,alternative,test,omega,Negative selection,0.203,,1.176
SRV+Double,6,null,reference,omega,Diversifying selection,12.272,,0.243
SRV+Double,6,null,reference,omega,Negative selection,0.205,,98.576
SRV+Double,6,null,reference,omega,Negative selection,0.206,,1.181
SRV+Double,6,null,test,omega,Diversifying selection,12.272,,0.243
SRV+Double,6,null,test,omega,Negative selection,0.205,,98.576
SRV+Double,6,null,test,omega,Negative selection,0.206,,1.181
SRV+Double,7,alternative,reference,omega,Diversifying selection,12.669,,0.236
SRV+Double,7,alternative,reference,omega,Negative selection,0.2,,0.97
SRV+Double,7,alternative,reference,omega,Negative selection,0.201,,98.794
SRV+Double,7,alternative,test,omega,Diversifying selection,6.038,,0.236
SRV+Double,7,alternative,test,omega,Diversifying selection,12.669,,0.236
SRV+Double,7,alternative,test,omega,Negative selection,0.32,,0.97
SRV+Double,7,alternative,test,omega,Negative selection,0.321,,98.794
SRV+Double,7,alternative,test,omega,Negative selection,0.2,,0.97
SRV+Double,7,alternative,test,omega,Negative selection,0.201,,98.794
SRV+Double,7,null,reference,omega,Diversifying selection,12.396,,0.24
SRV+Double,7,null,reference,omega,Negative selection,0.206,,98.524
SRV+Double,7,null,reference,omega,Negative selection,0.22,,1.236
SRV+Double,7,null,test,omega,Diversifying selection,12.396,,0.24
SRV+Double,7,null,test,omega,Negative selection,0.206,,98.524
SRV+Double,7,null,test,omega,Negative selection,0.22,,1.236
SRV+Double,8,alternative,reference,omega,Diversifying selection,12.757,,0.236
SRV+Double,8,alternative,reference,omega,Negative selection,0.198,,1.554
SRV+Double,8,alternative,reference,omega,Negative selection,0.201,,98.211
SRV+Double,8,alternative,test,omega,Diversifying selection,6.092,,0.236
SRV+Double,8,alternative,test,omega,Diversifying selection,12.757,,0.236
SRV+Double,8,alternative,test,omega,Negative selection,0.317,,1.554
SRV+Double,8,alternative,test,omega,Negative selection,0.321,,98.211
SRV+Double,8,alternative,test,omega,Negative selection,0.198,,1.554
SRV+Double,8,alternative,test,omega,Negative selection,0.201,,98.211
SRV+Double,8,null,reference,omega,Diversifying selection,12.386,,0.24
SRV+Double,8,null,reference,omega,Negative selection,0.205,,98.062
SRV+Double,8,null,reference,omega,Negative selection,0.214,,1.698
SRV+Double,8,null,test,omega,Diversifying selection,12.386,,0.24
SRV+Double,8,null,test,omega,Negative selection,0.205,,98.062
SRV+Double,8,null,test,omega,Negative selection,0.214,,1.698
SRV+Double,9,alternative,reference,omega,Diversifying selection,12.697,,0.237
SRV+Double,9,alternative,reference,omega,Negative selection,0.201,,98.543
SRV+Double,9,alternative,reference,omega,Negative selection,0.202,,1.22
SRV+Double,9,alternative,test,omega,Diversifying selection,6.052,,0.237
SRV+Double,9,alternative,test,omega,Diversifying selection,12.697,,0.237
SRV+Double,9,alternative,test,omega,Negative selection,0.321,,98.543
SRV+Double,9,alternative,test,omega,Negative selection,0.322,,1.22
SRV+Double,9,alternative,test,omega,Negative selection,0.201,,98.543
SRV+Double,9,alternative,test,omega,Negative selection,0.202,,1.22
SRV+Double,9,null,reference,omega,Diversifying selection,12.389,,0.24
SRV+Double,9,null,reference,omega,Negative selection,0.206,,98.304
SRV+Double,9,null,reference,omega,Negative selection,0.215,,1.456
SRV+Double,9,null,test,omega,Diversifying selection,12.389,,0.24
SRV+Double,9,null,test,omega,Negative selection,0.206,,98.304
SRV+Double,9,null,test,omega,Negative selection,0.215,,1.456
SRV+Double,10,alternative,reference,omega,Diversifying selection,12.841,,0.233
SRV+Double,10,alternative,reference,omega,Negative selection,0.199,,93.404
SRV+Double,10,alternative,reference,omega,Negative selection,0.228,,6.362
SRV+Double,10,alternative,test,omega,Diversifying selection,5.451,,0.233
SRV+Double,10,alternative,test,omega,Diversifying selection,12.841,,0.233
SRV+Double,10,alternative,test,omega,Negative selection,0.0,,6.362
SRV+Double,10,alternative,test,omega,Negative selection,0.342,,93.404
SRV+Double,10,alternative,test,omega,Negative selection,0.199,,93.404
SRV+Double,10,alternative,test,omega,Negative selection,0.228,,6.362
SRV+Double,10,null,reference,omega,Diversifying selection,12.451,,0.23
SRV+Double,10,null,reference,omega,Negative selection,0.186,,14.087
SRV+Double,10,null,reference,omega,Negative selection,0.204,,85.683
SRV+Double,10,null,test,omega,Diversifying selection,12.451,,0.23
SRV+Double,10,null,test,omega,Negative selection,0.186,,14.087
SRV+Double,10,null,test,omega,Negative selection,0.204,,85.683
SRV+Double+Triple,1,alternative,reference,omega,Diversifying selection,12.713,,0.238
SRV+Double+Triple,1,alternative,reference,omega,Negative selection,0.201,,98.438
SRV+Double+Triple,1,alternative,reference,omega,Negative selection,0.217,,1.325
SRV+Double+Triple,1,alternative,test,omega,Diversifying selection,6.076,,0.238
SRV+Double+Triple,1,alternative,test,omega,Diversifying selection,12.713,,0.238
SRV+Double+Triple,1,alternative,test,omega,Negative selection,0.32,,98.438
SRV+Double+Triple,1,alternative,test,omega,Negative selection,0.338,,1.325
SRV+Double+Triple,1,alternative,test,omega,Negative selection,0.201,,98.438
SRV+Double+Triple,1,alternative,test,omega,Negative selection,0.217,,1.325
SRV+Double+Triple,1,null,reference,omega,Diversifying selection,12.53,,0.237
SRV+Double+Triple,1,null,reference,omega,Negative selection,0.206,,98.129
SRV+Double+Triple,1,null,reference,omega,Negative selection,0.211,,1.634
SRV+Double+Triple,1,null,test,omega,Diversifying selection,12.53,,0.237
SRV+Double+Triple,1,null,test,omega,Negative selection,0.206,,98.129
SRV+Double+Triple,1,null,test,omega,Negative selection,0.211,,1.634
SRV+Double+Triple,2,alternative,reference,omega,Diversifying selection,13.224,,0.227
SRV+Double+Triple,2,alternative,reference,omega,Negative selection,0.198,,99.351
SRV+Double+Triple,2,alternative,reference,omega,Neutral evolution,1.0,,0.422
SRV+Double+Triple,2,alternative,test,omega,Diversifying selection,13.224,,0.227
SRV+Double+Triple,2,alternative,test,omega,Negative selection,0.223,,0.227
SRV+Double+Triple,2,alternative,test,omega,Negative selection,0.323,,99.351
SRV+Double+Triple,2,alternative,test,omega,Negative selection,0.198,,99.351
SRV+Double+Triple,2,alternative,test,omega,Neutral evolution,1.0,,0.422
SRV+Double+Triple,2,alternative,test,omega,Neutral evolution,1.0,,0.422
SRV+Double+Triple,2,null,reference,omega,Diversifying selection,13.204,,0.223
SRV+Double+Triple,2,null,reference,omega,Negative selection,0.203,,99.3
SRV+Double+Triple,2,null,reference,omega,Neutral evolution,1.0,,0.477
SRV+Double+Triple,2,null,test,omega,Diversifying selection,13.204,,0.223
SRV+Double+Triple,2,null,test,omega,Negative selection,0.203,,99.3
SRV+Double+Triple,2,null,test,omega,Neutral evolution,1.0,,0.477
SRV+Double+Triple,3,alternative,reference,omega,Diversifying selection,13.009,,0.229
SRV+Double+Triple,3,alternative,reference,omega,Negative selection,0.198,,99.226
SRV+Double+Triple,3,alternative,reference,omega,Neutral evolution,1.0,,0.545
SRV+Double+Triple,3,alternative,test,omega,Diversifying selection,13.009,,0.229
SRV+Double+Triple,3,alternative,test,omega,Negative selection,0.321,,99.226
SRV+Double+Triple,3,alternative,test,omega,Negative selection,0.396,,0.229
SRV+Double+Triple,3,alternative,test,omega,Negative selection,0.198,,99.226
SRV+Double+Triple,3,alternative,test,omega,Neutral evolution,1.0,,0.545
SRV+Double+Triple,3,alternative,test,omega,Neutral evolution,1.0,,0.545
SRV+Double+Triple,3,null,reference,omega,Diversifying selection,13.316,,0.219
SRV+Double+Triple,3,null,reference,omega,Negative selection,0.203,,99.242
SRV+Double+Triple,3,null,reference,omega,Neutral evolution,1.0,,0.539
SRV+Double+Triple,3,null,test,omega,Diversifying selection,13.316,,0.219
SRV+Double+Triple,3,null,test,omega,Negative selection,0.203,,99.242
SRV+Double+Triple,3,null,test,omega,Neutral evolution,1.0,,0.539
SRV+Double+Triple,4,alternative,reference,omega,Diversifying selection,12.819,,0.233
SRV+Double+Triple,4,alternative,reference,omega,Negative selection,0.201,,97.889
SRV+Double+Triple,4,alternative,reference,omega,Negative selection,0.202,,1.877
SRV+Double+Triple,4,alternative,test,omega,Diversifying selection,6.1,,0.233
SRV+Double+Triple,4,alternative,test,omega,Diversifying selection,12.819,,0.233
SRV+Double+Triple,4,alternative,test,omega,Negative selection,0.321,,97.889
SRV+Double+Triple,4,alternative,test,omega,Negative selection,0.322,,1.877
SRV+Double+Triple,4,alternative,test,omega,Negative selection,0.201,,97.889
SRV+Double+Triple,4,alternative,test,omega,Negative selection,0.202,,1.877
SRV+Double+Triple,4,null,reference,omega,Diversifying selection,12.529,,0.237
SRV+Double+Triple,4,null,reference,omega,Negative selection,0.206,,97.631
SRV+Double+Triple,4,null,reference,omega,Negative selection,0.207,,2.133
SRV+Double+Triple,4,null,test,omega,Diversifying selection,12.529,,0.237
SRV+Double+Triple,4,null,test,omega,Negative selection,0.206,,97.631
SRV+Double+Triple,4,null,test,omega,Negative selection,0.207,,2.133
SRV+Double+Triple,5,alternative,reference,omega,Diversifying selection,12.833,,0.234
SRV+Double+Triple,5,alternative,reference,omega,Negative selection,0.201,,98.422
SRV+Double+Triple,5,alternative,reference,omega,Negative selection,0.203,,1.344
SRV+Double+Triple,5,alternative,test,omega,Diversifying selection,6.116,,0.234
SRV+Double+Triple,5,alternative,test,omega,Diversifying selection,12.833,,0.234
SRV+Double+Triple,5,alternative,test,omega,Negative selection,0.321,,98.422
SRV+Double+Triple,5,alternative,test,omega,Negative selection,0.323,,1.344
SRV+Double+Triple,5,alternative,test,omega,Negative selection,0.201,,98.422
SRV+Double+Triple,5,alternative,test,omega,Negative selection,0.203,,1.344
SRV+Double+Triple,5,null,reference,omega,Diversifying selection,12.581,,0.236
SRV+Double+Triple,5,null,reference,omega,Negative selection,0.206,,98.126
SRV+Double+Triple,5,null,reference,omega,Negative selection,0.207,,1.638
SRV+Double+Triple,5,null,test,omega,Diversifying selection,12.581,,0.236
SRV+Double+Triple,5,null,test,omega,Negative selection,0.206,,98.126
SRV+Double+Triple,5,null,test,omega,Negative selection,0.207,,1.638
SRV+Double+Triple,6,alternative,reference,omega,Diversifying selection,12.895,,0.233
SRV+Double+Triple,6,alternative,reference,omega,Negative selection,0.197,,84.256
SRV+Double+Triple,6,alternative,reference,omega,Negative selection,0.224,,15.511
SRV+Double+Triple,6,alternative,test,omega,Diversifying selection,4.604,,0.233
SRV+Double+Triple,6,alternative,test,omega,Diversifying selection,12.895,,0.233
