replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.3329,0.71,-5858.35,11785.13,34,-5858.82,11784.04,33,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.3329,0.71,-5858.35,11785.13,34,-5858.82,11784.04,33,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.6858,0.69,-5858.35,11787.15,35,-5858.43,11785.29,34,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.3329,0.71,-5858.35,11785.13,34,-5858.82,11784.04,33,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.3327,0.71,-5858.35,11785.13,34,-5858.82,11784.04,33,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.333,0.71,-5858.35,11785.13,34,-5858.82,11784.04,33,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.3327,0.71,-5858.35,11785.13,34,-5858.82,11784.04,33,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.3334,0.71,-5858.35,11785.13,34,-5858.82,11784.04,33,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.6831,0.67,-5858.35,11787.15,35,-5858.43,11785.29,34,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.3328,0.71,-5858.35,11785.13,34,-5858.82,11784.04,33,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.3329,0.71,-5858.35,11789.18,36,-5858.82,11788.09,35,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.3329,0.71,-5858.35,11789.18,36,-5858.82,11788.09,35,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.3329,0.71,-5858.35,11789.18,36,-5858.82,11788.09,35,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.333,0.71,-5858.35,11789.18,36,-5858.82,11788.09,35,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.3332,0.71,-5858.35,11789.18,36,-5858.82,11788.09,35,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.3329,0.71,-5858.35,11789.18,36,-5858.82,11788.09,35,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.3329,0.71,-5858.35,11789.18,36,-5858.82,11788.09,35,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.3331,0.71,-5858.35,11789.18,36,-5858.82,11788.09,35,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.3327,0.71,-5858.35,11789.18,36,-5858.82,11788.09,35,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.6845,0.66,-5858.35,11791.2,37,-5858.43,11789.34,36,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.333,0.71,-5858.35,11793.24,38,-5858.82,11792.15,37,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.3286,0.7,-5858.34,11795.25,39,-5858.82,11794.18,38,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.3308,0.7,-5858.35,11795.26,39,-5858.82,11794.18,38,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.3328,0.71,-5858.35,11793.24,38,-5858.82,11792.15,37,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.333,0.71,-5858.35,11793.24,38,-5858.82,11792.15,37,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.6853,0.6,-5858.34,11795.25,39,-5858.42,11793.39,38,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.331,0.7,-5858.37,11795.31,39,-5858.84,11794.22,38,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.3302,0.7,-5858.37,11795.3,39,-5858.84,11794.22,38,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.3331,0.7,-5858.35,11795.27,39,-5858.82,11794.18,38,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.3329,0.71,-5858.35,11793.24,38,-5858.82,11792.15,37,0.2208,0.3272,Convergence/flat likelihood; Collapsed rate class
