run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,2.484,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.224,,1.794
SRV,1,alternative,reference,omega,Negative selection,0.307,,98.206
SRV,1,alternative,test,omega,Diversifying selection,2.484,,0.0
SRV,1,alternative,test,omega,Negative selection,0.0,,1.794
SRV,1,alternative,test,omega,Negative selection,0.0,,98.206
SRV,1,alternative,test,omega,Negative selection,0.224,,1.794
SRV,1,alternative,test,omega,Negative selection,0.307,,98.206
SRV,1,null,reference,omega,Diversifying selection,5.683,,0.0
SRV,1,null,reference,omega,Negative selection,0.225,,3.539
SRV,1,null,reference,omega,Negative selection,0.296,,96.461
SRV,1,null,test,omega,Diversifying selection,5.683,,0.0
SRV,1,null,test,omega,Negative selection,0.225,,3.539
SRV,1,null,test,omega,Negative selection,0.296,,96.461
SRV,2,alternative,reference,omega,Diversifying selection,3.88,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.028,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.304,,100.0
SRV,2,alternative,test,omega,Diversifying selection,3.88,,0.0
SRV,2,alternative,test,omega,Negative selection,0.0,,0.0
SRV,2,alternative,test,omega,Negative selection,0.0,,100.0
SRV,2,alternative,test,omega,Negative selection,0.028,,0.0
SRV,2,alternative,test,omega,Negative selection,0.304,,100.0
SRV,2,null,reference,omega,Diversifying selection,1.262,,0.0
SRV,2,null,reference,omega,Negative selection,0.023,,0.0
SRV,2,null,reference,omega,Negative selection,0.293,,100.0
SRV,2,null,test,omega,Diversifying selection,1.262,,0.0
SRV,2,null,test,omega,Negative selection,0.023,,0.0
SRV,2,null,test,omega,Negative selection,0.293,,100.0
SRV,3,alternative,reference,omega,Diversifying selection,6.598,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.002,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.304,,100.0
SRV,3,alternative,test,omega,Diversifying selection,6.598,,0.0
SRV,3,alternative,test,omega,Negative selection,0.0,,0.0
SRV,3,alternative,test,omega,Negative selection,0.0,,100.0
SRV,3,alternative,test,omega,Negative selection,0.002,,0.0
SRV,3,alternative,test,omega,Negative selection,0.304,,100.0
SRV,3,null,reference,omega,Diversifying selection,1.595,,0.0
SRV,3,null,reference,omega,Negative selection,0.0,,0.0
SRV,3,null,reference,omega,Negative selection,0.292,,100.0
