replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.841,1.17,-4063.36,8203.12,38,-4063.38,8201.14,37,0.287,0.2342,Convergence/flat likelihood
2,SRV,0.8409,1.17,-4063.36,8203.12,38,-4063.38,8201.14,37,0.287,0.2342,Convergence/flat likelihood
3,SRV,0.8393,1.16,-4063.36,8203.12,38,-4063.38,8201.14,37,0.287,0.2342,Convergence/flat likelihood
4,SRV,0.8407,1.17,-4063.36,8203.12,38,-4063.38,8201.14,37,0.287,0.2342,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.8424,1.16,-4063.36,8203.12,38,-4063.38,8201.14,37,0.287,0.2342,Convergence/flat likelihood
6,SRV,0.8398,1.16,-4063.36,8203.12,38,-4063.38,8201.14,37,0.287,0.2342,Convergence/flat likelihood
7,SRV,0.8442,1.16,-4063.36,8203.12,38,-4063.38,8201.14,37,0.287,0.2342,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.8405,1.16,-4063.36,8203.11,38,-4063.38,8201.13,37,0.287,0.2342,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.8396,1.16,-4063.36,8203.11,38,-4063.38,8201.13,37,0.287,0.2342,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.8404,1.16,-4063.35,8203.11,38,-4063.37,8201.13,37,0.287,0.2342,Convergence/flat likelihood
1,SRV+Double,0.8402,1.16,-4063.36,8207.16,40,-4063.38,8205.18,39,0.287,0.2342,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.8407,1.16,-4063.36,8207.16,40,-4063.38,8205.17,39,0.287,0.2342,Convergence/flat likelihood
3,SRV+Double,0.841,1.17,-4063.36,8207.16,40,-4063.38,8205.18,39,0.287,0.2342,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.8426,1.16,-4063.36,8207.16,40,-4063.38,8205.18,39,0.287,0.2342,Convergence/flat likelihood
5,SRV+Double,0.8405,1.16,-4063.36,8207.16,40,-4063.38,8205.18,39,0.287,0.2342,Convergence/flat likelihood
6,SRV+Double,0.8398,1.17,-4063.36,8207.16,40,-4063.38,8205.18,39,0.287,0.2342,Convergence/flat likelihood
7,SRV+Double,0.8404,1.16,-4063.36,8207.16,40,-4063.38,8205.18,39,0.287,0.2342,Convergence/flat likelihood
8,SRV+Double,0.8423,1.16,-4063.36,8207.16,40,-4063.38,8205.18,39,0.287,0.2342,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.8403,1.16,-4063.36,8207.16,40,-4063.38,8205.18,39,0.287,0.2342,Convergence/flat likelihood
10,SRV+Double,0.8405,1.16,-4063.36,8207.16,40,-4063.38,8205.18,39,0.287,0.2342,Convergence/flat likelihood
1,SRV+Double+Triple,0.842,1.16,-4063.36,8211.2,42,-4063.38,8209.22,41,0.287,0.2342,Convergence/flat likelihood
2,SRV+Double+Triple,0.8399,1.17,-4063.36,8211.21,42,-4063.38,8209.22,41,0.287,0.2342,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.8431,1.16,-4063.36,8211.2,42,-4063.38,8209.22,41,0.287,0.2342,Convergence/flat likelihood
4,SRV+Double+Triple,0.8389,1.17,-4063.36,8211.21,42,-4063.38,8209.22,41,0.287,0.2342,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.8393,1.16,-4063.36,8211.2,42,-4063.38,8209.22,41,0.287,0.2342,Convergence/flat likelihood
6,SRV+Double+Triple,0.8391,1.17,-4063.36,8211.2,42,-4063.38,8209.22,41,0.287,0.2342,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.8391,1.17,-4063.36,8211.21,42,-4063.38,8209.22,41,0.287,0.2342,Convergence/flat likelihood
8,SRV+Double+Triple,0.8453,1.17,-4063.36,8211.21,42,-4063.38,8209.22,41,0.287,0.2342,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.8391,1.16,-4063.36,8211.2,42,-4063.38,8209.22,41,0.287,0.2342,Convergence/flat likelihood
10,SRV+Double+Triple,0.8395,1.16,-4063.36,8211.2,42,-4063.38,8209.22,41,0.287,0.2342,Convergence/flat likelihood; Collapsed rate class
