model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.074,53.561,SRV,1
null,2,0.117,36.225,SRV,1
null,3,8.987,10.215,SRV,1
null,1,0.053,55.489,SRV,2
null,2,0.168,34.414,SRV,2
null,3,9.041,10.097,SRV,2
null,1,0.0,54.829,SRV,3
null,2,0.297,35.474,SRV,3
null,3,9.226,9.697,SRV,3
null,1,0.0,56.481,SRV,4
null,2,0.28,33.577,SRV,4
null,3,9.114,9.942,SRV,4
null,1,0.024,59.011,SRV,5
null,2,0.228,30.837,SRV,5
null,3,9.016,10.153,SRV,5
null,1,0.002,57.009,SRV,6
null,2,0.285,33.09,SRV,6
null,3,9.138,9.901,SRV,6
null,1,0.01,58.216,SRV,7
null,2,0.263,31.752,SRV,7
null,3,9.075,10.032,SRV,7
null,1,0.0,56.0,SRV,8
null,2,0.328,34.458,SRV,8
null,3,9.294,9.542,SRV,8
null,1,0.052,58.131,SRV,9
null,2,0.18,31.775,SRV,9
null,3,9.042,10.094,SRV,9
null,1,0.024,59.902,SRV,10
null,2,0.255,30.105,SRV,10
null,3,9.096,9.993,SRV,10
