model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,6.109,0.0,SRV,1
alternative,reference,Negative selection,0.001,0.0,SRV,1
alternative,reference,Negative selection,0.316,100.0,SRV,1
alternative,test,Diversifying selection,27.795,0.0,SRV,1
alternative,test,Diversifying selection,6.109,0.0,SRV,1
alternative,test,Negative selection,0.0,0.0,SRV,1
alternative,test,Negative selection,0.121,100.0,SRV,1
alternative,test,Negative selection,0.001,0.0,SRV,1
alternative,test,Negative selection,0.316,100.0,SRV,1
null,reference,Diversifying selection,1.265,0.0,SRV,1
null,reference,Negative selection,0.002,0.0,SRV,1
null,reference,Negative selection,0.292,100.0,SRV,1
null,test,Diversifying selection,1.265,0.0,SRV,1
null,test,Negative selection,0.002,0.0,SRV,1
null,test,Negative selection,0.292,100.0,SRV,1
alternative,reference,Diversifying selection,4.752,0.0,SRV,2
alternative,reference,Negative selection,0.247,1.471,SRV,2
alternative,reference,Negative selection,0.318,98.529,SRV,2
alternative,test,Diversifying selection,17.659,0.0,SRV,2
alternative,test,Diversifying selection,4.752,0.0,SRV,2
alternative,test,Negative selection,0.076,1.471,SRV,2
alternative,test,Negative selection,0.121,98.529,SRV,2
alternative,test,Negative selection,0.247,1.471,SRV,2
alternative,test,Negative selection,0.318,98.529,SRV,2
null,reference,Diversifying selection,1.523,0.0,SRV,2
null,reference,Negative selection,0.242,17.135,SRV,2
null,reference,Negative selection,0.303,82.865,SRV,2
null,test,Diversifying selection,1.523,0.0,SRV,2
null,test,Negative selection,0.242,17.135,SRV,2
null,test,Negative selection,0.303,82.865,SRV,2
alternative,reference,Diversifying selection,2.067,0.0,SRV,3
alternative,reference,Negative selection,0.283,22.914,SRV,3
alternative,reference,Negative selection,0.325,77.086,SRV,3
alternative,test,Diversifying selection,3.782,0.0,SRV,3
alternative,test,Diversifying selection,2.067,0.0,SRV,3
alternative,test,Negative selection,0.099,22.914,SRV,3
alternative,test,Negative selection,0.128,77.086,SRV,3
alternative,test,Negative selection,0.283,22.914,SRV,3
alternative,test,Negative selection,0.325,77.086,SRV,3
null,reference,Diversifying selection,4.355,0.0,SRV,3
null,reference,Negative selection,0.282,74.478,SRV,3
null,reference,Negative selection,0.322,25.522,SRV,3
null,test,Diversifying selection,4.355,0.0,SRV,3
null,test,Negative selection,0.282,74.478,SRV,3
null,test,Negative selection,0.322,25.522,SRV,3
alternative,reference,Diversifying selection,1.793,0.0,SRV,4
alternative,reference,Negative selection,0.003,0.0,SRV,4
alternative,reference,Negative selection,0.315,100.0,SRV,4
alternative,test,Diversifying selection,2.911,0.0,SRV,4
alternative,test,Diversifying selection,1.793,0.0,SRV,4
alternative,test,Negative selection,0.0,0.0,SRV,4
alternative,test,Negative selection,0.121,100.0,SRV,4
alternative,test,Negative selection,0.003,0.0,SRV,4
alternative,test,Negative selection,0.315,100.0,SRV,4
null,reference,Diversifying selection,3.585,0.0,SRV,4
null,reference,Negative selection,0.001,0.0,SRV,4
null,reference,Negative selection,0.292,100.0,SRV,4
null,test,Diversifying selection,3.585,0.0,SRV,4
null,test,Negative selection,0.001,0.0,SRV,4
null,test,Negative selection,0.292,100.0,SRV,4
alternative,reference,Diversifying selection,2.72,0.0,SRV,5
alternative,reference,Negative selection,0.003,0.0,SRV,5
alternative,reference,Negative selection,0.315,100.0,SRV,5
alternative,test,Diversifying selection,6.205,0.0,SRV,5
alternative,test,Diversifying selection,2.72,0.0,SRV,5
alternative,test,Negative selection,0.0,0.0,SRV,5
alternative,test,Negative selection,0.121,100.0,SRV,5
alternative,test,Negative selection,0.003,0.0,SRV,5
alternative,test,Negative selection,0.315,100.0,SRV,5
null,reference,Diversifying selection,5.958,0.0,SRV,5
null,reference,Negative selection,0.001,0.0,SRV,5
null,reference,Negative selection,0.292,100.0,SRV,5
null,test,Diversifying selection,5.958,0.0,SRV,5
null,test,Negative selection,0.001,0.0,SRV,5
null,test,Negative selection,0.292,100.0,SRV,5
alternative,reference,Diversifying selection,6.268,0.0,SRV,6
alternative,reference,Negative selection,0.002,0.0,SRV,6
alternative,reference,Negative selection,0.316,100.0,SRV,6
alternative,test,Diversifying selection,29.035,0.0,SRV,6
alternative,test,Diversifying selection,6.268,0.0,SRV,6
alternative,test,Negative selection,0.0,0.0,SRV,6
alternative,test,Negative selection,0.121,100.0,SRV,6
alternative,test,Negative selection,0.002,0.0,SRV,6
alternative,test,Negative selection,0.316,100.0,SRV,6
null,reference,Diversifying selection,1.344,0.0,SRV,6
null,reference,Negative selection,0.004,0.0,SRV,6
null,reference,Negative selection,0.292,100.0,SRV,6
null,test,Diversifying selection,1.344,0.0,SRV,6
null,test,Negative selection,0.004,0.0,SRV,6
null,test,Negative selection,0.292,100.0,SRV,6
alternative,reference,Diversifying selection,2.384,0.0,SRV,7
alternative,reference,Negative selection,0.029,0.0,SRV,7
alternative,reference,Negative selection,0.314,100.0,SRV,7
alternative,test,Diversifying selection,4.895,0.0,SRV,7
alternative,test,Diversifying selection,2.384,0.0,SRV,7
alternative,test,Negative selection,0.002,0.0,SRV,7
alternative,test,Negative selection,0.121,100.0,SRV,7
alternative,test,Negative selection,0.029,0.0,SRV,7
alternative,test,Negative selection,0.314,100.0,SRV,7
null,reference,Diversifying selection,4.958,0.0,SRV,7
null,reference,Negative selection,0.021,0.0,SRV,7
null,reference,Negative selection,0.292,100.0,SRV,7
null,test,Diversifying selection,4.958,0.0,SRV,7
null,test,Negative selection,0.021,0.0,SRV,7
null,test,Negative selection,0.292,100.0,SRV,7
alternative,reference,Diversifying selection,1.17,0.0,SRV,8
alternative,reference,Negative selection,0.266,14.906,SRV,8
alternative,reference,Negative selection,0.325,85.094,SRV,8
alternative,test,Diversifying selection,1.334,0.0,SRV,8
alternative,test,Diversifying selection,1.17,0.0,SRV,8
alternative,test,Negative selection,0.087,14.906,SRV,8
alternative,test,Negative selection,0.127,85.094,SRV,8
alternative,test,Negative selection,0.266,14.906,SRV,8
alternative,test,Negative selection,0.325,85.094,SRV,8
null,reference,Diversifying selection,2.106,0.0,SRV,8
null,reference,Negative selection,0.271,42.311,SRV,8
null,reference,Negative selection,0.307,57.689,SRV,8
null,test,Diversifying selection,2.106,0.0,SRV,8
null,test,Negative selection,0.271,42.311,SRV,8
null,test,Negative selection,0.307,57.689,SRV,8
alternative,reference,Diversifying selection,4.848,0.0,SRV,9
alternative,reference,Negative selection,0.241,7.957,SRV,9
alternative,reference,Negative selection,0.325,92.043,SRV,9
alternative,test,Diversifying selection,18.598,0.0,SRV,9
alternative,test,Diversifying selection,4.848,0.0,SRV,9
alternative,test,Negative selection,0.072,7.957,SRV,9
alternative,test,Negative selection,0.125,92.043,SRV,9
alternative,test,Negative selection,0.241,7.957,SRV,9
alternative,test,Negative selection,0.325,92.043,SRV,9
null,reference,Diversifying selection,1.728,0.0,SRV,9
null,reference,Negative selection,0.236,22.777,SRV,9
null,reference,Negative selection,0.311,77.223,SRV,9
null,test,Diversifying selection,1.728,0.0,SRV,9
null,test,Negative selection,0.236,22.777,SRV,9
null,test,Negative selection,0.311,77.223,SRV,9
alternative,reference,Diversifying selection,1.541,0.0,SRV,10
alternative,reference,Negative selection,0.27,0.0,SRV,10
alternative,reference,Negative selection,0.315,100.0,SRV,10
alternative,test,Diversifying selection,2.209,0.0,SRV,10
alternative,test,Diversifying selection,1.541,0.0,SRV,10
alternative,test,Negative selection,0.09,0.0,SRV,10
alternative,test,Negative selection,0.12,100.0,SRV,10
alternative,test,Negative selection,0.27,0.0,SRV,10
alternative,test,Negative selection,0.315,100.0,SRV,10
null,reference,Diversifying selection,3.001,0.0,SRV,10
null,reference,Negative selection,0.271,29.957,SRV,10
null,reference,Negative selection,0.301,70.043,SRV,10
null,test,Diversifying selection,3.001,0.0,SRV,10
null,test,Negative selection,0.271,29.957,SRV,10
null,test,Negative selection,0.301,70.043,SRV,10
alternative,reference,Diversifying selection,8.128,0.0,SRV+Double,1
alternative,reference,Negative selection,0.002,0.0,SRV+Double,1
alternative,reference,Negative selection,0.315,100.0,SRV+Double,1
alternative,test,Diversifying selection,46.382,0.0,SRV+Double,1
alternative,test,Diversifying selection,8.128,0.0,SRV+Double,1
alternative,test,Negative selection,0.0,0.0,SRV+Double,1
alternative,test,Negative selection,0.12,100.0,SRV+Double,1
alternative,test,Negative selection,0.002,0.0,SRV+Double,1
alternative,test,Negative selection,0.315,100.0,SRV+Double,1
null,reference,Diversifying selection,1.802,0.0,SRV+Double,1
null,reference,Negative selection,0.004,0.0,SRV+Double,1
null,reference,Negative selection,0.292,100.0,SRV+Double,1
null,test,Diversifying selection,1.802,0.0,SRV+Double,1
null,test,Negative selection,0.004,0.0,SRV+Double,1
null,test,Negative selection,0.292,100.0,SRV+Double,1
alternative,reference,Diversifying selection,1.987,0.0,SRV+Double,2
alternative,reference,Diversifying selection,2.234,0.0,SRV+Double,2
alternative,reference,Negative selection,0.315,100.0,SRV+Double,2
alternative,test,Diversifying selection,4.348,0.0,SRV+Double,2
alternative,test,Diversifying selection,1.987,0.0,SRV+Double,2
alternative,test,Diversifying selection,2.234,0.0,SRV+Double,2
alternative,test,Negative selection,0.001,0.0,SRV+Double,2
alternative,test,Negative selection,0.121,100.0,SRV+Double,2
alternative,test,Negative selection,0.315,100.0,SRV+Double,2
null,reference,Diversifying selection,3.489,0.0,SRV+Double,2
null,reference,Negative selection,0.258,40.393,SRV+Double,2
null,reference,Negative selection,0.357,59.607,SRV+Double,2
null,test,Diversifying selection,3.489,0.0,SRV+Double,2
null,test,Negative selection,0.258,40.393,SRV+Double,2
null,test,Negative selection,0.357,59.607,SRV+Double,2
alternative,reference,Diversifying selection,7.247,0.0,SRV+Double,3
alternative,reference,Negative selection,0.276,11.626,SRV+Double,3
alternative,reference,Negative selection,0.321,88.374,SRV+Double,3
alternative,test,Diversifying selection,38.053,0.0,SRV+Double,3
alternative,test,Diversifying selection,7.247,0.0,SRV+Double,3
alternative,test,Negative selection,0.094,11.626,SRV+Double,3
alternative,test,Negative selection,0.124,88.374,SRV+Double,3
alternative,test,Negative selection,0.276,11.626,SRV+Double,3
alternative,test,Negative selection,0.321,88.374,SRV+Double,3
null,reference,Diversifying selection,1.413,0.0,SRV+Double,3
null,reference,Negative selection,0.281,52.428,SRV+Double,3
null,reference,Negative selection,0.304,47.572,SRV+Double,3
null,test,Diversifying selection,1.413,0.0,SRV+Double,3
null,test,Negative selection,0.281,52.428,SRV+Double,3
null,test,Negative selection,0.304,47.572,SRV+Double,3
alternative,reference,Diversifying selection,2.637,0.0,SRV+Double,4
alternative,reference,Negative selection,0.008,0.0,SRV+Double,4
alternative,reference,Negative selection,0.316,100.0,SRV+Double,4
alternative,test,Diversifying selection,5.903,0.0,SRV+Double,4
alternative,test,Diversifying selection,2.637,0.0,SRV+Double,4
alternative,test,Negative selection,0.0,0.0,SRV+Double,4
alternative,test,Negative selection,0.121,100.0,SRV+Double,4
alternative,test,Negative selection,0.008,0.0,SRV+Double,4
alternative,test,Negative selection,0.316,100.0,SRV+Double,4
null,reference,Diversifying selection,5.757,0.0,SRV+Double,4
null,reference,Negative selection,0.262,16.077,SRV+Double,4
null,reference,Negative selection,0.298,83.923,SRV+Double,4
null,test,Diversifying selection,5.757,0.0,SRV+Double,4
null,test,Negative selection,0.262,16.077,SRV+Double,4
null,test,Negative selection,0.298,83.923,SRV+Double,4
alternative,reference,Diversifying selection,3.001,0.0,SRV+Double,5
alternative,reference,Negative selection,0.003,0.0,SRV+Double,5
alternative,reference,Negative selection,0.315,100.0,SRV+Double,5
alternative,test,Diversifying selection,7.469,0.0,SRV+Double,5
alternative,test,Diversifying selection,3.001,0.0,SRV+Double,5
alternative,test,Negative selection,0.0,0.0,SRV+Double,5
alternative,test,Negative selection,0.121,100.0,SRV+Double,5
alternative,test,Negative selection,0.003,0.0,SRV+Double,5
alternative,test,Negative selection,0.315,100.0,SRV+Double,5
null,reference,Diversifying selection,1.084,0.0,SRV+Double,5
null,reference,Negative selection,0.0,0.0,SRV+Double,5
null,reference,Negative selection,0.292,100.0,SRV+Double,5
null,test,Diversifying selection,1.084,0.0,SRV+Double,5
null,test,Negative selection,0.0,0.0,SRV+Double,5
null,test,Negative selection,0.292,100.0,SRV+Double,5
alternative,reference,Diversifying selection,6.795,0.0,SRV+Double,6
alternative,reference,Negative selection,0.002,0.0,SRV+Double,6
alternative,reference,Negative selection,0.316,100.0,SRV+Double,6
alternative,test,Diversifying selection,33.416,0.0,SRV+Double,6
alternative,test,Diversifying selection,6.795,0.0,SRV+Double,6
alternative,test,Negative selection,0.0,0.0,SRV+Double,6
alternative,test,Negative selection,0.121,100.0,SRV+Double,6
alternative,test,Negative selection,0.002,0.0,SRV+Double,6
alternative,test,Negative selection,0.316,100.0,SRV+Double,6
null,reference,Diversifying selection,1.404,0.0,SRV+Double,6
null,reference,Negative selection,0.0,0.0,SRV+Double,6
null,reference,Negative selection,0.292,100.0,SRV+Double,6
null,test,Diversifying selection,1.404,0.0,SRV+Double,6
null,test,Negative selection,0.0,0.0,SRV+Double,6
null,test,Negative selection,0.292,100.0,SRV+Double,6
alternative,reference,Diversifying selection,2.364,0.0,SRV+Double,7
alternative,reference,Negative selection,0.285,31.141,SRV+Double,7
alternative,reference,Negative selection,0.33,68.859,SRV+Double,7
alternative,test,Diversifying selection,4.863,0.0,SRV+Double,7
alternative,test,Diversifying selection,2.364,0.0,SRV+Double,7
alternative,test,Negative selection,0.099,31.141,SRV+Double,7
alternative,test,Negative selection,0.13,68.859,SRV+Double,7
alternative,test,Negative selection,0.285,31.141,SRV+Double,7
alternative,test,Negative selection,0.33,68.859,SRV+Double,7
null,reference,Diversifying selection,5.151,0.0,SRV+Double,7
null,reference,Negative selection,0.29,89.143,SRV+Double,7
null,reference,Negative selection,0.312,10.857,SRV+Double,7
